step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,11,5,6,0,11,0,0,0,3,0,0,0.0173349,0,0.272644,0.0144294,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,10,8.33333,0.0293801,0.000100416,0.519271,0.0534012,0,2,0,0.130533,0,0.0219913,0,0,0,0,0.118418,0.134477,0.310335,0,0,0,0.000528169,0,0.999733,0.977026,0.221837,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.037503,0.000449384,0.702956,0.115446,0,2,0,0.145151,0,0.0499109,0,0,0,0,0.15321,0.332054,0.276541,0,0,0,1.69944e-05,0,0.998779,0.880826,0.198699,1.7775e-05
400,40,1.66667,12,5,4,3,9,3,0,0,9,10,12.5,0.0428088,0.000884643,0.840462,0.19342,0,4,0,0.153542,0,0.0919547,0,0,0,0,0.177678,0.556015,0.306967,0,0,0,1.64698e-05,0,0.997529,0.700931,0.19288,3.96704e-05
500,50,2.08333,12,5,3,4,8,4,0,0,10,9,16.6667,0.0460613,0.00132518,0.879161,0.279488,0,4,0,0.182338,0,0.134919,0,0,0,0,0.196576,0.675826,0.333138,0,0,0,1.61972e-05,0,0.996192,0.656682,0.198924,7.22837e-05
600,60,2.5,13,5,3,5,8,5,0,0,11,10,16.6667,0.0478167,0.00185869,0.842782,0.366519,0,4,0,0.2266,0,0.175687,0,0,0,0,0.209882,0.722818,0.355455,0,0,0,1.61135e-05,0,0.994525,0.654649,0.207647,0.000114159
700,70,2.91667,15,5,4,6,9,6,0,0,10,10,16.6667,0.0484865,0.00235778,0.795492,0.44872,0,6,0,0.281386,0,0.212946,0,0,0,0,0.2205,0.722141,0.374398,0,0,0,1.60793e-05,0,0.992829,0.652579,0.215017,0.00016314
800,80,3.33333,18,5,7,6,12,6,0,0,13,10,20.8333,0.048377,0.0031611,0.711944,0.523813,0,6,0,0.339519,0,0.246094,0,0,0,0,0.227873,0.656092,0.390097,0,0,0,1.60599e-05,0,0.990449,0.650463,0.221085,0.000217002
900,90,3.75,19,5,6,8,11,8,0,0,9,10,20.8333,0.0477164,0.00394477,0.671002,0.591789,0,6,0,0.364799,0,0.275143,0,0,0,0,0.227187,0.612306,0.403318,0,0,0,1.60506e-05,0,0.987709,0.648299,0.226157,0.000273773
