step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.309981,0.0352813,0,2,0,0,0.0912237,0,0.022017,0,0,0,0,0.118692,0.135722,0.208064,0,0,0,3.19911e-05,0,1,0.971642,0.18039,1.48704e-07,0.958349,0.00952457,0.463113,0.061639
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0428404,0,0.440068,0.112769,0,4,0,0,0.0925855,0,0.0977021,0,0,0,0,0.179328,0.510606,0.202596,0,0,0,3.19758e-05,0,1,0.898821,0.17092,1.01836e-06,0.965972,0.0437143,0.729665,0.142551
600,60,2.5,9,5,4,0,9,0,0,0,9,7,0,0.0480177,0,0.391184,0.198376,0,4,4,0,0.207052,0,0.193958,0,0,0,0,0.208498,0.481165,0.21879,0,0,0,3.1963e-05,0,1,0.806323,0.168148,3.12138e-06,0.99842,0.0873078,0.839436,0.0745719
800,80,3.33333,12,5,7,0,12,0,0,0,10,6,0,0.0488509,0,0.358764,0.274817,0,6,6,0,0.217005,0,0.272491,0,0,0,0,0.218632,0.45671,0.412834,0,0,0,3.19503e-05,0,1,0.691597,0.161372,6.19323e-06,0.99842,0.122985,0.864014,0.0486907
1000,100,4.16667,13,5,7,1,12,1,0,0,7,6,4.16667,0.0473717,0.000247075,0.323152,0.34347,0,10,10,0,0.218083,0,0.326676,0,0,0,0,0.216832,0.423063,0.471737,0,0,0,3.19375e-05,0,0.99889,0.646774,0.160262,9.6243e-06,0.998441,0.147731,0.848998,0.0300792
1200,120,5,14,5,8,1,13,1,0,0,6,5,4.16667,0.0447401,0.000515741,0.305198,0.40642,0,10,10,0,0.196594,0,0.362794,0,0,0,0,0.204031,0.377922,0.484526,0,0,0,3.19248e-05,0,0.997376,0.642765,0.162266,1.29696e-05,0.998441,0.164361,0.839105,0.013863
1400,140,5.83333,14,5,7,2,12,2,0,0,4,5,8.33333,0.041644,0.000884561,0.273497,0.464692,0,10,10,0,0.173168,0,0.386556,0,0,0,0,0.186246,0.337647,0.490192,0,0,0,3.1912e-05,0,0.995029,0.63873,0.163521,1.60153e-05,0.998462,0.175436,0.859795,0.00620736
1600,160,6.66667,16,5,8,3,13,3,0,0,3,3,12.5,0.0384787,0.00164306,0.246877,0.516904,0,10,10,4,0.167984,0.0327958,0.402035,0,0,0,0,0.167283,0.30307,0.475274,0,0,0,0.00017183,0,0.990131,0.63467,0.164227,1.86938e-05,0.998483,0.182787,0.881506,0.00237404
1800,180,7.5,18,5,9,4,14,4,0,0,2,2,12.5,0.0354603,0.00233645,0.220717,0.563803,0,10,10,6,0.163935,0.0822433,0.41202,0,0,0,0,0.148679,0.273618,0.437057,0,0,0,0.000578995,0,0.984937,0.630595,0.164546,2.1014e-05,0.998483,0.187664,0.899551,0.000873927
2000,200,8.33333,25,5,14,6,19,6,0,0,0,1,16.6667,0.0326952,0.00318746,0.1948,0.605481,0,10,10,10,0.160182,0.143092,0.418307,0,0,0,0,0.131043,0.246049,0.404915,0,0,0,0.00122954,0,0.978233,0.626515,0.164575,2.30166e-05,0.998504,0.190875,0.914932,0.000323479
2200,220,9.16667,30,5,18,7,23,7,0,0,0,1,16.6667,0.0302251,0.00398752,0.172916,0.64232,0,10,10,10,0.160342,0.228892,0.422041,0,0,0,0,0.114708,0.22649,0.37832,0,0,0,0.0021942,0,0.971149,0.62244,0.164414,2.47506e-05,0.998504,0.192932,0.928219,0.000117871
2400,240,10,45,5,23,17,34,11,0,0,0,5,16.6667,0.0280537,0.00468769,0.157762,0.675168,0,10,10,10,0.152713,0.315041,0.423942,0,0,0,0,0.0999884,0.219267,0.356317,0,0,0,0.00377779,0,0.964066,0.618381,0.164118,2.62607e-05,0.998504,0.194161,0.939765,0.0047528
2600,260,10.8333,54,5,19,30,37,17,0,0,0,7,25,0.0261638,0.00634248,0.147695,0.7058,0,10,10,10,0.141632,0.403691,0.424427,0,0,0,0,0.0847607,0.225938,0.336107,0,0,0,0.05784,0,0.954449,0.614346,0.162927,2.75826e-05,0.998546,0.194769,0.949812,0.0107196
2800,280,11.6667,63,5,17,41,41,22,0,0,0,9,25,0.024528,0.00817545,0.138687,0.734416,0,10,10,10,0.129659,0.493189,0.423825,0,0,0,0,0.0712008,0.246878,0.318841,0,0,0,0.260979,0,0.943912,0.610339,0.161593,2.87423e-05,0.998546,0.194979,0.958548,0.0191277
3000,300,12.5,72,5,18,49,45,27,0,0,0,9,25,0.0231162,0.00977954,0.125745,0.760952,0,10,10,10,0.11789,0.579237,0.422415,0,0,0,0,0.0597424,0.235844,0.304697,0,0,0,0.612016,0,0.933472,0.60636,0.160428,2.97611e-05,0.998546,0.194989,0.966133,0.00788984
3200,320,13.3333,76,5,16,55,43,33,0,0,0,7,29.1667,0.0218987,0.0116543,0.111198,0.784815,0,10,10,10,0.107692,0.662084,0.420405,0,0,0,0,0.0502028,0.226182,0.292099,0,0,0,0.797416,0,0.922054,0.602406,0.158997,3.06563e-05,0.998567,0.194848,0.972707,0.00334648
3400,340,14.1667,83,5,16,62,45,38,0,0,0,7,41.6667,0.0208484,0.0156715,0.0966195,0.805757,0,10,10,10,0.100161,0.742733,0.41798,0,0,0,0,0.0425659,0.225021,0.279492,0,0,0,0.797506,0,0.908267,0.598474,0.156839,3.14434e-05,0.998629,0.194587,0.978398,0.00500418
3600,360,15,86,5,14,67,42,42,2,0,0,8,45.8333,0.0199413,0.0281372,0.0810709,0.823573,0,9,9,9,0.0940677,0.813182,0.4153,0,0,0,0,0.0362335,0.216021,0.264968,0,0,0,0.797622,0,0.889966,0.594563,0.153322,3.21367e-05,0.99865,0.194231,0.98332,0.00338985
3800,380,15.8333,90,5,12,73,43,42,5,0,0,7,45.8333,0.0191567,0.0393648,0.0699522,0.838678,0,9,9,9,0.0897508,0.883181,0.412473,0,0,0,0,0.0311753,0.204851,0.252877,0,0,0,0.797714,0,0.871736,0.590671,0.150294,3.27498e-05,0.99865,0.193799,0.987578,0.00157988
4000,400,16.6667,94,5,11,78,43,43,8,0,0,4,45.8333,0.0184767,0.0495871,0.0623996,0.851934,0,9,9,9,0.0865625,0.953181,0.409584,0,0,0,0,0.0270837,0.194184,0.242893,0,0,0,0.797785,0,0.853479,0.586799,0.147712,3.33058e-05,0.998671,0.193308,0.99126,0.000707303
4200,420,17.5,99,5,15,79,45,44,10,0,0,4,45.8333,0.017886,0.0604367,0.0578423,0.864021,0,7,7,7,0.0833937,1.01273,0.406688,0,0,0,0,0.0234663,0.183511,0.234629,0,0,0,0.79789,0,0.833899,0.582947,0.145494,3.38051e-05,0.998692,0.19277,0.994447,0.00124555
4400,440,18.3333,103,5,17,81,45,45,13,0,0,5,50,0.0173713,0.0710455,0.0563815,0.875359,0,5,5,5,0.0802265,1.05893,0.4038,0,0,0,0,0.0202695,0.183764,0.227757,0,0,0,0.798053,0,0.813108,0.579118,0.143569,3.42436e-05,0.998734,0.192194,0.997209,0.00939168
4600,460,19.1667,108,5,17,86,45,47,16,0,0,4,50,0.0169209,0.0927526,0.0545453,0.886568,0,5,5,5,0.0771613,1.08893,0.400925,0,0,0,0,0.0174032,0.2117,0.22073,0,0,0,0.798263,0,0.78939,0.575315,0.141365,3.46384e-05,0.998734,0.191588,0.999606,0.0170623
4800,480,20,111,5,17,89,44,49,18,0,0,5,54.1667,0.0165247,0.116387,0.0509712,0.897186,0,3,3,3,0.0743427,1.11303,0.398061,0,0,0,0,0.0149129,0.235438,0.214269,0,0,0,0.798455,0,0.764478,0.571534,0.139211,3.49937e-05,0.998775,0.190958,1.00169,0.0160219
5000,500,20.8333,115,5,18,92,45,49,20,1,0,5,58.3333,0.0161742,0.143176,0.0456848,0.906916,0,2,2,2,0.072132,1.13303,0.395208,0,0,0,0,0.0128875,0.248364,0.207281,0,0,0,0.798625,0,0.73745,0.56777,0.136701,3.5312e-05,0.998796,0.190306,1.00351,0.00989982
5200,520,21.6667,119,5,19,95,46,49,19,5,0,4,58.3333,0.015862,0.165893,0.0366802,0.915048,0,0,0,0,0.087458,1.13323,0.392389,0,0,0,0,0.0132407,0.215206,0.200586,0,0,0,0.798864,0,0.709934,0.564018,0.134189,3.55965e-05,0.998796,0.189637,1.00511,0.0042028
5400,540,22.5,121,5,16,100,42,53,20,6,0,4,62.5,0.0155831,0.18412,0.0333876,0.922062,0,0,0,0,0.0982896,1.13323,0.389707,0,0,0,0,0.0139538,0.174498,0.194998,0,0,0,0.799063,0,0.68265,0.560276,0.132023,3.5853e-05,0.998859,0.188955,1.00652,0.00154312
5600,560,23.3333,125,5,19,101,45,52,23,5,0,4,70.8333,0.0153343,0.228233,0.0283384,0.928397,0,0,0,0,0.100774,1.13323,0.387212,0,0,0,0,0.0142825,0.14146,0.188043,0,0,0,0.799227,0,0.648088,0.556548,0.129232,3.61075e-05,0.998984,0.188267,1.00776,0.000565504
