step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.311694,0.0352748,0,2,0,0,0.0913278,0,0.022017,0,0,0,0,0.118692,0.0563324,0.266734,0,0,0,3.19978e-05,0,1,0.984559,0.205149,1.48704e-07,0.958349,0.00952457,0.463113,0.0554834
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0428327,0,0.443898,0.113405,0,4,0,0,0.0934042,0,0.0963199,0,0,0,0,0.179329,0.195212,0.288068,0,0,0,3.19758e-05,0,1,0.942607,0.209488,1.00931e-06,0.963847,0.0430957,0.73006,0.117991
600,60,2.5,8,5,3,0,8,0,0,0,9,7,0,0.0479711,0,0.376278,0.192848,0,4,4,0,0.209754,0,0.190184,0,0,0,0,0.210257,0.168752,0.38894,0,0,0,3.1963e-05,0,1,0.893478,0.209253,3.05431e-06,0.99842,0.0856007,0.841096,0.0615185
800,80,3.33333,12,5,7,0,12,0,0,0,10,10,0,0.0487589,0,0.386958,0.270123,0,6,6,0,0.202836,0,0.268201,0,0,0,0,0.216994,0.198919,0.541626,0,0,0,3.19503e-05,0,1,0.833031,0.221128,6.03356e-06,0.99842,0.121036,0.867263,0.0838132
1000,100,4.16667,13,5,7,1,12,1,0,0,5,10,4.16667,0.0472535,0.000177086,0.327691,0.342012,0,10,10,0,0.204124,0,0.322823,0,0,0,0,0.213654,0.218422,0.592823,0,0,0,3.19375e-05,0,0.999191,0.725677,0.216322,9.38089e-06,0.998441,0.145973,0.853255,0.0657573
1200,120,5,14,5,8,1,13,1,0,0,5,7,4.16667,0.0446115,0.000454491,0.291707,0.404059,0,10,10,0,0.218503,0,0.359373,0,0,0,0,0.205971,0.177273,0.605763,0,0,0,3.19248e-05,0,0.997653,0.642945,0.210564,1.26633e-05,0.998441,0.162793,0.839784,0.0281238
1400,140,5.83333,16,5,8,3,13,3,0,0,3,8,12.5,0.0415154,0.00118511,0.246389,0.457319,0,10,10,0,0.228468,0,0.383741,0,0,0,0,0.194933,0.141987,0.602781,0,0,0,3.1912e-05,0,0.993404,0.639016,0.208961,1.56689e-05,0.998483,0.174137,0.860159,0.011436
1600,160,6.66667,18,5,8,5,13,5,0,0,1,10,16.6667,0.0383609,0.00206334,0.217252,0.503892,0,10,10,4,0.23648,0.0328424,0.400119,0,0,0,0,0.179608,0.131459,0.584371,0,0,0,0.000204198,0,0.987636,0.635093,0.209458,1.83358e-05,0.998504,0.18189,0.881894,0.022695
1800,180,7.5,24,5,14,5,19,5,0,0,1,10,16.6667,0.0353636,0.00300376,0.190066,0.544901,0,10,10,6,0.231208,0.0728586,0.411209,0,0,0,0,0.163249,0.10874,0.517167,0,0,0,0.000677555,0,0.980699,0.631184,0.197979,2.06769e-05,0.998504,0.187265,0.899936,0.00998618
