step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0293782,0,0.311616,0.0352853,0,4,0,0,0.0913289,0,0.022017,0,0,0,0,0.118692,0.0392371,0.266857,0,0,0,3.41802e-05,0,1,0.984897,0.205233,1.48704e-07,0.958349,0.00952457,0.463113,0.0367263
400,40,1.66667,7,5,2,0,7,0,0,0,9,10,0,0.0428297,0,0.448722,0.113737,0,8,4,0,0.0933578,0,0.0960346,0,0,0,0,0.179329,0.214268,0.423965,0,0,0,3.19758e-05,0,1,0.936516,0.208005,1.00574e-06,0.962778,0.0429664,0.730229,0.135695
600,60,2.5,8,5,3,0,8,0,0,0,9,9,0,0.04795,0,0.429585,0.207188,0,8,7,0,0.14115,0,0.187053,0,0,0,0,0.207057,0.267928,0.506332,0,0,0,3.1963e-05,0,1,0.843066,0.197223,3.02461e-06,0.99842,0.0841843,0.841848,0.120178
800,80,3.33333,12,5,6,1,11,1,0,0,10,8,4.16667,0.0486615,0.00011093,0.404573,0.289378,0,12,12,0,0.166305,0,0.260642,0,0,0,0,0.216863,0.246459,0.505582,0,0,0,3.19503e-05,0,0.999616,0.726688,0.179603,5.87767e-06,0.998441,0.117612,0.870645,0.0730894
1000,100,4.16667,12,5,6,1,11,1,0,0,6,8,4.16667,0.0470712,0.000396596,0.322648,0.363734,0,17,17,0,0.21222,0,0.314325,0,0,0,0,0.217087,0.218431,0.493216,0,0,0,3.19375e-05,0,0.998365,0.64684,0.165772,9.04222e-06,0.998441,0.142113,0.859783,0.0472167
1200,120,5,13,5,6,2,11,2,0,0,6,6,8.33333,0.0443895,0.000745284,0.289678,0.424584,0,17,17,0,0.218625,0,0.352573,0,0,0,0,0.208515,0.1768,0.487256,0,0,0,3.19248e-05,0,0.996437,0.642886,0.162764,1.21837e-05,0.998462,0.159687,0.841027,0.0216667
1400,140,5.83333,14,5,6,3,11,3,0,0,5,6,12.5,0.0412896,0.00128304,0.252956,0.479063,0,17,17,4,0.214065,0.0217798,0.378241,0,0,0,0,0.192763,0.143005,0.481025,0,0,0,9.47361e-05,0,0.993137,0.638935,0.163942,1.5108e-05,0.998483,0.17161,0.86073,0.00972231
1600,160,6.66667,17,5,7,5,12,5,0,0,2,8,16.6667,0.0381457,0.00220439,0.232374,0.527841,0,17,17,8,0.208038,0.0781579,0.395345,0,0,0,0,0.172296,0.119068,0.446004,0,0,0,0.000683249,0,0.987188,0.634997,0.164799,1.77324e-05,0.998504,0.179684,0.882535,0.00493894
1800,180,7.5,21,5,9,7,14,7,0,0,1,8,16.6667,0.03516,0.0031272,0.200878,0.570893,0,17,17,12,0.201702,0.152094,0.406606,0,0,0,0,0.152817,0.099313,0.413711,0,0,0,0.0037882,0,0.980374,0.63108,0.165467,2.00467e-05,0.998504,0.185131,0.900609,0.00242517
