step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.312722,0.0352957,0,4,0,0,0.0913299,0,0.0267349,0,0,0,0,0.2967,0.0511607,0.266828,0,0,0,3.2063e-05,0,1,0.984823,0.205213,1.82065e-07,0.958349,0.011565,0.462364,0.0497197
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0434947,0,0.447766,0.113769,0,8,4,0,0.093427,0,0.186934,0,0,0,0,0.448024,0.176252,0.426267,0,0,0,3.1976e-05,0,1,0.943056,0.20958,1.56163e-06,0.99842,0.0838871,0.703357,0.107395
600,60,2.5,11,5,6,0,11,0,0,0,9,10,0,0.0499079,0,0.426587,0.207017,0,8,8,0,0.154794,0,0.368958,0,0,0,0,0.516278,0.227857,0.515219,0,0,0,3.19631e-05,0,1,0.869448,0.203416,5.59457e-06,0.99842,0.166306,0.751986,0.103706
800,80,3.33333,12,5,6,1,11,1,0,0,9,8,4.16667,0.0521691,4.75134e-05,0.349633,0.286205,0,12,12,0,0.209911,0,0.496423,0,0,0,0,0.545999,0.236917,0.509528,0,0,0,3.19503e-05,0,0.999658,0.763934,0.188044,1.19033e-05,0.998441,0.224261,0.740735,0.0747108
1000,100,4.16667,12,5,6,1,11,1,0,0,7,6,4.16667,0.0518737,0.000341098,0.319851,0.353053,0,17,17,0,0.213619,0,0.554599,0,0,0,0,0.535406,0.199287,0.504758,0,0,0,3.19375e-05,0,0.997224,0.658448,0.171495,1.90758e-05,0.998441,0.251035,0.788373,0.0388904
1200,120,5,13,5,6,2,11,2,0,0,7,4,8.33333,0.0498913,0.000783981,0.301161,0.416001,0,17,17,0,0.190943,0,0.576806,0,0,0,0,0.500367,0.16575,0.49823,0,0,0,3.19248e-05,0,0.993245,0.64291,0.166474,2.55508e-05,0.998462,0.261579,0.821247,0.0180344
1400,140,5.83333,13,5,5,3,10,3,0,0,6,3,12.5,0.0470927,0.0014931,0.266498,0.472851,0,17,17,4,0.180672,0.0381355,0.586795,0,0,0,0,0.457286,0.140269,0.481734,0,0,0,0.000213897,0,0.986603,0.638968,0.164705,3.10017e-05,0.998483,0.26661,0.845882,0.00895551
1600,160,6.66667,16,5,7,4,12,4,0,0,5,3,16.6667,0.0440443,0.0024808,0.24147,0.523936,0,17,17,8,0.184568,0.15152,0.591993,0,0,0,0,0.410539,0.121752,0.441312,0,0,0,0.00167003,0,0.976901,0.635037,0.1648,3.55376e-05,0.998504,0.269477,0.865697,0.00426618
1800,180,7.5,19,5,8,6,13,6,0,0,2,2,16.6667,0.0410621,0.0033691,0.215702,0.569798,0,17,17,12,0.186726,0.308051,0.594399,0,0,0,0,0.364628,0.10669,0.409841,0,0,0,0.12196,0,0.966989,0.631125,0.165458,3.93586e-05,0.998504,0.27108,0.882419,0.00190497
2000,200,8.33333,22,5,11,6,16,6,0,0,0,2,16.6667,0.0383011,0.00414649,0.186791,0.610504,0,17,17,17,0.188331,0.485148,0.593983,0,0,0,0,0.319028,0.0955736,0.386273,0,0,0,0.504854,0,0.957084,0.627238,0.166807,4.26367e-05,0.998504,0.271407,0.89691,0.0010608
2200,220,9.16667,27,5,14,8,19,8,0,0,0,6,16.6667,0.0358174,0.0048268,0.183926,0.647641,0,17,17,17,0.18355,0.696546,0.592714,0,0,0,0,0.273043,0.122722,0.36562,0,0,0,0.798807,0,0.947209,0.62338,0.167301,4.54798e-05,0.998504,0.271343,0.909622,0.0336663
2400,240,10,36,5,22,9,27,9,0,0,0,6,16.6667,0.0336211,0.00542217,0.173034,0.683675,0,17,17,17,0.1727,0.908199,0.59072,0,0,0,0,0.233173,0.159935,0.34291,0,0,0,0.79883,0,0.937389,0.619551,0.165319,4.79667e-05,0.998504,0.270985,0.920814,0.0461543
2600,260,10.8333,43,5,24,14,29,14,0,0,0,8,25,0.0316952,0.00606444,0.156381,0.716974,0,17,17,17,0.159121,1.12221,0.58765,0,0,0,0,0.198521,0.168888,0.327588,0,0,0,0.798836,0,0.927261,0.615735,0.164935,5.0143e-05,0.998546,0.270314,0.930665,0.0316518
2800,280,11.6667,55,5,31,19,36,19,0,0,0,8,25,0.0300125,0.00793212,0.136156,0.746283,0,17,17,17,0.146295,1.36797,0.583654,0,0,0,0,0.168439,0.149572,0.312506,0,0,0,0.798786,0,0.912821,0.611922,0.163538,5.20405e-05,0.998546,0.269478,0.939324,0.0128094
3000,300,12.5,66,5,30,31,39,27,0,0,0,6,29.1667,0.0285438,0.0102499,0.118172,0.771758,0,17,17,17,0.133484,1.61725,0.578976,0,0,0,0,0.142779,0.131794,0.298829,0,0,0,0.798751,0,0.89626,0.608107,0.161793,5.36865e-05,0.998567,0.268531,0.94692,0.00531434
3200,320,13.3333,76,5,29,42,44,32,0,0,0,7,33.3333,0.0272614,0.0131336,0.104536,0.794082,0,17,17,17,0.121453,1.85761,0.573845,0,0,0,0,0.12105,0.121211,0.287247,0,0,0,0.798746,0,0.879309,0.604295,0.160142,5.51072e-05,0.998587,0.267497,0.953575,0.00577004
3400,340,14.1667,85,5,27,53,47,38,0,0,0,9,41.6667,0.0261403,0.0214384,0.0911627,0.813804,0,16,16,16,0.111429,2.09368,0.568464,0,0,0,0,0.102913,0.113526,0.275198,0,0,0,0.79876,0,0.857973,0.600496,0.157695,5.63292e-05,0.998629,0.266393,0.959402,0.00501324
3600,360,15,96,5,22,69,48,45,3,0,0,9,50,0.0251587,0.0348807,0.0792209,0.830946,0,16,16,16,0.103082,2.32082,0.562987,0,0,0,0,0.087781,0.10453,0.265095,0,0,0,0.798796,0,0.831896,0.596718,0.15553,5.74087e-05,0.998712,0.265237,0.964501,0.00249066
3800,380,15.8333,100,5,24,71,50,42,8,0,0,8,54.1667,0.0242977,0.058257,0.0678798,0.845709,0,16,16,16,0.0964299,2.53896,0.557516,0,0,0,0,0.0754191,0.0974923,0.256026,0,0,0,0.798839,0,0.797939,0.592972,0.153373,5.83303e-05,0.998775,0.264052,0.968966,0.00138056
4000,400,16.6667,106,5,20,81,47,46,13,0,0,6,58.3333,0.0235409,0.094963,0.0575609,0.858304,0,14,14,14,0.0918105,2.73557,0.552146,0,0,0,0,0.0659107,0.0896792,0.247791,0,0,0,0.798892,0,0.758235,0.589262,0.151219,5.91133e-05,0.998817,0.262874,0.972877,0.000702247
4200,420,17.5,113,5,23,85,49,47,17,0,0,6,58.3333,0.0228748,0.131322,0.0503091,0.869093,0,9,9,9,0.0883674,2.87146,0.546976,0,0,0,0,0.0583922,0.0776235,0.241309,0,0,0,0.799009,0,0.715613,0.585591,0.149496,5.98122e-05,0.998838,0.261705,0.976306,0.000323732
4400,440,18.3333,120,5,23,92,52,47,21,0,0,5,58.3333,0.0222878,0.160322,0.0498988,0.879137,0,7,7,7,0.0854052,2.99658,0.542062,0,0,0,0,0.0521439,0.0873272,0.234777,0,0,0,0.799092,0,0.672558,0.58196,0.147533,6.0414e-05,0.998838,0.260546,0.979316,0.0155966
4600,460,19.1667,123,5,18,100,47,52,21,3,0,6,66.6667,0.0217703,0.201941,0.0467936,0.888987,0,6,6,6,0.0823434,3.09939,0.537422,0,0,0,0,0.0462951,0.0996175,0.222778,0,0,0,0.799171,0,0.624094,0.578367,0.143203,6.09553e-05,0.998921,0.259394,0.98196,0.0189326
4800,480,20,129,5,19,105,49,53,21,6,0,6,70.8333,0.0213129,0.252697,0.0418555,0.897915,0,3,3,3,0.0791746,3.16623,0.532961,0,0,0,0,0.0406783,0.101125,0.208857,0,0,0,0.799292,0,0.570401,0.574807,0.137958,6.14455e-05,0.998984,0.258251,0.984286,0.0125028
5000,500,20.8333,131,5,20,106,49,53,20,9,0,4,75,0.0209058,0.311032,0.0361965,0.905757,0,3,3,3,0.0761133,3.21873,0.528568,0,0,0,0,0.0355609,0.0785828,0.197188,0,0,0,0.799403,0,0.511058,0.571278,0.133493,6.18873e-05,0.999046,0.257116,0.986335,0.00478499
5200,520,21.6667,133,5,19,109,48,56,21,8,0,3,100,0.0205401,0.385732,0.0308046,0.912509,0,0,0,0,0.0732489,3.21925,0.524194,0,0,0,0,0.0308131,0.0571716,0.188341,0,0,0,0.799572,0,0.442592,0.567777,0.130059,6.22783e-05,0.999171,0.255987,0.988148,0.00185949
5400,540,22.5,0,0,0,0,0,0,0,0,0,3,100,0.0202496,0.466299,0.0178925,0.917237,0,0,0,0,0.0712813,3.21925,0.525522,0,0,0,0,0.0267744,0.0417255,0.171094,0,0,0,0.799693,0,0.294564,0.564305,0.123185,0.0024857,0.999921,0.254867,0.989739,0.000729916
5600,560,23.3333,0,0,0,0,0,0,0,0,0,2,100,0.0200344,0.520283,0.011399,0.920109,0,0,0,0,0.0698476,3.21925,0.525413,0,0,0,0,0.0233379,0.0304096,0.162982,0,0,0,0.799778,0,0.160204,0.560864,0.119902,0.00251257,0.999921,0.253775,0.991084,0.000283137
5800,580,24.1667,0,0,0,0,0,0,0,0,0,1,100,0.0198589,0.556455,0.00771551,0.921994,0,0,0,0,0.0683945,3.21925,0.524411,0,0,0,0,0.0201812,0.0221345,0.156231,0,0,0,0.799839,0,0.0640389,0.557451,0.11711,0.00254118,0.999921,0.252722,0.992199,0.000108789
6000,600,25,0,0,0,0,0,0,0,0,0,0,100,0.0197037,0.580692,0.00544624,0.923297,0,0,0,0,0.0668146,3.21925,0.522706,0,0,0,0,0.0171439,0.0160928,0.150568,0,0,0,0.799882,0,0.0143893,0.554065,0.11471,0.0025687,0.999921,0.251665,0.99313,4.14745e-05
6200,620,25.8333,0,0,0,0,0,0,0,0,0,0,100,0.0195568,0.596932,0.00395152,0.924229,0,0,0,0,0.0652273,3.21925,0.52035,0,0,0,0,0.0143679,0.0116882,0.145795,0,0,0,0.799913,0,8.87163e-07,0.550705,0.112633,0.00259342,0.999921,0.250623,0.993924,1.57095e-05
6400,640,26.6667,0,0,0,0,0,0,0,0,0,0,100,0.0194103,0.607813,0.00292217,0.924912,0,0,0,0,0.0637179,3.21925,0.51741,0,0,0,0,0.0119258,0.0084812,0.141753,0,0,0,0.799935,0,8.87163e-07,0.547372,0.11082,0.00261426,0.999921,0.249566,0.994623,5.91789e-06
6600,660,27.5,0,0,0,0,0,0,0,0,0,0,100,0.0192597,0.615105,0.00219124,0.925421,0,0,0,0,0.0623282,3.21925,0.513992,0,0,0,0,0.0098301,0.00614893,0.138311,0,0,0,0.799951,0,8.87163e-07,0.544064,0.109224,0.00263068,0.999922,0.248494,0.995262,2.21895e-06
6800,680,28.3333,0,0,0,0,0,0,0,0,0,0,100,0.0191032,0.61999,0.00166073,0.925804,0,0,0,0,0.0610733,3.21925,0.510211,0,0,0,0,0.00806201,0.0044546,0.13536,0,0,0,0.799962,0,8.87163e-07,0.540781,0.107807,0.00264259,0.999922,0.247418,0.995868,8.2868e-07
7000,700,29.1667,0,0,0,0,0,0,0,0,0,0,100,0.0189408,0.623264,0.00126938,0.926095,0,0,0,0,0.0599529,3.21925,0.506181,0,0,0,0,0.00658794,0.00322489,0.132812,0,0,0,0.799971,0,8.87163e-07,0.537523,0.106537,0.0026502,0.999922,0.246347,0.99646,3.084e-07
7200,720,30,0,0,0,0,0,0,0,0,0,0,100,0.0187735,0.625457,0.000977038,0.926319,0,0,0,0,0.0589581,3.21925,0.501995,0,0,0,0,0.00536939,0.00233316,0.130595,0,0,0,0.799977,0,8.87163e-07,0.534289,0.105389,0.00265392,0.999922,0.245282,0.997049,1.14425e-07
7400,740,30.8333,0,0,0,0,0,0,0,0,0,0,100,0.018603,0.626927,0.000756466,0.926492,0,0,0,0,0.0580761,3.21925,0.497732,0,0,0,0,0.0043682,0.00168703,0.128649,0,0,0,0.799981,0,8.87163e-07,0.531077,0.10434,0.00265427,0.999922,0.244223,0.99764,4.23416e-08
7600,760,31.6667,0,0,0,0,0,0,0,0,0,0,100,0.018431,0.627912,0.000588669,0.926626,0,0,0,0,0.0572925,3.21925,0.493449,0,0,0,0,0.0035492,0.0012192,0.126927,0,0,0,0.799984,0,8.87163e-07,0.527888,0.103373,0.00265176,0.999922,0.243169,0.998236,1.5631e-08
7800,780,32.5,0,0,0,0,0,0,0,0,0,0,100,0.0182592,0.628571,0.000460135,0.92673,0,0,0,0,0.0565932,3.21925,0.48919,0,0,0,0,0.00288136,0.000880674,0.125388,0,0,0,0.799986,0,8.87163e-07,0.52472,0.102475,0.00264691,0.999922,0.242121,0.998835,5.7583e-09
8000,800,33.3333,0,0,0,0,0,0,0,0,0,0,100,0.0180889,0.629014,0.00036109,0.926812,0,0,0,0,0.055965,3.21925,0.484987,0,0,0,0,0.002338,0.000635867,0.124,0,0,0,0.799988,0,8.87163e-07,0.521573,0.101632,0.00264018,0.999922,0.241079,0.999436,2.11733e-09
8200,820,34.1667,0,0,0,0,0,0,0,0,0,0,100,0.0179212,0.62931,0.000284371,0.926877,0,0,0,0,0.0553961,3.21925,0.480863,0,0,0,0,0.00189659,0.000458927,0.122736,0,0,0,0.799989,0,8.87163e-07,0.518447,0.100837,0.00263195,0.999922,0.240042,1.00003,7.77236e-10
