step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,7,0,0.0294937,0,0.33186,0.0364409,0,4,0,0,0.0913515,0,0.0267349,0,0,0,0,0.2967,0.0451158,0.267411,0,0,0,3.45422e-05,0,1,0.986505,0.205615,7.37298e-06,0.958349,0.011565,0.462364,0.0443812
400,40,1.66667,8,5,2,1,7,1,0,0,9,10,4.16667,0.043447,8.63883e-05,0.518913,0.124685,0,8,4,0,0.0929767,0,0.180069,0,0,0,0,0.448045,0.257619,0.407139,0,0,0,3.19769e-05,0,0.999771,0.891005,0.196724,6.07781e-05,0.998441,0.0808018,0.705145,0.166238
600,60,2.5,11,5,5,1,10,1,0,0,9,10,4.16667,0.049733,0.000375118,0.427006,0.2186,0,8,6,0,0.18317,0,0.356183,0,0,0,0,0.530561,0.292885,0.460834,0,0,0,3.19632e-05,0,0.99854,0.713495,0.166067,0.000214146,0.998441,0.160538,0.758023,0.11367
800,80,3.33333,13,5,5,3,10,3,0,0,11,10,12.5,0.0517797,0.000941763,0.409042,0.302467,0,12,11,0,0.252463,0,0.473814,0,0,0,0,0.572162,0.260344,0.461571,0,0,0,3.19503e-05,0,0.994654,0.650754,0.157344,0.000447167,0.998483,0.214016,0.74122,0.0749689
1000,100,4.16667,18,5,8,5,13,5,0,0,7,9,20.8333,0.0513168,0.00243221,0.375427,0.381146,0,17,17,0,0.263063,0,0.5407,0,0,0,0,0.567047,0.220421,0.473335,0,0,0,3.19375e-05,0,0.985531,0.64676,0.159827,0.000710867,0.998524,0.244674,0.789298,0.0452984
1200,120,5,24,5,12,7,17,7,0,0,3,10,20.8333,0.0494162,0.00404001,0.315581,0.451073,0,17,17,0,0.280001,0,0.572454,0,0,0,0,0.543879,0.171138,0.479183,0,0,0,3.19248e-05,0,0.973422,0.642754,0.161507,0.000966382,0.998524,0.259518,0.822487,0.0203367
1400,140,5.83333,33,5,15,13,21,12,0,0,1,8,20.8333,0.0467603,0.00544705,0.304,0.51222,0,17,17,4,0.273195,0.0381399,0.585739,0,0,0,0,0.498314,0.131345,0.464875,0,0,0,0.000302064,0,0.961053,0.638747,0.16259,0.00119097,0.998524,0.266037,0.847176,0.00728185
1600,160,6.66667,40,5,14,21,21,19,0,0,0,7,29.1667,0.0438128,0.00736948,0.294346,0.572824,0,17,17,6,0.24468,0.110668,0.591217,0,0,0,0,0.437682,0.103428,0.42654,0,0,0,0.00381428,0,0.946331,0.634753,0.162671,0.00137889,0.998566,0.269031,0.866877,0.00285303
1800,180,7.5,47,5,16,26,26,21,0,0,0,8,29.1667,0.040897,0.00978763,0.27128,0.628823,0,17,17,9,0.226412,0.198163,0.594125,0,0,0,0,0.387629,0.103417,0.393481,0,0,0,0.103896,0,0.928984,0.630785,0.161997,0.00153688,0.998566,0.270863,0.883426,0.0205926
