step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0294937,0,0.332914,0.0364777,0,4,0,0,0.0913495,0,0.0267349,0,0,0,0,0.2967,0.0451191,0.267339,0,0,0,0.000188069,0,1,0.986301,0.205566,7.37298e-06,0.958349,0.011565,0.462364,0.0449282
400,40,1.66667,10,5,4,1,9,1,0,0,9,10,4.16667,0.0434468,8.33021e-05,0.513527,0.124102,0,8,4,0,0.0930021,0,0.180091,0,0,0,0,0.448045,0.235779,0.409494,0,0,0,3.19764e-05,0,0.999779,0.89737,0.198302,6.07641e-05,0.998441,0.0808115,0.705137,0.150752
600,60,2.5,13,5,6,2,11,2,0,0,11,8,8.33333,0.0497502,0.000543569,0.410909,0.212244,0,8,6,0,0.205835,0,0.359706,0,0,0,0,0.532331,0.269706,0.474979,0,0,0,3.19631e-05,0,0.997829,0.758254,0.176201,0.000215198,0.998462,0.162123,0.757454,0.101
800,80,3.33333,15,5,6,4,11,4,0,0,13,6,12.5,0.0519129,0.00134748,0.384289,0.293596,0,12,12,0,0.22068,0,0.485109,0,0,0,0,0.554692,0.253102,0.467945,0,0,0,3.19503e-05,0,0.992279,0.650412,0.157244,0.000457586,0.998483,0.219127,0.741123,0.0616412
1000,100,4.16667,19,5,8,6,13,6,0,0,9,8,16.6667,0.0515498,0.00214972,0.349929,0.366135,0,17,17,0,0.230656,0,0.546754,0,0,0,0,0.550301,0.214632,0.479051,0,0,0,3.19375e-05,0,0.985253,0.645827,0.160108,0.000733574,0.998503,0.24744,0.788993,0.0369319
1200,120,5,23,5,9,9,14,9,0,0,6,10,25,0.049601,0.00400506,0.323842,0.434072,0,17,17,0,0.246612,0,0.573116,0,0,0,0,0.529736,0.181545,0.483136,0,0,0,3.19248e-05,0,0.973093,0.641079,0.161223,0.000989477,0.998545,0.259852,0.822029,0.0231098
1400,140,5.83333,32,5,14,13,19,13,0,0,5,9,29.1667,0.046871,0.00636862,0.291744,0.493976,0,17,17,4,0.229168,0.0381364,0.586031,0,0,0,0,0.486453,0.140766,0.466078,0,0,0,0.000255123,0,0.957541,0.636344,0.161362,0.00120943,0.998566,0.266202,0.846704,0.0083894
1600,160,6.66667,39,5,12,22,22,17,0,0,4,9,33.3333,0.0438899,0.00961182,0.252187,0.547824,0,17,17,6,0.233424,0.122474,0.591763,0,0,0,0,0.440249,0.111975,0.424473,0,0,0,0.0018088,0,0.937766,0.63171,0.160337,0.00139477,0.998587,0.26931,0.866458,0.00311957
1800,180,7.5,43,5,10,28,21,22,0,0,2,7,33.3333,0.0409525,0.0124634,0.228576,0.595892,0,17,17,10,0.232676,0.243042,0.594248,0,0,0,0,0.395115,0.0939713,0.39034,0,0,0,0.108218,0,0.917941,0.627214,0.159399,0.00155063,0.998587,0.27095,0.883073,0.00117618
2000,200,8.33333,49,5,15,29,24,25,0,0,0,7,33.3333,0.0382243,0.0149589,0.201535,0.639339,0,17,17,15,0.223058,0.389689,0.59449,0,0,0,0,0.350123,0.0835804,0.364226,0,0,0,0.417289,0,0.898117,0.622863,0.159297,0.00168436,0.998587,0.271575,0.89745,0.000443525
2200,220,9.16667,54,5,16,33,24,30,0,0,0,8,37.5,0.0357771,0.0180049,0.194997,0.678657,0,17,17,15,0.212721,0.582187,0.59449,0,0,0,0,0.305053,0.081199,0.344315,0,0,0,0.798955,0,0.877724,0.618648,0.159736,0.00180189,0.998608,0.272086,0.910046,0.00414374
2400,240,10,61,5,17,39,27,34,0,0,0,7,45.8333,0.0336283,0.026566,0.183585,0.716886,0,17,17,15,0.195344,0.774684,0.594155,0,0,0,0,0.259335,0.0770003,0.326369,0,0,0,0.798948,0,0.853292,0.614557,0.159373,0.00190742,0.99865,0.272442,0.921111,0.00261793
2600,260,10.8333,69,5,22,42,33,35,1,0,0,7,50,0.0317579,0.0399196,0.155423,0.750352,0,17,17,15,0.177351,0.967179,0.592712,0,0,0,0,0.226331,0.0744991,0.309926,0,0,0,0.798938,0,0.82483,0.610573,0.158313,0.0020025,0.998671,0.272292,0.930816,0.0017551
2800,280,11.6667,79,5,22,52,36,40,3,0,0,9,50,0.0301328,0.0548144,0.143552,0.779944,0,17,17,15,0.158918,1.15967,0.590212,0,0,0,0,0.194213,0.0802778,0.295829,0,0,0,0.79893,0,0.793767,0.606681,0.157128,0.00208758,0.998712,0.271699,0.939309,0.00929726
3000,300,12.5,92,5,27,60,42,45,5,0,0,9,50,0.0287212,0.0727997,0.135081,0.80799,0,17,17,15,0.142206,1.35217,0.586828,0,0,0,0,0.163277,0.086685,0.281912,0,0,0,0.798931,0,0.757294,0.602867,0.155144,0.00216325,0.998754,0.270894,0.946727,0.0118071
3200,320,13.3333,108,5,23,80,51,47,10,0,0,8,58.3333,0.0274914,0.100426,0.120632,0.833743,0,17,17,15,0.128357,1.54466,0.582669,0,0,0,0,0.137986,0.0812884,0.269627,0,0,0,0.798938,0,0.714939,0.599117,0.153102,0.00222984,0.998837,0.269934,0.953199,0.00446199
