step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.332526,0.036362,0,4,0,0,0.0913432,0,0.0267349,0,0,0,0,0.2967,0.0625152,0.266736,0,0,0,3.24846e-05,0,1,0.984655,0.20516,7.37298e-06,0.958349,0.011565,0.462364,0.0633991
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,4.16667,0.0434445,6.62542e-05,0.511683,0.123451,0,8,4,0,0.0928591,0,0.179035,0,0,0,0,0.448045,0.272223,0.405574,0,0,0,3.19765e-05,0,0.999824,0.885811,0.195578,6.06473e-05,0.998441,0.0803433,0.705194,0.168532
600,60,2.5,12,5,6,1,11,1,0,0,9,8,4.16667,0.049691,0.000357498,0.387339,0.215957,0,8,7,0,0.195356,0,0.353479,0,0,0,0,0.530436,0.31886,0.45555,0,0,0,3.19631e-05,0,0.998518,0.697217,0.162325,0.000211393,0.998441,0.159315,0.759406,0.118716
800,80,3.33333,13,5,6,2,11,2,0,0,9,9,8.33333,0.0517587,0.0008709,0.357313,0.291371,0,12,12,0,0.263137,0,0.47688,0,0,0,0,0.568754,0.285074,0.46494,0,0,0,3.19503e-05,0,0.994885,0.650694,0.157339,0.000444801,0.998462,0.215395,0.741291,0.0792552
1000,100,4.16667,16,5,6,5,11,5,0,0,6,8,20.8333,0.0513494,0.00171707,0.347259,0.361804,0,17,17,0,0.266851,0,0.542368,0,0,0,0,0.562331,0.232793,0.49252,0,0,0,3.19375e-05,0,0.988049,0.646621,0.165905,0.000712727,0.998524,0.245429,0.789329,0.0430483
1200,120,5,20,5,8,7,13,7,0,0,3,9,20.8333,0.0494535,0.00341417,0.306582,0.428593,0,17,17,0,0.255798,0,0.574318,0,0,0,0,0.529986,0.2151,0.505753,0,0,0,3.19248e-05,0,0.975893,0.642531,0.170765,0.000969476,0.998524,0.260361,0.822466,0.0422678
1400,140,5.83333,26,5,11,10,16,10,0,0,1,7,20.8333,0.0467899,0.00489935,0.287826,0.487318,0,17,17,4,0.258124,0.0326883,0.586282,0,0,0,0,0.484832,0.174989,0.528488,0,0,0,0.000212863,0,0.96351,0.638444,0.185236,0.00119415,0.998524,0.266285,0.84712,0.0188128
1600,160,6.66667,34,5,14,15,20,14,0,0,1,7,29.1667,0.0438325,0.00723195,0.279091,0.544133,0,17,17,6,0.236725,0.0997269,0.591668,0,0,0,0,0.428032,0.137685,0.52298,0,0,0,0.00103961,0,0.947587,0.634377,0.198835,0.00138155,0.998566,0.269238,0.866812,0.00672725
1800,180,7.5,40,5,18,17,23,17,0,0,0,10,29.1667,0.0409105,0.00966728,0.249447,0.596357,0,17,17,10,0.233972,0.202994,0.594271,0,0,0,0,0.377435,0.113419,0.46219,0,0,0,0.0642282,0,0.930241,0.630342,0.187493,0.0015391,0.998566,0.270932,0.883364,0.00512257
