step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0294937,0,0.331883,0.03639,0,4,0,0,0.091342,0,0.0267349,0,0,0,0,0.2967,0.0518795,0.266669,0,0,0,0.000505639,0,1,0.984471,0.205115,7.37298e-06,0.958349,0.011565,0.462364,0.052207
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,8.33333,0.0434347,3.50377e-05,0.509202,0.123081,0,8,4,0,0.0929634,0,0.177498,0,0,0,0,0.44805,0.223357,0.409672,0,0,0,3.19766e-05,0,0.999908,0.896807,0.198317,6.01562e-05,0.998462,0.0796544,0.705586,0.142314
600,60,2.5,11,5,5,1,10,1,0,0,8,10,8.33333,0.0496288,0.000629697,0.389917,0.206345,0,8,5,0,0.209199,0,0.347171,0,0,0,0,0.542563,0.280151,0.470097,0,0,0,3.1963e-05,0,0.997633,0.745955,0.173018,0.000207324,0.998462,0.156459,0.76151,0.106435
800,80,3.33333,15,5,6,4,11,4,0,0,9,8,16.6667,0.0515754,0.0016082,0.370045,0.281996,0,12,11,0,0.25539,0,0.468384,0,0,0,0,0.572589,0.265957,0.462407,0,0,0,3.19503e-05,0,0.991313,0.650556,0.157266,0.000429881,0.998503,0.211538,0.741487,0.0681661
1000,100,4.16667,19,5,8,6,13,6,0,0,8,6,25,0.0510729,0.00306998,0.305467,0.348757,0,17,17,0,0.26977,0,0.537665,0,0,0,0,0.569857,0.212696,0.473399,0,0,0,3.19375e-05,0,0.981253,0.646093,0.160525,0.000685094,0.998545,0.243264,0.789751,0.0321362
1200,120,5,27,5,12,10,18,9,0,0,7,7,25,0.0491944,0.00531157,0.287764,0.409081,0,17,17,0,0.247727,0,0.574189,0,0,0,0,0.533217,0.159009,0.524421,0,0,0,3.19248e-05,0,0.967061,0.641463,0.181336,0.000937628,0.998545,0.260253,0.823075,0.0116093
1400,140,5.83333,32,5,15,12,20,12,0,0,3,9,29.1667,0.0465998,0.00791279,0.270892,0.465626,0,17,17,4,0.227057,0.0326942,0.588557,0,0,0,0,0.485122,0.123413,0.476751,0,0,0,0.000208857,0,0.950074,0.636832,0.171653,0.00116496,0.998566,0.267261,0.847791,0.00826476
1600,160,6.66667,39,5,18,16,23,16,0,0,2,10,33.3333,0.043701,0.0108001,0.244203,0.517329,0,17,17,6,0.211808,0.0926886,0.593662,0,0,0,0,0.438869,0.0958641,0.426103,0,0,0,0.00165458,0,0.930892,0.632285,0.165936,0.00135647,0.998587,0.270087,0.867441,0.00383825
1800,180,7.5,47,5,16,26,23,24,0,0,1,10,33.3333,0.0408173,0.0135033,0.220459,0.563646,0,17,17,10,0.196943,0.165211,0.594487,0,0,0,0,0.392891,0.077656,0.389582,0,0,0,0.0736554,0,0.911067,0.627858,0.163164,0.0015175,0.998587,0.27098,0.883909,0.00180734
