step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0294937,0,0.312045,0.0353219,0,4,0,0,0.0913264,0,0.0267349,0,0,0,0,0.2967,0.0477066,0.266536,0,0,0,3.20239e-05,0,1,0.984025,0.205017,1.82065e-07,0.958349,0.011565,0.462364,0.0463398
400,40,1.66667,6,5,1,0,6,0,0,0,8,10,0,0.0434908,0,0.441736,0.113354,0,8,4,0,0.093356,0,0.187261,0,0,0,0,0.448027,0.179756,0.425754,0,0,0,3.19759e-05,0,1,0.941276,0.209197,1.55697e-06,0.99842,0.0840261,0.703495,0.11019
600,60,2.5,12,5,7,0,12,0,0,0,9,10,0,0.049928,0,0.384055,0.193246,0,8,8,0,0.167429,0,0.370217,0,0,0,0,0.52563,0.195562,0.525587,0,0,0,3.1963e-05,0,1,0.88926,0.208249,5.62501e-06,0.99842,0.166876,0.751365,0.0848149
800,80,3.33333,12,5,6,1,11,1,0,0,11,9,4.16667,0.0521445,8.63883e-05,0.349989,0.267754,0,12,12,0,0.191057,0,0.491354,0,0,0,0,0.546825,0.208351,0.530562,0,0,0,3.19503e-05,0,0.999409,0.813009,0.199339,1.18633e-05,0.998441,0.22197,0.740722,0.074606
1000,100,4.16667,12,5,6,1,11,1,0,0,7,9,4.16667,0.0517769,0.000375118,0.313195,0.334048,0,17,17,0,0.213523,0,0.552268,0,0,0,0,0.541786,0.178011,0.525941,0,0,0,3.19375e-05,0,0.997061,0.731582,0.187742,1.88591e-05,0.998441,0.249967,0.788451,0.0392941
1200,120,5,13,5,7,1,12,1,0,0,6,8,4.16667,0.049828,0.000627796,0.272366,0.393461,0,17,17,0,0.216605,0,0.576266,0,0,0,0,0.518387,0.146113,0.531302,0,0,0,3.19248e-05,0,0.994583,0.666497,0.18269,2.5361e-05,0.998441,0.261324,0.821393,0.0169501
1400,140,5.83333,17,5,8,4,13,4,0,0,5,5,12.5,0.04705,0.00107875,0.245652,0.444748,0,17,17,4,0.208985,0.0285915,0.586417,0,0,0,0,0.480812,0.119616,0.568399,0,0,0,0.000142266,0,0.990271,0.639022,0.199483,3.08379e-05,0.998483,0.266428,0.84604,0.00654616
1600,160,6.66667,22,5,10,7,16,6,0,0,3,4,16.6667,0.0440148,0.00192282,0.217947,0.49112,0,17,17,8,0.210179,0.134527,0.591788,0,0,0,0,0.434773,0.0975049,0.523552,0,0,0,0.001439,0,0.982204,0.635117,0.197349,3.53974e-05,0.998504,0.269373,0.865843,0.00246842
1800,180,7.5,26,5,14,7,19,7,0,0,0,6,16.6667,0.0410416,0.00288079,0.188149,0.531186,0,17,17,12,0.217138,0.247566,0.594431,0,0,0,0,0.392838,0.0875241,0.476389,0,0,0,0.102571,0,0.972291,0.631232,0.191797,3.92385e-05,0.998504,0.271084,0.882544,0.0091462
2000,200,8.33333,35,5,21,9,27,8,0,0,0,8,16.6667,0.0382893,0.00371915,0.18951,0.569024,0,17,17,17,0.2024,0.384848,0.594491,0,0,0,0,0.337524,0.0963289,0.43653,0,0,0,0.413276,0,0.962379,0.627372,0.186685,4.25422e-05,0.998504,0.271626,0.897012,0.0200035
2200,220,9.16667,46,5,26,15,33,13,0,0,0,7,20.8333,0.0358246,0.00467693,0.175547,0.606033,0,17,17,17,0.184389,0.53823,0.594264,0,0,0,0,0.287407,0.0889641,0.402334,0,0,0,0.799079,0,0.951727,0.623538,0.181808,4.54498e-05,0.998525,0.272034,0.909691,0.0104263
2400,240,10,62,5,23,34,42,20,0,0,0,8,29.1667,0.0336534,0.00729669,0.153797,0.639084,0,17,17,17,0.165772,0.684002,0.592878,0,0,0,0,0.244378,0.0824369,0.373491,0,0,0,0.799124,0,0.934926,0.619728,0.177409,4.80314e-05,0.998566,0.271913,0.920834,0.00723845
2600,260,10.8333,68,5,19,44,40,28,0,0,0,7,33.3333,0.0317506,0.0101103,0.134062,0.668027,0,17,17,17,0.148467,0.828812,0.590212,0,0,0,0,0.207516,0.0760478,0.350469,0,0,0,0.799159,0,0.916459,0.615943,0.173978,5.0306e-05,0.998587,0.2713,0.930624,0.00409251
2800,280,11.6667,78,5,17,56,46,32,0,0,0,7,41.6667,0.0300871,0.0139547,0.116751,0.693188,0,17,17,17,0.133528,0.983861,0.586494,0,0,0,0,0.176299,0.0733284,0.332063,0,0,0,0.799166,0,0.896335,0.612184,0.17128,5.22955e-05,0.998629,0.270492,0.939217,0.00426224
3000,300,12.5,83,5,13,65,45,38,0,0,0,7,41.6667,0.0286344,0.0233901,0.100792,0.714984,0,17,17,17,0.121016,1.14748,0.582084,0,0,0,0,0.149692,0.0748549,0.314398,0,0,0,0.799158,0,0.872312,0.608449,0.167967,5.40271e-05,0.998629,0.269569,0.946749,0.00578111
3200,320,13.3333,88,5,13,70,46,40,2,0,0,7,45.8333,0.027366,0.0318892,0.088174,0.733862,0,17,17,17,0.110976,1.31207,0.577226,0,0,0,0,0.127217,0.0742083,0.300475,0,0,0,0.799151,0,0.848435,0.604738,0.165405,5.55328e-05,0.998671,0.268557,0.953344,0.00558356
3400,340,14.1667,91,5,13,73,43,42,6,0,0,7,50,0.0262576,0.0476959,0.0762579,0.750365,0,17,17,17,0.103561,1.47823,0.572098,0,0,0,0,0.10881,0.0709934,0.287306,0,0,0,0.799144,0,0.818225,0.601052,0.162535,5.68581e-05,0.998712,0.267476,0.959115,0.00244833
3600,360,15,99,5,20,74,48,43,8,0,0,6,50,0.0252876,0.0637449,0.0665095,0.764659,0,17,17,17,0.0977652,1.64658,0.566858,0,0,0,0,0.0933753,0.068508,0.276264,0,0,0,0.799137,0,0.785941,0.59739,0.160017,5.79869e-05,0.998712,0.266342,0.964164,0.00116005
3800,380,15.8333,105,5,19,81,48,47,10,0,0,6,54.1667,0.0244371,0.0827354,0.0600066,0.777362,0,15,15,15,0.0932641,1.80373,0.561604,0,0,0,0,0.0805556,0.0693583,0.266746,0,0,0,0.799143,0,0.752282,0.593753,0.1577,5.89661e-05,0.998754,0.265167,0.968582,0.00479711
4000,400,16.6667,112,5,24,83,53,45,14,0,0,5,54.1667,0.0236898,0.105952,0.0534405,0.788722,0,15,15,15,0.0893133,1.95615,0.556408,0,0,0,0,0.0696922,0.0645007,0.258356,0,0,0,0.799154,0,0.71603,0.590141,0.155501,5.98337e-05,0.998775,0.263977,0.97245,0.00174834
4200,420,17.5,118,5,24,89,50,49,19,0,0,5,54.1667,0.0230311,0.127462,0.0498662,0.799052,0,11,11,11,0.0855392,2.05083,0.55129,0,0,0,0,0.0604412,0.0578021,0.25206,0,0,0,0.799229,0,0.676669,0.586553,0.153867,6.05937e-05,0.998796,0.262796,0.975841,0.00335652
4400,440,18.3333,125,5,24,96,51,52,21,1,0,4,58.3333,0.0224483,0.144542,0.0486505,0.808807,0,6,6,6,0.0819813,2.10648,0.546263,0,0,0,0,0.0524814,0.0524462,0.246952,0,0,0,0.799345,0,0.637361,0.582991,0.152484,6.12415e-05,0.998838,0.261624,0.978819,0.00773336
4600,460,19.1667,131,5,20,106,51,54,22,4,0,5,58.3333,0.0219303,0.170864,0.0490675,0.818701,0,6,6,6,0.0786437,2.11943,0.541344,0,0,0,0,0.045416,0.0651287,0.237913,0,0,0,0.799501,0,0.59429,0.579454,0.149348,6.18062e-05,0.998838,0.26046,0.98144,0.0193788
4800,480,20,134,5,17,112,50,56,21,7,0,4,62.5,0.0214678,0.195338,0.0461743,0.828325,0,4,4,4,0.0755959,2.12459,0.536524,0,0,0,0,0.0392602,0.0715248,0.226372,0,0,0,0.799623,0,0.550539,0.575941,0.145063,6.22977e-05,0.998879,0.259305,0.983754,0.015012
5000,500,20.8333,136,5,17,114,49,56,23,8,0,4,66.6667,0.0210521,0.232608,0.041797,0.837195,0,4,4,4,0.0728487,2.12459,0.531761,0,0,0,0,0.0339799,0.0755653,0.213213,0,0,0,0.799717,0,0.501776,0.572449,0.140008,6.27212e-05,0.998942,0.258158,0.985804,0.00982901
