step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0294937,0,0.329922,0.0363599,0,4,0,0,0.091343,0,0.0267349,0,0,0,0,0.2967,0.0553828,0.266735,0,0,0,3.23669e-05,0,1,0.984652,0.205159,7.37298e-06,0.958349,0.011565,0.462364,0.0555845
400,40,1.66667,9,5,4,0,9,0,0,0,8,10,0,0.0434556,0,0.507821,0.122353,0,8,4,0,0.0931022,0,0.180461,0,0,0,0,0.44804,0.246773,0.413357,0,0,0,3.1977e-05,0,1,0.906732,0.200784,6.11999e-05,0.99842,0.0809851,0.704778,0.157631
600,60,2.5,10,5,4,1,9,1,0,0,11,9,8.33333,0.0497046,0.0005822,0.401768,0.213413,0,8,4,0,0.164343,0,0.351607,0,0,0,0,0.534102,0.337126,0.473231,0,0,0,3.1963e-05,0,0.997841,0.755524,0.175229,0.000212465,0.998462,0.158461,0.758906,0.124679
800,80,3.33333,12,5,4,3,9,3,0,0,13,6,16.6667,0.051684,0.00127484,0.374748,0.289589,0,12,11,0,0.22372,0,0.470613,0,0,0,0,0.563492,0.30674,0.457103,0,0,0,3.19503e-05,0,0.993322,0.650766,0.157333,0.000439592,0.998503,0.212554,0.741309,0.078184
1000,100,4.16667,16,5,7,4,12,4,0,0,10,4,20.8333,0.0511965,0.0024381,0.353872,0.363007,0,17,16,0,0.212972,0,0.541465,0,0,0,0,0.548305,0.246732,0.468328,0,0,0,3.19375e-05,0,0.984176,0.646787,0.160291,0.000698773,0.998524,0.244997,0.789492,0.0441612
1200,120,5,20,5,8,7,14,6,0,0,5,8,20.8333,0.049297,0.00404516,0.308865,0.428943,0,17,17,0,0.232853,0,0.574561,0,0,0,0,0.524027,0.187874,0.467704,0,0,0,3.19248e-05,0,0.972302,0.6428,0.161861,0.00095184,0.998524,0.260444,0.822761,0.0217247
1400,140,5.83333,29,5,15,9,20,9,0,0,2,6,20.8333,0.0466527,0.00545155,0.278277,0.486782,0,17,17,2,0.239071,0.0163416,0.589702,0,0,0,0,0.489681,0.138523,0.456731,0,0,0,5.7203e-05,0,0.960038,0.638815,0.162863,0.00117555,0.998524,0.267798,0.847497,0.0077509
1600,160,6.66667,35,5,11,19,22,13,0,0,1,8,29.1667,0.0437389,0.00736494,0.269509,0.542459,0,17,17,4,0.209028,0.0470094,0.594082,0,0,0,0,0.4343,0.108952,0.425073,0,0,0,0.000324741,0,0.945292,0.634844,0.162904,0.00136572,0.998566,0.270298,0.867195,0.00618968
1800,180,7.5,41,5,12,24,25,16,0,0,0,8,33.3333,0.0408452,0.00994519,0.241413,0.592445,0,17,17,8,0.193213,0.0989802,0.594488,0,0,0,0,0.386435,0.0954162,0.39193,0,0,0,0.00147903,0,0.927412,0.630896,0.162052,0.00152561,0.998587,0.271002,0.883708,0.0116045
