step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0294937,0,0.33343,0.0365189,0,4,0,0,0.0913352,0,0.0267349,0,0,0,0,0.2967,0.0595245,0.266091,0,0,0,0.000146188,0,1,0.982888,0.204725,7.37298e-06,0.958349,0.011565,0.462364,0.059194
400,40,1.66667,10,5,4,1,9,1,0,0,9,10,4.16667,0.0434313,5.22127e-05,0.506522,0.12321,0,8,4,0,0.0928951,0,0.176947,0,0,0,0,0.448051,0.216293,0.409252,0,0,0,3.19767e-05,0,0.999863,0.895566,0.198025,5.99906e-05,0.998441,0.0794074,0.705715,0.13012
600,60,2.5,11,5,4,2,9,2,0,0,10,8,12.5,0.0496214,0.000698442,0.415795,0.207883,0,8,6,0,0.17285,0,0.346659,0,0,0,0,0.532064,0.247113,0.47054,0,0,0,3.19632e-05,0,0.997285,0.748467,0.173446,0.000206794,0.998483,0.156232,0.761798,0.0876912
800,80,3.33333,13,5,4,4,9,4,0,0,9,10,16.6667,0.0515476,0.0017439,0.362599,0.287317,0,12,12,0,0.198127,0,0.462283,0,0,0,0,0.556022,0.22243,0.464271,0,0,0,3.19503e-05,0,0.990579,0.65076,0.157331,0.000427634,0.998503,0.208784,0.741512,0.0546731
1000,100,4.16667,18,5,7,6,12,6,0,0,7,10,20.8333,0.0509968,0.00274704,0.339951,0.358536,0,17,17,0,0.230775,0,0.529084,0,0,0,0,0.554631,0.196188,0.47712,0,0,0,3.19375e-05,0,0.98197,0.646778,0.160375,0.000678022,0.998524,0.239384,0.789832,0.0406648
1200,120,5,25,5,11,9,17,8,0,0,5,9,20.8333,0.0490723,0.00431552,0.318502,0.424441,0,17,17,0,0.237699,0,0.565735,0,0,0,0,0.534035,0.15413,0.481151,0,0,0,3.19248e-05,0,0.97033,0.642788,0.161922,0.000924481,0.998524,0.256422,0.823251,0.0175144
1400,140,5.83333,32,5,15,12,21,11,0,0,4,8,20.8333,0.0464762,0.00568816,0.292519,0.485616,0,17,17,4,0.223532,0.0326945,0.583568,0,0,0,0,0.489003,0.120547,0.466802,0,0,0,0.000234351,0,0.958149,0.6388,0.162908,0.00114932,0.998524,0.264988,0.848061,0.00697121
1600,160,6.66667,40,5,17,18,25,15,0,0,3,7,33.3333,0.0436131,0.00805948,0.272629,0.542602,0,17,17,7,0.20868,0.101914,0.59047,0,0,0,0,0.435764,0.0958451,0.427299,0,0,0,0.00165273,0,0.941775,0.634827,0.162544,0.00134279,0.998587,0.268626,0.867745,0.00258148
1800,180,7.5,46,5,17,24,26,20,0,0,0,7,33.3333,0.0407564,0.0111049,0.243913,0.594343,0,17,17,11,0.196033,0.19191,0.593467,0,0,0,0,0.385867,0.0781365,0.392964,0,0,0,0.0885496,0,0.92195,0.63088,0.161441,0.00150594,0.998587,0.270498,0.884196,0.000932866
2000,200,8.33333,49,5,14,30,24,25,0,0,0,6,37.5,0.0380818,0.0139408,0.201799,0.638612,0,17,17,15,0.181219,0.281909,0.594486,0,0,0,0,0.345025,0.0655145,0.367225,0,0,0,0.325036,0,0.902015,0.626966,0.161419,0.00164563,0.998608,0.271475,0.898386,0.000337095
2200,220,9.16667,57,5,16,36,30,27,0,0,0,5,37.5,0.0356699,0.0198149,0.181603,0.676931,0,17,17,16,0.164277,0.371909,0.594294,0,0,0,0,0.302086,0.056517,0.346879,0,0,0,0.709583,0,0.87972,0.623088,0.161625,0.00176787,0.998608,0.271901,0.910807,0.000121742
2400,240,10,60,5,15,40,30,30,0,0,0,4,45.8333,0.0335405,0.0304227,0.16008,0.711258,0,17,17,16,0.148269,0.461909,0.593554,0,0,0,0,0.263579,0.0501097,0.329161,0,0,0,0.799326,0,0.853727,0.61925,0.161303,0.00187651,0.99865,0.272075,0.921725,4.39445e-05
2600,260,10.8333,63,5,16,42,29,34,0,0,0,4,50,0.0316804,0.0433478,0.139536,0.741284,0,17,17,16,0.133855,0.551909,0.592022,0,0,0,0,0.229464,0.04556,0.313853,0,0,0,0.799344,0,0.825291,0.615452,0.160653,0.00197367,0.998671,0.271885,0.931318,1.58551e-05
2800,280,11.6667,71,5,20,46,33,37,1,0,0,4,50,0.0300636,0.0566311,0.125195,0.767583,0,17,17,17,0.121155,0.641909,0.589563,0,0,0,0,0.196733,0.0423287,0.301063,0,0,0,0.799357,0,0.79552,0.611692,0.159952,0.0020606,0.998691,0.271316,0.939727,5.71814e-06
3000,300,12.5,76,5,18,53,32,39,5,0,0,5,50,0.0286595,0.0701049,0.11694,0.791883,0,17,17,17,0.110398,0.734983,0.586247,0,0,0,0,0.165128,0.0439805,0.290438,0,0,0,0.799377,0,0.763781,0.607969,0.159253,0.00213805,0.998712,0.270511,0.94708,0.00355033
3200,320,13.3333,81,5,15,61,33,41,7,0,0,8,54.1667,0.0274366,0.0885476,0.108551,0.814496,0,17,17,17,0.101675,0.838483,0.582151,0,0,0,0,0.138641,0.0457361,0.280745,0,0,0,0.79938,0,0.728366,0.604281,0.15822,0.00220635,0.998754,0.26955,0.953501,0.00416943
3400,340,14.1667,84,5,15,64,34,41,9,0,0,8,58.3333,0.0263667,0.117617,0.0978591,0.835227,0,17,17,17,0.0944378,0.943482,0.577451,0,0,0,0,0.116846,0.0458613,0.271141,0,0,0,0.799384,0,0.688203,0.600624,0.156642,0.00226584,0.998796,0.268513,0.959107,0.00219815
