step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0293782,0,0.332376,0.0363162,0,4,1,0,0.0913643,0,0.022017,0,0,0,0,0.118692,0.06183,0.333452,0,0,0,3.20024e-05,0,1,0.986981,0.205723,6.02189e-06,0.958349,0.00952457,0.463113,0.0604997
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,4.16667,0.0428198,2.86221e-05,0.516797,0.123576,0,8,5,0,0.0931403,0,0.0942245,0,0,0,0,0.17933,0.254886,0.470496,0,0,0,3.19763e-05,0,0.999925,0.906259,0.20055,4.01811e-05,0.960206,0.0421552,0.730638,0.156059
600,60,2.5,11,5,4,2,10,1,0,0,10,9,8.33333,0.047898,0.000330955,0.406847,0.212436,0,8,8,0,0.211515,0,0.183333,0,0,0,0,0.215573,0.299226,0.480409,0,0,0,3.19631e-05,0,0.999075,0.745452,0.173534,0.000119013,0.998462,0.0825026,0.843844,0.113559
800,80,3.33333,13,5,4,4,9,4,0,0,10,7,16.6667,0.0485798,0.00118195,0.392043,0.294037,0,12,12,0,0.255382,0,0.257867,0,0,0,0,0.228666,0.258905,0.46747,0,0,0,3.19503e-05,0,0.996161,0.650764,0.157332,0.000230907,0.998503,0.116351,0.87364,0.0676201
1000,100,4.16667,16,5,5,6,10,6,0,0,9,6,20.8333,0.0469849,0.00272435,0.344082,0.36748,0,17,17,0,0.260105,0,0.312299,0,0,0,0,0.227124,0.207759,0.478415,0,0,0,3.19375e-05,0,0.990295,0.646781,0.159991,0.000356116,0.998524,0.141185,0.862936,0.03243
1200,120,5,21,5,9,7,14,7,0,0,6,7,25,0.0442983,0.00490125,0.31105,0.434026,0,17,17,1,0.245211,0.00738102,0.350262,0,0,0,0,0.213338,0.165513,0.479416,0,0,0,3.19248e-05,0,0.981955,0.642791,0.161144,0.000480139,0.998545,0.158626,0.842197,0.014919
1400,140,5.83333,27,5,11,11,16,11,0,0,6,8,25,0.041195,0.00691417,0.287742,0.494107,0,17,17,5,0.243027,0.0391759,0.37612,0,0,0,0,0.195723,0.13078,0.460231,0,0,0,0.000258692,0,0.972655,0.638806,0.161757,0.000595368,0.998545,0.170631,0.861013,0.00611287
1600,160,6.66667,34,5,16,13,21,13,0,0,4,7,33.3333,0.0380528,0.00947852,0.256204,0.548799,0,17,17,8,0.241424,0.101316,0.393564,0,0,0,0,0.177434,0.105588,0.421235,0,0,0,0.00110717,0,0.961003,0.634836,0.161391,0.000698912,0.998587,0.178856,0.882834,0.00248291
1800,180,7.5,38,5,16,17,21,17,0,0,0,8,33.3333,0.035074,0.0123468,0.237592,0.598583,0,17,17,12,0.223552,0.171312,0.405264,0,0,0,0,0.156004,0.0894164,0.38815,0,0,0,0.0364044,0,0.947473,0.630892,0.160558,0.000790569,0.998587,0.184498,0.900913,0.00204344
