step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.334012,0.0365891,0,4,0,0,0.0913428,0,0.022017,0,0,0,0,0.296729,0.0496061,0.266809,0,0,0,0.000459803,0,1,0.984848,0.205209,6.02189e-06,0.958349,0.00952457,0.463113,0.0496721
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,4.16667,0.0430537,7.24679e-05,0.521623,0.125144,0,8,4,0,0.0928195,0,0.16578,0,0,0,0,0.448225,0.254571,0.403231,0,0,0,3.19768e-05,0,0.999808,0.879451,0.194005,5.12434e-05,0.998441,0.0744583,0.710433,0.158835
600,60,2.5,11,5,5,1,10,1,0,0,9,10,4.16667,0.0489202,0.000362936,0.426699,0.213439,0,8,6,0,0.216379,0,0.334911,0,0,0,0,0.53593,0.263621,0.461505,0,0,0,3.19631e-05,0,0.9987,0.713073,0.166293,0.000181146,0.998441,0.150995,0.771852,0.102322
800,80,3.33333,13,5,5,3,10,3,0,0,10,10,12.5,0.0506626,0.000880154,0.399208,0.298044,0,12,12,0,0.253063,0,0.455582,0,0,0,0,0.566907,0.278621,0.468642,0,0,0,3.19503e-05,0,0.995393,0.65075,0.157343,0.00038559,0.998483,0.205812,0.744783,0.0948392
1000,100,4.16667,16,5,6,5,11,5,0,0,6,10,12.5,0.0497782,0.0016688,0.373689,0.375877,0,17,17,0,0.247079,0,0.489587,0,0,0,0,0.55766,0.241417,0.479535,0,0,0,3.19375e-05,0,0.989292,0.646757,0.160406,0.000602684,0.998483,0.221586,0.792149,0.0557918
1200,120,5,20,5,8,7,13,7,0,0,4,10,25,0.0472693,0.00358634,0.314995,0.444596,0,17,17,0,0.239277,0,0.489587,0,0,0,0,0.529926,0.200986,0.481691,0,0,0,3.19248e-05,0,0.978931,0.642751,0.161665,0.00078466,0.998545,0.222024,0.826616,0.0333839
1400,140,5.83333,26,5,10,11,15,11,0,0,4,9,25,0.0440822,0.00576345,0.28818,0.504674,0,17,17,4,0.241628,0.0381334,0.489587,0,0,0,0,0.491925,0.155855,0.467076,0,0,0,0.000272366,0,0.966683,0.638741,0.162145,0.000930903,0.998545,0.222458,0.852845,0.0132517
1600,160,6.66667,34,5,16,13,21,13,0,0,3,7,25,0.0407568,0.00766872,0.275594,0.560971,0,17,17,5,0.232893,0.119841,0.489587,0,0,0,0,0.442658,0.122285,0.428412,0,0,0,0.00197695,0,0.954435,0.634742,0.162333,0.00104828,0.998545,0.222889,0.874099,0.00493734
1800,180,7.5,39,5,15,19,23,16,0,0,0,7,29.1667,0.0375764,0.0100328,0.251788,0.613917,0,17,17,11,0.214595,0.223869,0.489588,0,0,0,0,0.390253,0.0983468,0.395084,0,0,0,0.102769,0,0.940197,0.630766,0.161748,0.00114416,0.998566,0.223316,0.892046,0.00196183
2000,200,8.33333,45,5,19,21,26,19,0,0,0,7,33.3333,0.0346763,0.0128139,0.237677,0.662725,0,17,17,17,0.197713,0.343565,0.489588,0,0,0,0,0.341449,0.083162,0.367708,0,0,0,0.384061,0,0.925531,0.626822,0.161165,0.00122474,0.998587,0.22374,0.907541,0.00151678
2200,220,9.16667,49,5,17,27,24,25,0,0,0,9,37.5,0.0321075,0.0184013,0.202398,0.707348,0,17,17,17,0.185257,0.491175,0.489588,0,0,0,0,0.298435,0.0824593,0.34423,0,0,0,0.799126,0,0.908417,0.622917,0.160194,0.00129471,0.998608,0.224161,0.921044,0.00686491
2400,240,10,53,5,14,34,23,30,0,0,0,9,41.6667,0.0298747,0.0267938,0.187653,0.746172,0,17,17,17,0.170392,0.64386,0.489588,0,0,0,0,0.258015,0.0760981,0.324318,0,0,0,0.799132,0,0.888304,0.619053,0.159055,0.00135745,0.998629,0.224578,0.932826,0.0038363
2600,260,10.8333,58,5,15,38,26,32,0,0,0,9,50,0.0279587,0.0396184,0.17175,0.782427,0,17,17,17,0.154616,0.798383,0.489587,0,0,0,0,0.219043,0.0730672,0.306681,0,0,0,0.799131,0,0.865091,0.615228,0.157524,0.00141524,0.998671,0.224991,0.943079,0.00311114
2800,280,11.6667,61,5,13,43,24,36,1,0,0,9,50,0.0263287,0.0546014,0.152367,0.814928,0,17,17,17,0.140399,0.954306,0.489517,0,0,0,0,0.186569,0.0701203,0.291929,0,0,0,0.799126,0,0.839453,0.611442,0.156079,0.00146956,0.998691,0.225369,0.95196,0.00178442
3000,300,12.5,66,5,12,49,28,36,2,0,0,10,50,0.0249452,0.0683574,0.136698,0.84385,0,17,17,17,0.128711,1.11023,0.488799,0,0,0,0,0.160004,0.0696449,0.280092,0,0,0,0.799123,0,0.81297,0.607692,0.154928,0.00152071,0.998691,0.225451,0.959616,0.00321161
3200,320,13.3333,70,5,10,55,29,36,5,0,0,10,54.1667,0.0237647,0.0888994,0.122575,0.869855,0,17,17,17,0.119085,1.26642,0.487362,0,0,0,0,0.138072,0.0671056,0.269736,0,0,0,0.799121,0,0.783985,0.603976,0.153655,0.00156792,0.998733,0.225204,0.966196,0.00191615
3400,340,14.1667,72,5,12,55,30,34,8,0,0,8,58.3333,0.0227518,0.113191,0.110215,0.893157,0,17,17,17,0.110945,1.42217,0.485479,0,0,0,0,0.119681,0.0657736,0.26114,0,0,0,0.799121,0,0.749884,0.600291,0.152501,0.00161079,0.998817,0.224788,0.971844,0.00205571
3600,360,15,76,5,12,59,30,36,10,0,0,7,62.5,0.0218789,0.149743,0.0989604,0.914122,0,17,17,17,0.103773,1.57765,0.483199,0,0,0,0,0.103946,0.0635515,0.252702,0,0,0,0.799122,0,0.710099,0.596636,0.150933,0.00164939,0.998879,0.224274,0.976696,0.0011268
3800,380,15.8333,80,5,9,66,32,36,12,0,0,8,66.6667,0.0211234,0.197503,0.0888552,0.932937,0,16,16,16,0.0971884,1.7229,0.48049,0,0,0,0,0.090268,0.0634085,0.243962,0,0,0,0.799139,0,0.663892,0.593009,0.148853,0.00168394,0.998921,0.223631,0.980868,0.00329005
4000,400,16.6667,83,5,9,69,31,39,13,0,0,8,66.6667,0.0204664,0.238048,0.078382,0.949654,0,15,15,15,0.0917558,1.85809,0.477452,0,0,0,0,0.0787209,0.0596161,0.23648,0,0,0,0.799163,0,0.61688,0.58941,0.146956,0.00171469,0.998921,0.222887,0.984464,0.00142906
4200,420,17.5,86,5,8,73,32,38,16,0,0,7,66.6667,0.0198918,0.269184,0.0709388,0.964597,0,11,11,11,0.0873487,1.94733,0.474185,0,0,0,0,0.0692693,0.0522751,0.230858,0,0,0,0.799238,0,0.570363,0.585837,0.145543,0.0017419,0.998921,0.222071,0.98757,0.000690169
4400,440,18.3333,87,5,8,74,32,38,17,0,0,7,66.6667,0.0193867,0.293101,0.0655602,0.97826,0,8,8,8,0.0835532,1.99406,0.470784,0,0,0,0,0.0611976,0.0432332,0.226669,0,0,0,0.799365,0,0.524346,0.582291,0.144488,0.00176586,0.998921,0.221199,0.990264,0.000695343
4600,460,19.1667,89,5,4,80,32,39,17,1,0,5,70.8333,0.0189403,0.330839,0.0605442,0.990883,0,7,7,7,0.0801779,2.0001,0.467298,0,0,0,0,0.054157,0.0327981,0.222025,0,0,0,0.799523,0,0.473561,0.57877,0.143078,0.00178689,0.998984,0.220286,0.992609,0.000413138
