step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.33128,0.0362196,0,4,0,0,0.0913531,0,0.022017,0,0,0,0,0.296729,0.0596532,0.267135,0,0,0,3.22147e-05,0,1,0.985777,0.205432,6.02189e-06,0.958349,0.00952457,0.463113,0.0614311
400,40,1.66667,8,5,3,0,8,0,0,0,9,10,0,0.0430723,0,0.511672,0.123607,0,8,4,0,0.0928462,0,0.168725,0,0,0,0,0.448217,0.244542,0.404845,0,0,0,3.19773e-05,0,1,0.882534,0.194959,5.21503e-05,0.99842,0.0757786,0.709742,0.149053
600,60,2.5,11,5,5,1,10,1,0,0,10,10,8.33333,0.0489778,0.000509905,0.379371,0.204312,0,8,5,0,0.209373,0,0.335807,0,0,0,0,0.546888,0.265936,0.46619,0,0,0,3.19631e-05,0,0.997996,0.730589,0.169919,0.000184957,0.998462,0.151394,0.769848,0.0958188
800,80,3.33333,13,5,4,4,9,4,0,0,12,8,12.5,0.0506841,0.00113628,0.356884,0.279672,0,12,12,0,0.254613,0,0.455882,0,0,0,0,0.570465,0.243458,0.465077,0,0,0,3.19503e-05,0,0.99394,0.650755,0.157344,0.000388231,0.998483,0.20595,0.744732,0.0627287
1000,100,4.16667,17,5,7,5,12,5,0,0,11,5,16.6667,0.0498019,0.00241611,0.350423,0.350109,0,17,17,0,0.235356,0,0.489587,0,0,0,0,0.553802,0.206693,0.475343,0,0,0,3.19375e-05,0,0.986377,0.646763,0.159975,0.000605892,0.998503,0.221592,0.792053,0.0400898
1200,120,5,24,5,12,7,17,7,0,0,9,4,20.8333,0.0472858,0.00381587,0.346521,0.420537,0,17,17,0,0.202722,0,0.489587,0,0,0,0,0.513407,0.165232,0.478267,0,0,0,3.19248e-05,0,0.977629,0.64275,0.161605,0.000787522,0.998524,0.22203,0.826529,0.020903
1400,140,5.83333,31,5,15,11,21,10,0,0,5,5,20.8333,0.0440939,0.0052509,0.323906,0.488229,0,17,17,4,0.196759,0.0326919,0.489587,0,0,0,0,0.464724,0.128119,0.461321,0,0,0,0.000219828,0,0.967422,0.638729,0.162661,0.000933409,0.998524,0.222464,0.852771,0.00924731
1600,160,6.66667,37,5,14,18,22,15,0,0,4,5,29.1667,0.0407653,0.00752144,0.304509,0.55107,0,17,17,5,0.186636,0.0926844,0.489588,0,0,0,0,0.412917,0.100853,0.423087,0,0,0,0.00104985,0,0.954368,0.634719,0.162474,0.00105046,0.998566,0.222895,0.874039,0.00492944
1800,180,7.5,46,5,14,27,27,19,0,0,1,10,37.5,0.0375827,0.0133639,0.269917,0.607145,0,17,17,10,0.183946,0.179005,0.489588,0,0,0,0,0.364073,0.100044,0.388559,0,0,0,0.0604638,0,0.93716,0.630736,0.160996,0.00114605,0.998608,0.223323,0.891997,0.017646
