step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.330765,0.0362294,0,4,1,0,0.0913512,0,0.022017,0,0,0,0,0.118692,0.0591307,0.273695,0,0,0,3.30115e-05,0,1,0.985546,0.205375,6.02189e-06,0.958349,0.00952457,0.463113,0.0617176
400,40,1.66667,8,5,3,0,7,1,0,0,9,10,4.16667,0.0428337,0,0.516718,0.123533,0,8,5,0,0.0928524,0,0.0963235,0,0,0,0,0.179328,0.27151,0.450234,0,0,0,3.19774e-05,0,1,0.880617,0.19447,4.08389e-05,0.964009,0.0430984,0.729923,0.164785
600,60,2.5,10,5,4,1,9,1,0,0,10,10,12.5,0.0479402,0.000877498,0.394051,0.20734,0,8,8,0,0.224602,0,0.185304,0,0,0,0,0.219045,0.288787,0.454417,0,0,0,3.19633e-05,0,0.997546,0.681218,0.1569,0.000121587,0.998483,0.0833958,0.842243,0.108721
800,80,3.33333,11,5,3,3,8,3,0,0,10,10,12.5,0.0486345,0.00166648,0.357054,0.285637,0,12,12,0,0.287168,0,0.260058,0,0,0,0,0.233928,0.251272,0.46712,0,0,0,3.19504e-05,0,0.994527,0.650743,0.157341,0.000235055,0.998483,0.117346,0.871639,0.0656317
1000,100,4.16667,14,5,5,4,10,4,0,0,8,8,16.6667,0.0470783,0.00237596,0.317724,0.352552,0,17,17,0,0.306787,0,0.317858,0,0,0,0,0.23439,0.20744,0.481377,0,0,0,3.19376e-05,0,0.99062,0.64674,0.160383,0.000363685,0.998503,0.143706,0.859661,0.0349881
1200,120,5,18,5,8,5,13,5,0,0,6,8,20.8333,0.0444657,0.00376218,0.297377,0.414422,0,17,17,1,0.290363,0.00358976,0.359482,0,0,0,0,0.221992,0.167176,0.482071,0,0,0,3.19248e-05,0,0.98429,0.642724,0.16191,0.000494333,0.998524,0.162811,0.84068,0.0172656
1400,140,5.83333,23,5,11,7,16,7,0,0,6,5,20.8333,0.0414338,0.00520391,0.283644,0.47278,0,17,17,5,0.277649,0.0512461,0.386775,0,0,0,0,0.201962,0.132866,0.463245,0,0,0,0.000413034,0,0.976151,0.638712,0.16289,0.000617301,0.998524,0.175479,0.860573,0.00707187
1600,160,6.66667,30,5,9,16,20,10,0,0,5,5,25,0.0383424,0.00687329,0.262705,0.527873,0,17,17,7,0.262506,0.138447,0.404313,0,0,0,0,0.179595,0.107242,0.425731,0,0,0,0.00729992,0,0.966619,0.634716,0.163125,0.000727967,0.998545,0.18376,0.882222,0.0027419
1800,180,7.5,35,5,9,21,22,13,0,0,2,4,25,0.0353919,0.00863998,0.24471,0.578613,0,17,17,11,0.252816,0.243442,0.415492,0,0,0,0,0.157702,0.0893866,0.394223,0,0,0,0.137612,0,0.956033,0.630747,0.162931,0.00082533,0.998545,0.18918,0.900141,0.00120537
