step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.311823,0.0353251,0,4,0,0,0.0913262,0,0.022017,0,0,0,0,0.296729,0.0476987,0.266518,0,0,0,3.20564e-05,0,1,0.983977,0.205005,1.48704e-07,0.958349,0.00952457,0.463113,0.0459855
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0430648,0,0.445417,0.113367,0,8,4,0,0.0933612,0,0.167693,0,0,0,0,0.448221,0.170599,0.425321,0,0,0,3.19759e-05,0,1,0.940153,0.208912,1.28051e-06,0.99842,0.0753156,0.710017,0.105083
600,60,2.5,10,5,4,1,9,1,0,0,9,7,4.16667,0.0489636,0.00015475,0.401291,0.19979,0,8,7,0,0.147448,0,0.335619,0,0,0,0,0.521474,0.178897,0.518485,0,0,0,3.1963e-05,0,0.99937,0.880888,0.205867,4.55402e-06,0.998441,0.151318,0.770346,0.0681347
800,80,3.33333,12,5,6,1,11,1,0,0,10,8,4.16667,0.0506556,0.000434944,0.361405,0.276842,0,12,12,0,0.185843,0,0.454651,0,0,0,0,0.542014,0.194697,0.528987,0,0,0,3.19503e-05,0,0.997694,0.807192,0.197303,9.56646e-06,0.998441,0.205391,0.744723,0.0678428
1000,100,4.16667,12,5,6,1,11,1,0,0,5,9,4.16667,0.0497809,0.000680152,0.312471,0.342473,0,17,17,0,0.23744,0,0.489587,0,0,0,0,0.537991,0.18777,0.520015,0,0,0,3.19375e-05,0,0.995683,0.715214,0.183433,1.49878e-05,0.998441,0.221588,0.792108,0.0496718
1200,120,5,12,5,6,1,11,1,0,0,4,8,4.16667,0.0472715,0.000894741,0.275412,0.402272,0,17,17,0,0.232074,0,0.489587,0,0,0,0,0.507763,0.162033,0.511086,0,0,0,3.19248e-05,0,0.993642,0.642934,0.172248,1.95388e-05,0.998441,0.222026,0.826586,0.0235709
1400,140,5.83333,14,5,7,2,12,2,0,0,4,7,8.33333,0.0440839,0.00138065,0.247816,0.455015,0,17,17,4,0.226201,0.0381283,0.489587,0,0,0,0,0.467108,0.142746,0.490463,0,0,0,0.000250547,0,0.989569,0.639006,0.169706,2.32118e-05,0.998462,0.22246,0.852823,0.0127516
1600,160,6.66667,14,5,5,4,10,4,0,0,4,5,16.6667,0.0407582,0.00206412,0.216347,0.501198,0,17,17,6,0.236023,0.137678,0.489587,0,0,0,0,0.426315,0.129659,0.443892,0,0,0,0.00170936,0,0.983772,0.635089,0.16707,2.61708e-05,0.998504,0.222891,0.874083,0.00646587
1800,180,7.5,15,5,6,4,11,4,0,0,2,8,16.6667,0.0375775,0.00300445,0.203674,0.543351,0,17,17,10,0.234673,0.250455,0.489588,0,0,0,0,0.378177,0.11255,0.40722,0,0,0,0.0938285,0,0.975607,0.631187,0.165425,2.85946e-05,0.998504,0.223319,0.892034,0.00707279
2000,200,8.33333,18,5,7,6,12,6,0,0,0,9,16.6667,0.0346772,0.00382737,0.190857,0.582783,0,17,17,16,0.2227,0.390536,0.489588,0,0,0,0,0.329777,0.103468,0.380973,0,0,0,0.388412,0,0.967442,0.627304,0.16552,3.06348e-05,0.998504,0.223742,0.907532,0.0074037
2200,220,9.16667,23,5,12,6,17,6,0,0,0,6,16.6667,0.0321081,0.00454753,0.177318,0.619901,0,17,17,16,0.213703,0.590729,0.489588,0,0,0,0,0.283462,0.104848,0.359443,0,0,0,0.798925,0,0.959278,0.623445,0.165514,3.24076e-05,0.998504,0.224163,0.921037,0.00804531
2400,240,10,29,5,16,8,21,8,0,0,0,8,16.6667,0.0298751,0.00517777,0.164237,0.654288,0,17,17,16,0.197596,0.787773,0.489588,0,0,0,0,0.242835,0.113016,0.341546,0,0,0,0.798931,0,0.951115,0.619613,0.165333,3.39965e-05,0.998504,0.22458,0.932821,0.0184963
2600,260,10.8333,36,5,21,10,26,10,0,0,0,7,16.6667,0.0279588,0.00572931,0.14502,0.685343,0,17,17,16,0.179383,0.980265,0.489572,0,0,0,0,0.207817,0.100198,0.326982,0,0,0,0.798932,0,0.942953,0.615805,0.165154,3.5459e-05,0.998504,0.224986,0.943075,0.00701934
2800,280,11.6667,44,5,24,15,29,15,0,0,0,8,29.1667,0.0263265,0.00688161,0.127658,0.712818,0,17,17,17,0.163745,1.17678,0.48918,0,0,0,0,0.17809,0.0924274,0.315526,0,0,0,0.798921,0,0.932951,0.612024,0.165127,3.68267e-05,0.998566,0.225218,0.951958,0.00367248
3000,300,12.5,59,5,29,25,40,19,0,0,0,5,33.3333,0.0249345,0.00972929,0.109492,0.736605,0,17,17,17,0.151563,1.38677,0.487953,0,0,0,0,0.15269,0.0871635,0.304632,0,0,0,0.79889,0,0.91771,0.60827,0.164434,3.80932e-05,0.998587,0.225071,0.959623,0.00164279
3200,320,13.3333,71,5,27,39,42,29,0,0,0,8,33.3333,0.0237416,0.0125662,0.0963311,0.757264,0,17,17,17,0.139096,1.59719,0.486122,0,0,0,0,0.130973,0.0861571,0.295883,0,0,0,0.798877,0,0.901554,0.604545,0.16387,3.9246e-05,0.998587,0.224687,0.966221,0.00328196
3400,340,14.1667,82,5,25,52,48,34,0,0,0,6,41.6667,0.0227147,0.0173232,0.0859924,0.775603,0,17,17,17,0.127462,1.81296,0.483865,0,0,0,0,0.112456,0.0832916,0.288662,0,0,0,0.798884,0,0.884314,0.600849,0.16332,4.02826e-05,0.998629,0.224207,0.971898,0.00186862
3600,360,15,89,5,22,62,46,43,0,0,0,6,45.8333,0.0218267,0.0279106,0.0758842,0.791866,0,17,17,17,0.116706,2.02672,0.481115,0,0,0,0,0.0962271,0.0811771,0.280649,0,0,0,0.798899,0,0.863636,0.597183,0.161965,4.1206e-05,0.99865,0.223634,0.976786,0.00117878
