step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0293782,0,0.330269,0.0363288,0,4,0,0,0.0913427,0,0.022017,0,0,0,0,0.296729,0.0459089,0.266958,0,0,0,0.000492858,0,1,0.985246,0.205308,6.02189e-06,0.958349,0.00952457,0.463113,0.0455646
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,4.16667,0.0430756,0.000139736,0.510009,0.123296,0,8,4,0,0.0929455,0,0.170008,0,0,0,0,0.448216,0.269556,0.406442,0,0,0,3.19764e-05,0,0.999625,0.889865,0.196331,5.23194e-05,0.998441,0.0763475,0.709604,0.171983
600,60,2.5,11,5,5,1,10,1,0,0,9,10,4.16667,0.0490692,0.000421804,0.43051,0.218521,0,8,8,0,0.208636,0,0.346028,0,0,0,0,0.533595,0.304616,0.459338,0,0,0,3.19631e-05,0,0.998511,0.70968,0.165087,0.000190532,0.998441,0.156022,0.766781,0.129454
800,80,3.33333,14,5,5,4,10,4,0,0,9,7,16.6667,0.0509005,0.00121845,0.369579,0.296275,0,12,12,0,0.246941,0,0.462912,0,0,0,0,0.563385,0.270656,0.46662,0,0,0,3.19503e-05,0,0.993394,0.650734,0.157328,0.00040513,0.998503,0.209152,0.744106,0.078418
1000,100,4.16667,16,5,6,5,11,5,0,0,5,9,20.8333,0.0499582,0.00235134,0.319852,0.366319,0,17,17,0,0.271494,0,0.489588,0,0,0,0,0.561265,0.242797,0.479813,0,0,0,3.19375e-05,0,0.984998,0.646716,0.160304,0.000622606,0.998524,0.221622,0.791651,0.0570203
1200,120,5,21,5,7,9,12,9,0,0,3,10,20.8333,0.0473919,0.00396924,0.285728,0.427544,0,17,17,0,0.276268,0,0.489589,0,0,0,0,0.532791,0.194577,0.525819,0,0,0,3.19248e-05,0,0.97479,0.642683,0.17886,0.000802267,0.998524,0.22206,0.826112,0.0277792
1400,140,5.83333,26,5,9,12,14,12,0,0,3,9,20.8333,0.0441678,0.00538511,0.26521,0.482663,0,17,17,4,0.287572,0.0326771,0.489589,0,0,0,0,0.495469,0.173303,0.513779,0,0,0,0.000185242,0,0.964583,0.638651,0.180182,0.000946167,0.998524,0.222493,0.852392,0.0252918
1600,160,6.66667,30,5,9,16,15,15,0,0,1,8,29.1667,0.0408181,0.00729343,0.243693,0.53357,0,17,17,7,0.281147,0.114629,0.489589,0,0,0,0,0.450658,0.143693,0.449546,0,0,0,0.00124234,0,0.952529,0.634632,0.170172,0.00106146,0.998566,0.222924,0.873715,0.0137665
1800,180,7.5,37,5,13,19,18,19,0,0,0,9,33.3333,0.0376214,0.010206,0.223412,0.580476,0,17,17,11,0.255121,0.20462,0.489589,0,0,0,0,0.399887,0.126605,0.401733,0,0,0,0.0677641,0,0.936882,0.630638,0.163901,0.00115558,0.998587,0.223351,0.891731,0.0159148
2000,200,8.33333,44,5,12,27,21,23,0,0,0,10,33.3333,0.0347101,0.0129834,0.211767,0.624363,0,17,17,17,0.230073,0.311789,0.489589,0,0,0,0,0.348773,0.118825,0.367177,0,0,0,0.283471,0,0.920553,0.626677,0.160533,0.0012347,0.998587,0.223774,0.907288,0.01494
2200,220,9.16667,51,5,16,30,26,25,0,0,0,9,33.3333,0.0321335,0.015414,0.189875,0.66398,0,17,17,17,0.210602,0.442585,0.489589,0,0,0,0,0.301594,0.101263,0.343212,0,0,0,0.69929,0,0.904224,0.622753,0.159438,0.00130349,0.998587,0.224194,0.920842,0.00650158
2400,240,10,57,5,15,37,27,30,0,0,0,9,45.8333,0.0298952,0.0210041,0.179013,0.701386,0,17,17,17,0.189992,0.581106,0.489588,0,0,0,0,0.25584,0.0899696,0.322401,0,0,0,0.799073,0,0.885999,0.618867,0.157998,0.00136524,0.99865,0.22461,0.932666,0.00338229
2600,260,10.8333,63,5,16,42,31,32,0,0,0,9,50,0.0279751,0.0360274,0.157496,0.735086,0,17,17,17,0.171309,0.725027,0.489588,0,0,0,0,0.217791,0.0840677,0.302994,0,0,0,0.79906,0,0.861908,0.615022,0.155806,0.00142222,0.998671,0.225023,0.942952,0.00427653
2800,280,11.6667,67,5,13,49,30,37,0,0,0,9,50,0.0263419,0.0498328,0.139053,0.764768,0,17,17,17,0.154098,0.876672,0.489495,0,0,0,0,0.185809,0.0782188,0.288152,0,0,0,0.799032,0,0.837424,0.611216,0.154364,0.00147585,0.998671,0.22539,0.951859,0.00198812
3000,300,12.5,73,5,19,49,31,38,4,0,0,8,50,0.0249563,0.0627238,0.124445,0.791154,0,17,17,17,0.138838,1.02974,0.488818,0,0,0,0,0.158785,0.0743511,0.277216,0,0,0,0.799024,0,0.812294,0.60745,0.153604,0.00152643,0.998712,0.22549,0.959535,0.00109274
3200,320,13.3333,82,5,18,59,36,41,5,0,0,10,50,0.0237746,0.0771472,0.114016,0.815065,0,17,17,17,0.126115,1.18897,0.487404,0,0,0,0,0.135884,0.0768727,0.26832,0,0,0,0.799015,0,0.783891,0.603721,0.152941,0.00157322,0.998712,0.225252,0.96613,0.00512728
3400,340,14.1667,89,5,23,61,37,44,8,0,0,8,54.1667,0.0227604,0.095119,0.103378,0.836901,0,17,17,17,0.115312,1.35479,0.485454,0,0,0,0,0.116235,0.0747495,0.260714,0,0,0,0.799003,0,0.752841,0.600027,0.152205,0.00161568,0.998775,0.224819,0.97179,0.00236106
3600,360,15,96,5,25,66,39,45,12,0,0,8,58.3333,0.0218844,0.120409,0.093407,0.856638,0,16,16,16,0.106162,1.50359,0.482961,0,0,0,0,0.0993854,0.0714201,0.253894,0,0,0,0.799018,0,0.718284,0.596367,0.151301,0.00165361,0.998817,0.224278,0.976652,0.0012519
3800,380,15.8333,105,5,28,72,41,50,14,0,0,5,58.3333,0.0211225,0.15233,0.0839354,0.874408,0,16,16,16,0.0987507,1.65254,0.479911,0,0,0,0,0.0852599,0.0687592,0.247552,0,0,0,0.799031,0,0.678871,0.592738,0.150195,0.00168702,0.998838,0.22361,0.980836,0.00066285
4000,400,16.6667,115,5,20,90,45,53,17,0,0,3,66.6667,0.0204559,0.185429,0.0748562,0.890367,0,15,15,15,0.0927692,1.80231,0.476474,0,0,0,0,0.0735605,0.0663136,0.241789,0,0,0,0.79904,0,0.637516,0.58914,0.148998,0.00171611,0.998921,0.222846,0.98445,0.000318409
4200,420,17.5,125,5,22,98,49,54,21,1,0,2,66.6667,0.0198694,0.228927,0.0666049,0.904512,0,12,12,12,0.0874376,1.91579,0.472787,0,0,0,0,0.0634233,0.0600835,0.23549,0,0,0,0.7991,0,0.591218,0.585569,0.147324,0.00174121,0.998921,0.222006,0.987581,0.000141582
4400,440,18.3333,134,5,27,102,53,55,23,3,0,2,70.8333,0.0193503,0.273957,0.060654,0.917362,0,8,8,8,0.0827267,2.00901,0.468924,0,0,0,0,0.0543609,0.0556484,0.229265,0,0,0,0.799187,0,0.542522,0.582026,0.145464,0.00176269,0.998984,0.221106,0.990307,0.00185489
4600,460,19.1667,145,5,28,112,55,62,20,8,0,3,75,0.0188879,0.333086,0.0550848,0.928911,0,6,6,6,0.078605,2.05401,0.464899,0,0,0,0,0.0462738,0.0474895,0.222456,0,0,0,0.799326,0,0.487244,0.578509,0.143194,0.00178081,0.999046,0.220157,0.992692,0.00357245
4800,480,20,153,5,27,121,58,62,25,8,0,4,79.1667,0.0184725,0.38342,0.0512826,0.939563,0,4,4,4,0.0750434,2.09901,0.460733,0,0,0,0,0.0391112,0.0415864,0.21596,0,0,0,0.799424,0,0.430454,0.575017,0.140906,0.00179576,0.999109,0.219172,0.994789,0.00376666
5000,500,20.8333,0,0,0,0,0,0,0,0,0,5,100,0.0181093,0.457902,0.0440623,0.949168,0,4,4,4,0.071991,2.14986,0.460161,0,0,0,0,0.0329568,0.0461163,0.202329,0,0,0,0.799482,0,0.332012,0.571551,0.135647,0.00180986,0.999921,0.218516,0.996642,0.0121408
5200,520,21.6667,0,0,0,0,0,0,0,0,0,4,100,0.017842,0.514656,0.0389778,0.957346,0,0,0,0,0.0693691,2.15031,0.461409,0,0,0,0,0.0278702,0.064824,0.182394,0,0,0,0.799627,0,0.236116,0.568108,0.127771,0.00183155,0.999921,0.218439,0.998237,0.0256073
5400,540,22.5,0,0,0,0,0,0,0,0,0,5,100,0.0176306,0.552685,0.0370995,0.964965,0,0,0,0,0.0671627,2.15031,0.461071,0,0,0,0,0.0236646,0.102332,0.159123,0,0,0,0.799719,0,0.147127,0.564685,0.118483,0.0018558,0.999921,0.21819,0.999569,0.0371008
5600,560,23.3333,0,0,0,0,0,0,0,0,0,2,100,0.0174474,0.578165,0.0327489,0.972073,0,0,0,0,0.0652977,2.15031,0.459753,0,0,0,0,0.0201798,0.128905,0.151627,0,0,0,0.799771,0,0.0582785,0.561278,0.11544,0.00187922,0.999921,0.217743,1.00068,0.0327755
5800,580,24.1667,0,0,0,0,0,0,0,0,0,2,100,0.0172787,0.595239,0.0250995,0.97782,0,0,0,0,0.0637137,2.15031,0.457758,0,0,0,0,0.0172914,0.115005,0.146958,0,0,0,0.799805,0,0.00627396,0.557881,0.113475,0.00190031,0.999921,0.217172,1.00162,0.0157319
6000,600,25,0,0,0,0,0,0,0,0,0,2,100,0.0171175,0.606679,0.0184249,0.981937,0,0,0,0,0.0666743,2.15031,0.455342,0,0,0,0,0.0160177,0.0911098,0.142994,0,0,0,0.799834,0,9.04691e-07,0.554493,0.111749,0.00191848,0.999921,0.21649,1.00244,0.00988377
6200,620,25.8333,0,0,0,0,0,0,0,0,0,2,100,0.0169626,0.614345,0.0193954,0.985829,0,0,0,0,0.0644328,2.15031,0.452774,0,0,0,0,0.0136866,0.0880663,0.139606,0,0,0,0.799859,0,9.04691e-07,0.551116,0.110219,0.00193399,0.999921,0.215784,1.00317,0.0188048
6400,640,26.6667,0,0,0,0,0,0,0,0,0,2,100,0.0168127,0.619481,0.0171542,0.989516,0,0,0,0,0.0626197,2.15031,0.449987,0,0,0,0,0.0118164,0.0858093,0.136693,0,0,0,0.799878,0,9.04691e-07,0.547752,0.108851,0.00194704,0.999921,0.215001,1.00383,0.0150253
6600,660,27.5,0,0,0,0,0,0,0,0,0,0,100,0.016666,0.622922,0.0126678,0.99254,0,0,0,0,0.0611434,2.15031,0.447009,0,0,0,0,0.011046,0.0676572,0.134169,0,0,0,0.799893,0,9.04691e-07,0.544404,0.107616,0.00195761,0.999922,0.21416,1.00445,0.00663152
6800,680,28.3333,0,0,0,0,0,0,0,0,0,0,100,0.0165223,0.625228,0.0103627,0.994833,0,0,0,0,0.0599147,2.15031,0.443973,0,0,0,0,0.00926374,0.0477411,0.131966,0,0,0,0.79991,0,9.04691e-07,0.541073,0.106491,0.00196596,0.999922,0.213316,1.00503,0.002334
7000,700,29.1667,0,0,0,0,0,0,0,0,0,0,100,0.0163806,0.626774,0.00868295,0.996732,0,0,0,0,0.0588846,2.15031,0.44073,0,0,0,0,0.00764869,0.0337031,0.130028,0,0,0,0.799926,0,9.04691e-07,0.537765,0.105457,0.00197216,0.999922,0.212396,1.00558,0.00082189
7200,720,30,0,0,0,0,0,0,0,0,0,0,100,0.0162383,0.627809,0.00738454,0.998335,0,0,0,0,0.0580091,2.15031,0.43722,0,0,0,0,0.00625361,0.0238036,0.128307,0,0,0,0.79994,0,9.04691e-07,0.53448,0.104501,0.00197593,0.999922,0.211433,1.00612,0.000289564
7400,740,30.8333,0,0,0,0,0,0,0,0,0,0,100,0.0160935,0.628503,0.00634387,0.999706,0,0,0,0,0.0572544,2.15031,0.43348,0,0,0,0,0.00508131,0.0168192,0.126768,0,0,0,0.799951,0,9.04691e-07,0.531221,0.103608,0.00197709,0.999922,0.210467,1.00665,0.000102068
7600,760,31.6667,0,0,0,0,0,0,0,0,0,0,100,0.0159454,0.628968,0.00548986,1.00089,0,0,0,0,0.056594,2.15031,0.429579,0,0,0,0,0.00411267,0.0118893,0.125377,0,0,0,0.799961,0,9.04691e-07,0.527989,0.102769,0.00197569,0.999922,0.209507,1.00717,3.59957e-05
7800,780,32.5,0,0,0,0,0,0,0,0,0,0,100,0.0157946,0.629279,0.00477756,1.00191,0,0,0,0,0.0560074,2.15031,0.425587,0,0,0,0,0.00332078,0.0084079,0.12411,0,0,0,0.799968,0,9.04691e-07,0.524784,0.101974,0.00197193,0.999922,0.208552,1.00769,1.27004e-05
8000,800,33.3333,0,0,0,0,0,0,0,0,0,0,100,0.0156421,0.629488,0.0041764,1.00281,0,0,0,0,0.0554788,2.15031,0.421564,0,0,0,0,0.00267776,0.00594839,0.122945,0,0,0,0.799974,0,9.04691e-07,0.521605,0.101217,0.00196612,0.999922,0.207604,1.00822,4.48319e-06
8200,820,34.1667,0,0,0,0,0,0,0,0,0,0,100,0.0154891,0.629628,0.00366447,1.00359,0,0,0,0,0.0549958,2.15031,0.417558,0,0,0,0,0.00215785,0.00421004,0.121864,0,0,0,0.799978,0,9.04691e-07,0.518452,0.100491,0.00195862,0.999922,0.206661,1.00875,1.58328e-06
