step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,7,0,0.0293782,0,0.329991,0.0363901,0,4,0,0,0.091339,0,0.022017,0,0,0,0,0.118692,0.0499038,0.266617,0,0,0,0.000109106,0,1,0.984314,0.205078,6.02189e-06,0.958349,0.00952457,0.463113,0.0492133
400,40,1.66667,8,5,3,0,8,0,0,0,9,9,0,0.0428407,0,0.510491,0.122864,0,8,4,0,0.0930504,0,0.0979514,0,0,0,0,0.179327,0.227686,0.412367,0,0,0,3.19768e-05,0,1,0.903786,0.200093,4.1181e-05,0.967273,0.0438237,0.72956,0.14691
600,60,2.5,10,5,4,1,9,1,0,0,12,9,8.33333,0.0480086,0.000413991,0.436212,0.211716,0,8,5,0,0.171395,0,0.192116,0,0,0,0,0.212319,0.283919,0.478912,0,0,0,3.19631e-05,0,0.998865,0.76786,0.178735,0.000125527,0.998462,0.0864626,0.839789,0.110869
800,80,3.33333,12,5,5,2,10,2,0,0,14,7,12.5,0.0488111,0.000980451,0.427728,0.299039,0,12,11,0,0.184004,0,0.269837,0,0,0,0,0.221509,0.307688,0.467906,0,0,0,3.19503e-05,0,0.996721,0.650764,0.158353,0.000247014,0.998483,0.121773,0.865518,0.0847754
1000,100,4.16667,15,5,6,4,11,4,0,0,10,6,20.8333,0.0473245,0.0023268,0.363688,0.37887,0,17,17,0,0.198294,0,0.325684,0,0,0,0,0.217837,0.262755,0.475252,0,0,0,3.19375e-05,0,0.990882,0.646773,0.160146,0.00038337,0.998524,0.147272,0.850976,0.0446964
1200,120,5,17,5,6,6,11,6,0,0,8,6,20.8333,0.0447108,0.00394776,0.350202,0.450175,0,17,17,0,0.190869,0,0.362833,0,0,0,0,0.203521,0.201835,0.482411,0,0,0,3.19248e-05,0,0.983234,0.642764,0.161746,0.000517669,0.998524,0.16437,0.839714,0.0192646
1400,140,5.83333,23,5,10,8,15,8,0,0,6,6,20.8333,0.0416338,0.00536632,0.32979,0.518376,0,17,17,4,0.186305,0.0326867,0.386868,0,0,0,0,0.185526,0.155655,0.46826,0,0,0,0.000177471,0,0.975027,0.638753,0.162769,0.000640224,0.998524,0.175571,0.859892,0.00840207
1600,160,6.66667,30,5,13,12,18,12,0,0,4,6,25,0.0384821,0.00711704,0.27334,0.578529,0,17,17,7,0.198089,0.0948501,0.402382,0,0,0,0,0.167697,0.122264,0.429818,0,0,0,0.000927525,0,0.965299,0.634756,0.162958,0.000747835,0.998545,0.182939,0.881572,0.00484681
1800,180,7.5,35,5,12,18,18,17,0,0,0,9,33.3333,0.0354723,0.00900844,0.240632,0.630009,0,17,17,10,0.240959,0.184018,0.41241,0,0,0,0,0.153641,0.101342,0.397208,0,0,0,0.0262966,0,0.954472,0.630784,0.16265,0.000840819,0.998587,0.187837,0.899585,0.00473288
2000,200,8.33333,40,5,14,21,19,21,0,0,0,9,33.3333,0.0327147,0.0119354,0.208561,0.674847,0,17,17,16,0.264993,0.284364,0.418973,0,0,0,0,0.14076,0.0879808,0.368699,0,0,0,0.199612,0,0.940315,0.626846,0.161604,0.000921106,0.998587,0.191174,0.914934,0.00394316
2200,220,9.16667,46,5,17,24,22,24,0,0,0,10,37.5,0.0302555,0.0153589,0.183079,0.714015,0,17,17,16,0.255172,0.401136,0.423288,0,0,0,0,0.125373,0.0998443,0.344433,0,0,0,0.562045,0,0.92565,0.622947,0.160311,0.000991098,0.998608,0.193496,0.92819,0.0192328
2400,240,10,50,5,17,28,22,28,0,0,0,9,37.5,0.0281008,0.021056,0.169635,0.748893,0,17,17,17,0.229985,0.521132,0.425966,0,0,0,0,0.10869,0.109623,0.32214,0,0,0,0.799057,0,0.909542,0.619087,0.158215,0.00105291,0.998608,0.195078,0.939699,0.0168165
