step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.314338,0.0354439,0,2,0,0,0.0913167,0,0.0267349,0,0,0,0,0.2967,0.0641539,0.266169,0,0,0,3.19951e-05,0,1,0.98299,0.204767,1.82065e-07,0.958349,0.011565,0.462364,0.0616335
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0434839,0,0.445586,0.113873,0,4,0,0,0.0932831,0,0.185348,0,0,0,0,0.448029,0.175679,0.285786,0,0,0,3.19759e-05,0,1,0.935819,0.207896,1.54832e-06,0.99842,0.0831721,0.703738,0.104761
600,60,2.5,10,5,5,0,10,0,0,0,9,7,0,0.0498867,0,0.416222,0.199496,0,4,3,0,0.171577,0,0.368841,0,0,0,0,0.519189,0.186358,0.295723,0,0,0,3.1963e-05,0,1,0.876435,0.205334,5.55761e-06,0.99842,0.166253,0.752769,0.0701894
800,80,3.33333,11,5,6,0,11,0,0,0,11,5,0,0.0521546,0,0.380215,0.280583,0,6,6,0,0.208432,0,0.495718,0,0,0,0,0.539291,0.193782,0.452578,0,0,0,3.19503e-05,0,1,0.807423,0.198597,1.18726e-05,0.99842,0.223945,0.740782,0.0676075
1000,100,4.16667,11,5,6,0,11,0,0,0,8,4,0,0.0517801,0,0.346363,0.353724,0,10,10,0,0.20579,0,0.550291,0,0,0,0,0.528789,0.188859,0.50583,0,0,0,3.19375e-05,0,1,0.714763,0.185084,1.88632e-05,0.99842,0.249075,0.78847,0.0517392
1200,120,5,12,5,6,1,11,1,0,0,6,5,4.16667,0.0498005,0.000118546,0.295614,0.418756,0,10,10,0,0.202652,0,0.57635,0,0,0,0,0.502234,0.163457,0.511902,0,0,0,3.19248e-05,0,0.999073,0.642931,0.173117,2.52888e-05,0.998441,0.261357,0.821428,0.0258772
1400,140,5.83333,15,5,9,1,14,1,0,0,4,5,4.16667,0.0470309,0.000403261,0.262405,0.474416,0,10,10,0,0.198935,0,0.586911,0,0,0,0,0.467582,0.130843,0.507684,0,0,0,3.1912e-05,0,0.996597,0.639002,0.170921,3.07717e-05,0.998441,0.266647,0.846091,0.0102589
1600,160,6.66667,18,5,11,2,16,2,0,0,2,7,12.5,0.0440017,0.000918123,0.223142,0.52344,0,10,10,3,0.200972,0.0404174,0.592119,0,0,0,0,0.427701,0.116176,0.487512,0,0,0,0.000313423,0,0.991975,0.635083,0.170364,3.53398e-05,0.998483,0.269518,0.865896,0.0139631
1800,180,7.5,21,5,11,5,16,5,0,0,0,9,16.6667,0.0410323,0.00191147,0.197117,0.565716,0,10,10,6,0.204976,0.109798,0.594182,0,0,0,0,0.383923,0.103432,0.443264,0,0,0,0.00144587,0,0.982843,0.631179,0.168254,3.91885e-05,0.998504,0.270967,0.882592,0.00951555
