step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.334041,0.0365655,0,2,0,0,0.091344,0,0.0267349,0,0,0,0,0.2967,0.0506479,0.266944,0,0,0,3.81151e-05,0,1,0.985214,0.205299,7.37298e-06,0.958349,0.011565,0.462364,0.0497865
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,8.33333,0.0434359,0.000211166,0.511705,0.124371,0,4,0,0,0.0929415,0,0.177742,0,0,0,0,0.448049,0.220817,0.26898,0,0,0,3.1977e-05,0,0.999438,0.892847,0.196876,6.0218e-05,0.998462,0.0797623,0.705524,0.141665
600,60,2.5,12,5,5,2,10,2,0,0,11,9,12.5,0.0496494,0.000917534,0.385166,0.206943,0,4,1,0,0.211132,0,0.349481,0,0,0,0,0.541145,0.245303,0.237998,0,0,0,3.19632e-05,0,0.996497,0.728299,0.168029,0.000208635,0.998483,0.157505,0.760835,0.0957807
800,80,3.33333,15,5,6,4,11,4,0,0,14,7,16.6667,0.0516602,0.00185177,0.391552,0.284977,0,6,4,0,0.249984,0,0.472374,0,0,0,0,0.565211,0.230459,0.31455,0,0,0,3.19503e-05,0,0.990064,0.650757,0.15733,0.000436612,0.998503,0.213348,0.741412,0.0744388
1000,100,4.16667,19,5,8,6,13,6,0,0,9,9,16.6667,0.0512677,0.00281862,0.367799,0.360138,0,10,10,0,0.246613,0,0.544547,0,0,0,0,0.548825,0.212616,0.433683,0,0,0,3.19375e-05,0,0.981093,0.64677,0.160395,0.000703607,0.998503,0.246395,0.789527,0.0601351
1200,120,5,26,5,12,9,17,9,0,0,5,10,25,0.0493873,0.00440193,0.330952,0.43012,0,10,10,0,0.232323,0,0.575593,0,0,0,0,0.516409,0.170286,0.475081,0,0,0,3.19248e-05,0,0.968957,0.642771,0.161891,0.000960284,0.998545,0.260919,0.822679,0.0281987
1400,140,5.83333,35,5,17,13,22,13,0,0,3,9,33.3333,0.0467306,0.00720321,0.310389,0.494831,0,10,10,0,0.221626,0,0.589371,0,0,0,0,0.474654,0.129836,0.478971,0,0,0,3.1912e-05,0,0.951699,0.638771,0.161717,0.00118461,0.998587,0.26766,0.847338,0.0103941
1600,160,6.66667,46,5,21,20,26,20,0,0,3,9,33.3333,0.0437914,0.0103556,0.283075,0.554286,0,10,10,1,0.196452,0.00691155,0.593135,0,0,0,0,0.425963,0.105885,0.475304,0,0,0,3.18993e-05,0,0.931872,0.634782,0.160859,0.00137329,0.998587,0.269882,0.867014,0.00863274
1800,180,7.5,54,5,22,27,27,27,0,0,0,8,33.3333,0.0408812,0.0131143,0.258505,0.608336,0,10,10,4,0.183508,0.0409456,0.594487,0,0,0,0,0.379454,0.0851835,0.449877,0,0,0,0.000344893,0,0.912047,0.630816,0.160021,0.00153195,0.998587,0.271012,0.883538,0.00341548
