step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,6,0,0.0294937,0,0.329598,0.0362776,0,2,0,0,0.0913643,0,0.0267349,0,0,0,0,0.2967,0.0500843,0.267843,0,0,0,3.20753e-05,0,1,0.987731,0.20591,7.37298e-06,0.958349,0.011565,0.462364,0.0478586
400,40,1.66667,10,5,4,1,9,1,0,0,9,10,8.33333,0.0434507,8.87465e-05,0.516887,0.123737,0,4,0,0,0.0931701,0,0.179782,0,0,0,0,0.448042,0.232193,0.274111,0,0,0,3.19765e-05,0,0.999765,0.905673,0.200212,6.09569e-05,0.998462,0.0806789,0.704978,0.150344
600,60,2.5,10,5,4,1,9,1,0,0,9,10,8.33333,0.0497323,0.000676699,0.415143,0.213316,0,4,4,0,0.206983,0,0.357752,0,0,0,0,0.530393,0.241662,0.251445,0,0,0,3.19631e-05,0,0.997329,0.757259,0.175407,0.000214076,0.998462,0.161249,0.75801,0.105363
800,80,3.33333,12,5,5,2,10,2,0,0,10,9,12.5,0.051835,0.00129299,0.422638,0.29825,0,6,6,0,0.219729,0,0.478909,0,0,0,0,0.554287,0.252785,0.408418,0,0,0,3.19503e-05,0,0.992933,0.650767,0.157348,0.000451211,0.998483,0.216323,0.741183,0.0925337
1000,100,4.16667,15,5,6,4,11,4,0,0,8,10,20.8333,0.0514247,0.00242924,0.401485,0.381156,0,10,10,0,0.210758,0,0.54562,0,0,0,0,0.540807,0.220662,0.4617,0,0,0,3.19375e-05,0,0.984307,0.646785,0.160168,0.000720854,0.998524,0.246909,0.78917,0.0606145
1200,120,5,19,5,8,6,13,6,0,0,6,10,20.8333,0.0495323,0.00403741,0.341554,0.456105,0,10,10,0,0.191283,0,0.57451,0,0,0,0,0.509719,0.185546,0.481092,0,0,0,3.19248e-05,0,0.972103,0.642791,0.161766,0.000979596,0.998524,0.260465,0.822263,0.0327222
1400,140,5.83333,26,5,9,12,16,10,0,0,3,9,20.8333,0.0468422,0.00544477,0.306615,0.520301,0,10,10,0,0.177704,0,0.586216,0,0,0,0,0.470164,0.146877,0.484985,0,0,0,3.1912e-05,0,0.959724,0.638792,0.162788,0.00120283,0.998524,0.266272,0.84691,0.0150348
1600,160,6.66667,36,5,15,16,21,15,0,0,2,9,29.1667,0.0438691,0.00729191,0.306426,0.58232,0,10,10,4,0.165036,0.0365698,0.591594,0,0,0,0,0.416463,0.116508,0.467261,0,0,0,0.000288412,0,0.945238,0.634801,0.162886,0.00138906,0.998566,0.269221,0.866622,0.00772154
1800,180,7.5,46,5,21,20,26,20,0,0,1,10,33.3333,0.0409367,0.00995483,0.273863,0.640873,0,10,10,6,0.158934,0.0951022,0.594241,0,0,0,0,0.370885,0.117502,0.426311,0,0,0,0.00123914,0,0.927111,0.630832,0.161967,0.00154561,0.998587,0.270934,0.883202,0.0216316
2000,200,8.33333,52,5,18,29,28,24,0,0,0,10,33.3333,0.0382119,0.0127636,0.255282,0.693898,0,10,10,10,0.154195,0.174111,0.594486,0,0,0,0,0.323725,0.0947869,0.391705,0,0,0,0.062794,0,0.907288,0.626891,0.160717,0.0016799,0.998587,0.27156,0.897552,0.00822114
2200,220,9.16667,59,5,18,36,29,30,0,0,0,8,41.6667,0.0357641,0.0194745,0.232967,0.742967,0,10,10,10,0.15408,0.289607,0.593959,0,0,0,0,0.281506,0.0812416,0.36153,0,0,0,0.291229,0,0.884595,0.622982,0.158889,0.00179749,0.998629,0.271833,0.910127,0.00547071
2400,240,10,66,5,20,41,31,35,0,0,0,8,45.8333,0.0336007,0.0299189,0.207521,0.787192,0,10,10,10,0.148698,0.409742,0.592428,0,0,0,0,0.244249,0.0712111,0.336358,0,0,0,0.708988,0,0.85879,0.619102,0.157138,0.00190107,0.99865,0.271648,0.921187,0.0031991
2600,260,10.8333,73,5,21,47,34,36,3,0,0,9,50,0.0317046,0.0425897,0.184319,0.826467,0,10,10,10,0.140018,0.531716,0.589982,0,0,0,0,0.21128,0.0644514,0.316706,0,0,0,0.799304,0,0.8304,0.615252,0.156019,0.0019923,0.998712,0.271088,0.930916,0.00260907
2800,280,11.6667,82,5,24,53,37,40,5,0,0,9,50,0.0300513,0.059862,0.16343,0.861177,0,10,10,10,0.130493,0.654214,0.586737,0,0,0,0,0.182698,0.0621343,0.300321,0,0,0,0.799311,0,0.796371,0.611435,0.154918,0.0020727,0.998712,0.270302,0.939457,0.00518317
3000,300,12.5,91,5,21,65,41,43,7,0,0,9,58.3333,0.0286138,0.0905222,0.142882,0.891967,0,10,10,10,0.121101,0.776713,0.582944,0,0,0,0,0.15788,0.0576803,0.2857,0,0,0,0.799316,0,0.755545,0.607655,0.153469,0.00214361,0.998816,0.269405,0.94694,0.00242699
3200,320,13.3333,99,5,23,71,42,47,10,0,0,9,62.5,0.0273649,0.128384,0.125144,0.918772,0,10,10,10,0.11261,0.899212,0.578769,0,0,0,0,0.136663,0.0542848,0.273247,0,0,0,0.799319,0,0.708947,0.603911,0.152025,0.00220617,0.998879,0.268428,0.953483,0.00121206
3400,340,14.1667,106,5,22,79,44,48,14,0,0,9,62.5,0.0262792,0.171548,0.108828,0.942166,0,10,10,10,0.10557,1.02171,0.57435,0,0,0,0,0.119031,0.0513727,0.26229,0,0,0,0.79932,0,0.657222,0.600203,0.150474,0.00226137,0.998879,0.267389,0.959193,0.000583104
3600,360,15,115,5,27,83,47,51,17,0,0,8,66.6667,0.0253341,0.213948,0.0959031,0.962668,0,9,9,9,0.0994719,1.13485,0.569822,0,0,0,0,0.104226,0.0491202,0.252767,0,0,0,0.799343,0,0.602994,0.596531,0.148919,0.00231011,0.998921,0.266302,0.964173,0.00173963
3800,380,15.8333,123,5,24,94,49,55,18,1,0,8,70.8333,0.02451,0.256827,0.0844709,0.980746,0,8,8,8,0.0939255,1.23985,0.565271,0,0,0,0,0.0912624,0.0453786,0.244329,0,0,0,0.799376,0,0.546034,0.592892,0.147327,0.00235328,0.998983,0.26518,0.968514,0.000774509
4000,400,16.6667,129,5,22,102,50,55,21,3,0,7,75,0.0237892,0.322725,0.0738004,0.996557,0,8,8,8,0.0888867,1.34485,0.560711,0,0,0,0,0.0798003,0.0426898,0.23524,0,0,0,0.799399,0,0.478365,0.589286,0.145088,0.00239154,0.999046,0.264032,0.9723,0.000432577
4200,420,17.5,137,5,20,112,54,56,19,8,0,6,79.1667,0.023156,0.374829,0.0661368,1.01059,0,4,4,4,0.0843319,1.4208,0.55613,0,0,0,0,0.069518,0.0384309,0.227525,0,0,0,0.799448,0,0.40992,0.585712,0.143083,0.00242538,0.999108,0.262868,0.975606,0.000594316
4400,440,18.3333,137,5,21,111,50,60,21,6,0,6,79.1667,0.0225964,0.428257,0.0602112,1.02322,0,3,3,3,0.0806312,1.46997,0.551521,0,0,0,0,0.0606988,0.0336051,0.219822,0,0,0,0.79952,0,0.336802,0.582166,0.140825,0.00245511,0.999109,0.2617,0.978498,0.00115757
4600,460,19.1667,0,0,0,0,0,0,0,0,0,5,100,0.022118,0.489887,0.0497819,1.03446,0,3,3,3,0.0775503,1.50497,0.552023,0,0,0,0,0.0528053,0.0284013,0.206685,0,0,0,0.799593,0,0.242914,0.578649,0.136183,0.00248467,0.999921,0.26083,0.981032,0.00071425
4800,480,20,0,0,0,0,0,0,0,0,0,5,100,0.0217887,0.536088,0.0393695,1.04332,0,3,3,3,0.0748699,1.53997,0.555506,0,0,0,0,0.0456621,0.0248984,0.191334,0,0,0,0.799645,0,0.135753,0.575157,0.130483,0.00252912,0.999921,0.261137,0.98318,0.000478305
5000,500,20.8333,0,0,0,0,0,0,0,0,0,3,100,0.0215502,0.567045,0.0319136,1.05042,0,2,2,2,0.0728075,1.57497,0.55698,0,0,0,0,0.0396657,0.0222891,0.178786,0,0,0,0.79968,0,0.0274991,0.57169,0.125764,0.00258025,0.999921,0.261739,0.984926,0.000293405
