step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0294937,0,0.330407,0.0363302,0,2,0,0,0.0913461,0,0.0267349,0,0,0,0,0.2967,0.056663,0.266918,0,0,0,3.21423e-05,0,1,0.985159,0.205283,7.37298e-06,0.958349,0.011565,0.462364,0.0563862
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,4.16667,0.0434589,8.94703e-05,0.497473,0.12205,0,4,0,0,0.0930699,0,0.181736,0,0,0,0,0.44804,0.235682,0.275421,0,0,0,3.19762e-05,0,0.999763,0.908535,0.201022,6.1366e-05,0.998441,0.0815505,0.704711,0.14972
600,60,2.5,11,5,5,1,10,1,0,0,8,6,4.16667,0.0497887,0.000377816,0.41894,0.218377,0,4,3,0,0.171341,0,0.360443,0,0,0,0,0.525307,0.291001,0.256781,0,0,0,3.19631e-05,0,0.998551,0.773026,0.180015,0.000217831,0.998441,0.162464,0.756128,0.108358
800,80,3.33333,14,5,5,4,10,4,0,0,9,5,12.5,0.0518943,0.000885314,0.384717,0.300721,0,6,6,0,0.20236,0,0.479866,0,0,0,0,0.550395,0.241098,0.321153,0,0,0,3.19503e-05,0,0.994941,0.65077,0.15755,0.000456903,0.998483,0.216763,0.741073,0.058358
1000,100,4.16667,20,5,10,5,15,5,0,0,5,10,16.6667,0.0514653,0.00193755,0.353827,0.373475,0,10,10,0,0.221316,0,0.54345,0,0,0,0,0.545625,0.228699,0.404194,0,0,0,3.19375e-05,0,0.987141,0.646796,0.160192,0.000726511,0.998503,0.245941,0.789034,0.0642411
1200,120,5,26,5,13,8,18,8,0,0,4,10,25,0.0495083,0.00382548,0.317614,0.441622,0,10,10,0,0.224073,0,0.571199,0,0,0,0,0.516316,0.184105,0.471193,0,0,0,3.19248e-05,0,0.974709,0.642814,0.161546,0.000979641,0.998545,0.258974,0.822167,0.031906
1400,140,5.83333,35,5,13,17,22,13,0,0,4,10,29.1667,0.0468014,0.00650281,0.294769,0.502754,0,10,10,0,0.21312,0,0.585195,0,0,0,0,0.473847,0.135789,0.466843,0,0,0,3.1912e-05,0,0.958176,0.638829,0.16163,0.00120023,0.998566,0.265811,0.846892,0.0116068
1600,160,6.66667,40,5,13,22,23,17,0,0,2,7,33.3333,0.0438413,0.00946861,0.270437,0.559617,0,10,10,3,0.196909,0.0134233,0.591194,0,0,0,0,0.424496,0.102044,0.455156,0,0,0,3.75627e-05,0,0.939349,0.634854,0.161011,0.00138688,0.998587,0.26904,0.866651,0.00450291
1800,180,7.5,48,5,9,34,25,23,0,0,0,10,33.3333,0.0409184,0.0123381,0.24252,0.611367,0,10,10,5,0.181345,0.0284226,0.593964,0,0,0,0,0.377623,0.101147,0.438728,0,0,0,0.000187715,0,0.919525,0.6309,0.160152,0.00154392,0.998587,0.270809,0.883249,0.021537
2000,200,8.33333,53,5,11,37,25,28,0,0,0,9,37.5,0.0381991,0.0162233,0.221451,0.65793,0,10,10,9,0.167313,0.0524221,0.594356,0,0,0,0,0.332892,0.103257,0.405791,0,0,0,0.000587202,0,0.898787,0.626974,0.159074,0.00167853,0.998608,0.271502,0.8976,0.0239806
2200,220,9.16667,61,5,14,42,30,31,0,0,0,10,41.6667,0.0357517,0.0219074,0.200982,0.700276,0,10,10,10,0.166623,0.0881215,0.593648,0,0,0,0,0.294328,0.0943597,0.373408,0,0,0,0.0171525,0,0.876454,0.623078,0.157684,0.00179592,0.998629,0.271693,0.910173,0.0146268
