step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,7,0,0.0294937,0,0.330066,0.036297,0,2,0,0,0.0913456,0,0.0267349,0,0,0,0,0.2967,0.0537719,0.267007,0,0,0,3.2562e-05,0,1,0.985393,0.205342,7.37298e-06,0.958349,0.011565,0.462364,0.0538043
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,4.16667,0.0434557,1.59436e-05,0.50833,0.122891,0,4,0,0,0.093018,0,0.181037,0,0,0,0,0.448041,0.260291,0.272569,0,0,0,3.19763e-05,0,0.999958,0.899341,0.198962,6.12073e-05,0.998441,0.0812394,0.704795,0.166309
600,60,2.5,12,5,6,1,11,1,0,0,8,8,4.16667,0.0497424,0.00031347,0.455103,0.221117,0,4,3,0,0.175016,0,0.356156,0,0,0,0,0.529175,0.342557,0.242606,0,0,0,3.19631e-05,0,0.998844,0.73047,0.170089,0.000214844,0.998441,0.160522,0.757654,0.145434
800,80,3.33333,15,5,7,3,12,3,0,0,9,9,12.5,0.051795,0.000889319,0.391294,0.306998,0,6,6,0,0.193723,0,0.474467,0,0,0,0,0.552962,0.335697,0.230569,0,0,0,3.19503e-05,0,0.994986,0.650567,0.157284,0.000448517,0.998483,0.214312,0.74119,0.103061
1000,100,4.16667,19,5,9,5,14,5,0,0,6,7,20.8333,0.0513309,0.00205817,0.350816,0.379481,0,10,10,0,0.216224,0,0.540276,0,0,0,0,0.543984,0.266825,0.313459,0,0,0,3.19375e-05,0,0.985879,0.646026,0.160124,0.000712471,0.998524,0.244485,0.789259,0.0534262
1200,120,5,25,5,14,6,19,6,0,0,5,5,20.8333,0.0494123,0.00371267,0.337422,0.448575,0,10,10,0,0.205925,0,0.570915,0,0,0,0,0.508848,0.203327,0.465653,0,0,0,3.19248e-05,0,0.973928,0.641293,0.161522,0.000966544,0.998524,0.258825,0.822456,0.0239215
1400,140,5.83333,35,5,19,11,24,11,0,0,2,6,20.8333,0.0467381,0.00516059,0.302066,0.513788,0,10,10,0,0.189543,0,0.585191,0,0,0,0,0.464408,0.153735,0.477031,0,0,0,3.1912e-05,0,0.961636,0.636549,0.162362,0.00118911,0.998524,0.265789,0.847176,0.0113075
1600,160,6.66667,45,5,22,18,29,16,0,0,0,8,25,0.0437977,0.00707737,0.301299,0.574331,0,10,10,2,0.17036,0.0144722,0.590774,0,0,0,0,0.411032,0.1434,0.461891,0,0,0,4.41047e-05,0,0.947003,0.631887,0.162292,0.00137739,0.998545,0.268831,0.866899,0.0284665
1800,180,7.5,51,5,20,26,29,22,0,0,0,10,29.1667,0.0408865,0.00893548,0.284626,0.633444,0,10,10,5,0.155682,0.0444685,0.593588,0,0,0,0,0.360034,0.120935,0.425153,0,0,0,0.000389664,0,0.931752,0.627349,0.161924,0.00153566,0.998566,0.27062,0.883456,0.0204106
