step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.31327,0.0353802,0,2,0,0,0.0913241,0,0.0267349,0,0,0,0,0.2967,0.058465,0.266266,0,0,0,3.20291e-05,0,1,0.983291,0.204836,1.82065e-07,0.958349,0.011565,0.462364,0.0573669
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0435245,0,0.443079,0.113218,0,4,0,0,0.0933811,0,0.192154,0,0,0,0,0.448012,0.21516,0.288394,0,0,0,3.19758e-05,0,1,0.943346,0.209692,1.59846e-06,0.99842,0.0862258,0.702247,0.128848
600,60,2.5,12,5,7,0,12,0,0,0,8,8,0,0.0500737,0,0.354915,0.191179,0,4,4,0,0.198455,0,0.380992,0,0,0,0,0.528782,0.19434,0.413169,0,0,0,3.1963e-05,0,1,0.892271,0.208956,5.86854e-06,0.99842,0.171755,0.74647,0.0736276
800,80,3.33333,12,5,7,0,12,0,0,0,8,8,0,0.0524005,0,0.353117,0.263613,0,6,6,0,0.210969,0,0.501473,0,0,0,0,0.549157,0.179532,0.509854,0,0,0,3.19503e-05,0,1,0.835804,0.204962,1.24211e-05,0.99842,0.226575,0.740361,0.0525005
1000,100,4.16667,14,5,7,2,12,2,0,0,5,10,8.33333,0.0520677,0.000254406,0.343178,0.333948,0,10,10,0,0.206576,0,0.557914,0,0,0,0,0.531144,0.150798,0.534962,0,0,0,3.19375e-05,0,0.997918,0.773659,0.1976,1.9653e-05,0.998462,0.252569,0.787875,0.028723
1200,120,5,14,5,6,3,11,3,0,0,4,9,12.5,0.0500384,0.00111137,0.306051,0.398987,0,10,10,0,0.187212,0,0.576925,0,0,0,0,0.496649,0.121429,0.534339,0,0,0,3.19248e-05,0,0.990568,0.724141,0.19073,2.61087e-05,0.998483,0.261672,0.820712,0.0117211
1400,140,5.83333,16,5,8,3,13,3,0,0,3,6,16.6667,0.0471948,0.00203188,0.267031,0.455439,0,10,10,1,0.175861,0.0030619,0.586919,0,0,0,0,0.456709,0.121114,0.525165,0,0,0,3.1912e-05,0,0.981844,0.67665,0.183332,3.14919e-05,0.998504,0.266705,0.845384,0.020774
1600,160,6.66667,21,5,11,5,16,5,0,0,2,10,16.6667,0.0441168,0.00297623,0.243035,0.506714,0,10,10,4,0.169737,0.0488179,0.592136,0,0,0,0,0.412284,0.136313,0.482678,0,0,0,0.000377184,0,0.971931,0.635161,0.17408,3.59654e-05,0.998504,0.269579,0.865268,0.0316369
1800,180,7.5,28,5,17,6,22,6,0,0,0,9,16.6667,0.0411151,0.00380267,0.199877,0.550754,0,10,10,6,0.178002,0.115925,0.594493,0,0,0,0,0.372432,0.145786,0.429344,0,0,0,0.00194079,0,0.962019,0.631284,0.167315,3.97326e-05,0.998504,0.27116,0.882063,0.0323992
