step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.330983,0.0362299,0,2,1,0,0.0913567,0,0.0267349,0,0,0,0,0.2967,0.0689266,0.328166,0,0,0,3.20037e-05,0,1,0.985412,0.205337,7.37298e-06,0.958349,0.011565,0.462364,0.0658676
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,4.16667,0.0434501,3.65118e-05,0.503583,0.122573,0,4,1,0,0.0930978,0,0.179713,0,0,0,0,0.448042,0.223597,0.325995,0,0,0,3.19765e-05,0,0.999904,0.909079,0.201272,6.09307e-05,0.998441,0.0806467,0.705009,0.1351
600,60,2.5,10,5,4,1,9,1,0,0,8,10,8.33333,0.0497219,0.00049816,0.425075,0.216374,0,4,4,0,0.179525,0,0.355056,0,0,0,0,0.528235,0.270599,0.313339,0,0,0,3.19632e-05,0,0.997885,0.77951,0.181155,0.000213461,0.998462,0.160028,0.758362,0.124943
800,80,3.33333,13,5,5,3,10,3,0,0,10,9,16.6667,0.0517736,0.00106846,0.372242,0.296309,0,6,6,0,0.258323,0,0.475022,0,0,0,0,0.570502,0.258441,0.415244,0,0,0,3.19503e-05,0,0.993783,0.650771,0.157435,0.00044651,0.998503,0.214558,0.741238,0.0898927
1000,100,4.16667,16,5,7,4,12,4,0,0,7,9,20.8333,0.0513458,0.00217866,0.336744,0.367188,0,10,10,0,0.27246,0,0.543705,0,0,0,0,0.569076,0.213178,0.467096,0,0,0,3.19376e-05,0,0.984657,0.646798,0.16036,0.000713155,0.998524,0.246031,0.789296,0.0464205
1200,120,5,22,5,10,7,15,7,0,0,7,8,25,0.0494568,0.00435511,0.30248,0.430768,0,10,10,1,0.252794,0.010629,0.572948,0,0,0,0,0.534635,0.167175,0.477992,0,0,0,3.19248e-05,0,0.970652,0.642817,0.161479,0.000970489,0.998545,0.259746,0.822439,0.0196476
1400,140,5.83333,29,5,14,10,19,10,0,0,4,5,29.1667,0.0467818,0.00663465,0.292375,0.490299,0,10,10,1,0.221159,0.0256161,0.585919,0,0,0,0,0.482431,0.132909,0.471282,0,0,0,0.00013786,0,0.955159,0.638837,0.161844,0.00119389,0.998566,0.266122,0.847109,0.00823844
1600,160,6.66667,35,5,14,16,19,16,0,0,1,7,29.1667,0.0438275,0.00914456,0.270505,0.547969,0,10,10,4,0.204129,0.0775031,0.591364,0,0,0,0,0.424967,0.108903,0.435004,0,0,0,0.000819316,0,0.937811,0.634872,0.161544,0.00138138,0.998566,0.269102,0.866812,0.00561299
1800,180,7.5,44,5,13,26,24,20,0,0,0,10,33.3333,0.0409073,0.0120345,0.245019,0.599505,0,10,10,6,0.205238,0.137497,0.594227,0,0,0,0,0.377546,0.0936423,0.399145,0,0,0,0.0122879,0,0.91806,0.63093,0.160574,0.001539,0.998587,0.270913,0.883369,0.00641993
2000,200,8.33333,51,5,13,33,27,24,0,0,0,8,37.5,0.0381906,0.0164956,0.219497,0.646108,0,10,10,10,0.203097,0.218194,0.594475,0,0,0,0,0.333745,0.080375,0.370062,0,0,0,0.115455,0,0.896949,0.62702,0.159821,0.00167417,0.998608,0.271541,0.897691,0.00287628
2200,220,9.16667,57,5,12,40,27,30,0,0,0,8,41.6667,0.0357474,0.0242277,0.200083,0.687828,0,10,10,10,0.197184,0.333992,0.593867,0,0,0,0,0.290949,0.0723437,0.346742,0,0,0,0.390764,0,0.873194,0.623141,0.159333,0.00179236,0.998629,0.271778,0.91024,0.00272606
2400,240,10,61,5,12,44,27,34,0,0,0,7,45.8333,0.033588,0.035045,0.184656,0.726525,0,10,10,10,0.180427,0.45399,0.592525,0,0,0,0,0.249083,0.0683426,0.326755,0,0,0,0.799146,0,0.846704,0.619295,0.158509,0.00189653,0.99865,0.271678,0.92128,0.00303838
2600,260,10.8333,68,5,18,45,33,34,1,0,0,8,50,0.0316979,0.0466926,0.16674,0.761817,0,10,10,10,0.162769,0.573989,0.590252,0,0,0,0,0.212974,0.0659838,0.309841,0,0,0,0.799167,0,0.818858,0.615481,0.157548,0.00198873,0.998691,0.271208,0.930988,0.00337082
2800,280,11.6667,72,5,17,50,32,38,2,0,0,9,50,0.0300497,0.0622214,0.147843,0.793346,0,10,10,10,0.146251,0.693987,0.586978,0,0,0,0,0.182019,0.0630317,0.295184,0,0,0,0.79918,0,0.786407,0.6117,0.156372,0.00207004,0.998712,0.270449,0.939509,0.00209063
3000,300,12.5,81,5,22,54,37,37,7,0,0,8,54.1667,0.0286138,0.0770704,0.132852,0.821396,0,10,10,10,0.131961,0.813986,0.582996,0,0,0,0,0.15586,0.0651489,0.283254,0,0,0,0.799188,0,0.752488,0.607952,0.155371,0.0021414,0.998775,0.269545,0.946975,0.00646235
3200,320,13.3333,89,5,24,60,38,44,7,0,0,9,58.3333,0.0273629,0.110765,0.117505,0.846466,0,10,10,10,0.119602,0.933985,0.578555,0,0,0,0,0.133339,0.0620101,0.271116,0,0,0,0.7992,0,0.709771,0.604236,0.153538,0.00220382,0.998817,0.268557,0.953506,0.00290221
3400,340,14.1667,99,5,22,72,41,45,13,0,0,9,62.5,0.0262718,0.151495,0.103224,0.868618,0,10,10,10,0.109218,1.05398,0.573801,0,0,0,0,0.114184,0.0598033,0.260291,0,0,0,0.799212,0,0.661443,0.600551,0.15162,0.00225829,0.998879,0.267501,0.959214,0.00150965
3600,360,15,110,5,27,78,48,47,15,0,0,8,62.5,0.025318,0.189445,0.0904547,0.887998,0,10,10,10,0.101084,1.17398,0.568854,0,0,0,0,0.098403,0.057798,0.251214,0,0,0,0.799228,0,0.610401,0.596895,0.149898,0.00230566,0.998879,0.266392,0.964201,0.000809453
3800,380,15.8333,120,5,28,87,50,52,18,0,0,5,66.6667,0.0244821,0.230597,0.0787475,0.904946,0,9,9,9,0.0948424,1.29398,0.56384,0,0,0,0,0.0854626,0.0555149,0.242901,0,0,0,0.799243,0,0.555971,0.593267,0.148073,0.0023468,0.998921,0.265241,0.96856,0.000387886
4000,400,16.6667,128,5,27,96,50,55,20,3,0,5,75,0.0237476,0.277772,0.0692411,0.919799,0,8,8,8,0.0896278,1.41398,0.558847,0,0,0,0,0.074319,0.0532441,0.235375,0,0,0,0.799254,0,0.497428,0.589668,0.146228,0.00238255,0.999046,0.264066,0.972372,0.000172889
4200,420,17.5,137,5,24,108,53,57,21,6,0,5,79.1667,0.0231001,0.345796,0.0608031,0.932805,0,6,6,6,0.0851068,1.51028,0.553901,0,0,0,0,0.0647955,0.0501504,0.226986,0,0,0,0.799293,0,0.428666,0.586095,0.143764,0.00241362,0.999108,0.262886,0.975713,0.00179498
4400,440,18.3333,145,5,24,116,56,60,22,7,0,3,79.1667,0.022527,0.407736,0.0536907,0.944245,0,4,4,4,0.0811121,1.59458,0.549018,0,0,0,0,0.0564753,0.0450645,0.219066,0,0,0,0.799339,0,0.356,0.58255,0.141264,0.00244058,0.999109,0.261712,0.978645,0.000779158
4600,460,19.1667,0,0,0,0,0,0,0,0,0,4,100,0.0220341,0.469664,0.0467375,0.95444,0,4,4,4,0.0776175,1.65458,0.548653,0,0,0,0,0.048934,0.0532804,0.205459,0,0,0,0.799409,0,0.269389,0.579031,0.136306,0.00246704,0.999921,0.260737,0.981221,0.0138658
4800,480,20,0,0,0,0,0,0,0,0,0,5,100,0.0216789,0.522537,0.0398912,0.963001,0,3,3,3,0.0748879,1.7049,0.550976,0,0,0,0,0.0422568,0.0713408,0.185184,0,0,0,0.799478,0,0.163601,0.575536,0.128532,0.00250606,0.999921,0.260285,0.983421,0.0221154
5000,500,20.8333,0,0,0,0,0,0,0,0,0,5,100,0.0214106,0.557965,0.036789,0.970779,0,2,2,2,0.0726315,1.74773,0.55164,0,0,0,0,0.0364464,0.102882,0.162917,0,0,0,0.799536,0,0.0570451,0.572062,0.119839,0.00255079,0.999921,0.260003,0.985237,0.0296648
5200,520,21.6667,0,0,0,0,0,0,0,0,0,4,100,0.02119,0.581704,0.0310484,0.977602,0,0,0,0,0.0706346,1.74803,0.551125,0,0,0,0,0.0314462,0.120596,0.154648,0,0,0,0.799652,0,9.17735e-07,0.568605,0.116645,0.00259576,0.999921,0.259965,0.986722,0.0224554
5400,540,22.5,0,0,0,0,0,0,0,0,0,2,100,0.0209959,0.59761,0.0206322,0.982509,0,0,0,0,0.0892112,1.74803,0.549954,0,0,0,0,0.0331997,0.0946818,0.149728,0,0,0,0.799732,0,9.17735e-07,0.565162,0.114709,0.00263828,0.999921,0.25964,0.987947,0.00936921
5600,560,23.3333,0,0,0,0,0,0,0,0,0,1,100,0.0208259,0.608268,0.0168956,0.98622,0,0,0,0,0.0865739,1.74803,0.549089,0,0,0,0,0.0287919,0.0671631,0.145558,0,0,0,0.799795,0,9.17735e-07,0.561731,0.113006,0.00267892,0.999921,0.259165,0.988972,0.0033102
5800,580,24.1667,0,0,0,0,0,0,0,0,0,1,100,0.0206768,0.615409,0.0142392,0.989328,0,0,0,0,0.0802466,1.74803,0.547728,0,0,0,0,0.0236482,0.0476566,0.142001,0,0,0,0.799843,0,9.17735e-07,0.558315,0.111493,0.00271793,0.999921,0.258984,0.989838,0.00117003
6000,600,25,0,0,0,0,0,0,0,0,0,1,100,0.0205342,0.620194,0.0120986,0.991958,0,0,0,0,0.0752344,1.74803,0.545441,0,0,0,0,0.0196074,0.0338253,0.13895,0,0,0,0.799881,0,9.17735e-07,0.554917,0.11014,0.00275314,0.999921,0.258448,0.990583,0.000413735
6200,620,25.8333,0,0,0,0,0,0,0,0,0,1,100,0.0203874,0.6234,0.0103556,0.9942,0,0,0,0,0.0712383,1.74803,0.542363,0,0,0,0,0.0164185,0.0240152,0.136314,0,0,0,0.799909,0,9.17735e-07,0.551541,0.108917,0.00278287,0.999921,0.257618,0.991247,0.000146363
6400,640,26.6667,0,0,0,0,0,0,0,0,0,1,100,0.0202317,0.625549,0.00891874,0.996125,0,0,0,0,0.0680317,1.74803,0.538728,0,0,0,0,0.0138924,0.0170551,0.13402,0,0,0,0.79993,0,9.17735e-07,0.548189,0.107802,0.00280654,0.999921,0.256631,0.991867,5.1799e-05
