step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.332091,0.0364571,0,2,0,0,0.0913378,0,0.0267349,0,0,0,0,0.2967,0.0556452,0.266394,0,0,0,5.22537e-05,0,1,0.983713,0.204929,7.37298e-06,0.958349,0.011565,0.462364,0.0550918
400,40,1.66667,8,5,3,0,8,0,0,0,9,10,0,0.0434383,0,0.51047,0.123561,0,4,0,0,0.0928667,0,0.178099,0,0,0,0,0.448048,0.243251,0.269619,0,0,0,3.19767e-05,0,1,0.890272,0.196875,6.03384e-05,0.99842,0.0799213,0.705453,0.151777
600,60,2.5,11,5,5,1,10,1,0,0,11,7,8.33333,0.049693,0.00048697,0.416876,0.212577,0,4,4,0,0.200828,0,0.355219,0,0,0,0,0.532461,0.282658,0.241093,0,0,0,3.19632e-05,0,0.997938,0.728328,0.16927,0.000211402,0.998462,0.160099,0.759386,0.112584
800,80,3.33333,12,5,4,3,9,3,0,0,11,9,12.5,0.0517713,0.00103478,0.406175,0.295866,0,6,6,0,0.202172,0,0.476561,0,0,0,0,0.549759,0.301254,0.313752,0,0,0,3.19503e-05,0,0.994123,0.650756,0.157345,0.000445629,0.998483,0.215251,0.741282,0.0976235
1000,100,4.16667,18,5,8,5,13,5,0,0,5,10,20.8333,0.0513639,0.00218628,0.386033,0.377654,0,10,10,0,0.212932,0,0.544933,0,0,0,0,0.538675,0.249989,0.421059,0,0,0,3.19375e-05,0,0.985761,0.646762,0.160146,0.000713962,0.998524,0.246587,0.789313,0.0554744
1200,120,5,23,5,11,7,16,7,0,0,3,9,20.8333,0.0494767,0.00382478,0.347117,0.450759,0,10,10,0,0.208432,0,0.57355,0,0,0,0,0.510897,0.192323,0.479437,0,0,0,3.19248e-05,0,0.973692,0.642746,0.161744,0.000971995,0.998524,0.260019,0.822424,0.0229693
1400,140,5.83333,30,5,15,10,20,10,0,0,2,9,20.8333,0.0467997,0.00525869,0.311659,0.517487,0,10,10,0,0.193971,0,0.586059,0,0,0,0,0.468967,0.14779,0.48418,0,0,0,3.1912e-05,0,0.961344,0.638723,0.162764,0.00119573,0.998524,0.266188,0.847075,0.00897854
1600,160,6.66667,38,5,16,17,24,14,0,0,2,8,29.1667,0.0438393,0.00747821,0.274882,0.576305,0,10,10,4,0.195317,0.019347,0.591406,0,0,0,0,0.428912,0.11486,0.473728,0,0,0,7.96405e-05,0,0.94567,0.634711,0.162583,0.00138293,0.998566,0.269123,0.866773,0.00347094
1800,180,7.5,47,5,15,27,25,22,0,0,1,9,33.3333,0.0409153,0.0101941,0.262547,0.629823,0,10,10,6,0.180155,0.0571445,0.59406,0,0,0,0,0.378026,0.0999551,0.438137,0,0,0,0.000542449,0,0.927283,0.630722,0.161665,0.0015403,0.998587,0.27084,0.883331,0.00800564
2000,200,8.33333,54,5,12,37,29,25,0,0,0,10,37.5,0.0381947,0.0132946,0.236606,0.680942,0,10,10,10,0.167356,0.112343,0.594204,0,0,0,0,0.328847,0.0824672,0.401275,0,0,0,0.00585,0,0.907256,0.626767,0.160422,0.00167507,0.998608,0.27142,0.897659,0.00397635
2200,220,9.16667,60,5,13,42,29,31,0,0,0,9,37.5,0.0357441,0.0192494,0.211525,0.725756,0,10,10,10,0.163671,0.211491,0.593349,0,0,0,0,0.290271,0.0723366,0.371203,0,0,0,0.118334,0,0.885012,0.622851,0.15938,0.0017923,0.998608,0.271545,0.910219,0.0023539
2400,240,10,63,5,13,45,28,35,0,0,0,9,41.6667,0.0335767,0.0247824,0.202031,0.767019,0,10,10,10,0.156172,0.328189,0.59181,0,0,0,0,0.249736,0.0839022,0.346739,0,0,0,0.40476,0,0.862658,0.618976,0.158522,0.0018953,0.998629,0.271375,0.921275,0.0157731
