step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.332448,0.0365431,0,2,0,0,0.0913434,0,0.022017,0,0,0,0,0.118692,0.0567269,0.266989,0,0,0,3.20291e-05,0,1,0.985332,0.205329,6.02189e-06,0.958349,0.00952457,0.463113,0.0559305
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,8.33333,0.04282,7.93166e-05,0.515934,0.124045,0,4,0,0,0.0931171,0,0.0941145,0,0,0,0,0.17933,0.225609,0.275219,0,0,0,3.19764e-05,0,0.999792,0.908149,0.200902,4.01865e-05,0.960128,0.0421076,0.730652,0.134171
600,60,2.5,11,5,5,1,10,1,0,0,9,10,12.5,0.0478818,0.000849973,0.45878,0.226259,0,4,2,0,0.139157,0,0.181087,0,0,0,0,0.208996,0.31589,0.241064,0,0,0,3.19631e-05,0,0.997633,0.738584,0.170284,0.000118114,0.998483,0.081489,0.844383,0.128805
800,80,3.33333,12,5,4,3,9,3,0,0,9,9,16.6667,0.0485128,0.00178363,0.374378,0.310587,0,6,6,0,0.187471,0,0.252948,0,0,0,0,0.22229,0.318382,0.23062,0,0,0,3.19503e-05,0,0.994321,0.65074,0.157322,0.000226595,0.998503,0.114123,0.875928,0.0996803
1000,100,4.16667,16,5,6,5,11,5,0,0,7,9,20.8333,0.0468656,0.00308105,0.339534,0.383371,0,10,10,0,0.222018,0,0.307193,0,0,0,0,0.219666,0.253229,0.313241,0,0,0,3.19375e-05,0,0.988954,0.64671,0.160105,0.000347207,0.998524,0.138864,0.867156,0.0492172
1200,120,5,21,5,9,7,14,7,0,0,6,8,20.8333,0.0441676,0.00460783,0.320074,0.44951,0,10,10,0,0.242883,0,0.347738,0,0,0,0,0.20877,0.190828,0.47388,0,0,0,3.19248e-05,0,0.981949,0.642651,0.1617,0.000468625,0.998524,0.157465,0.84269,0.0193193
1400,140,5.83333,28,5,12,11,17,11,0,0,4,8,25,0.0410984,0.00626603,0.287772,0.509926,0,10,10,0,0.234382,0,0.376141,0,0,0,0,0.19316,0.145878,0.481945,0,0,0,3.1912e-05,0,0.973528,0.638582,0.16245,0.000584755,0.998545,0.170618,0.861346,0.00774678
1600,160,6.66667,34,5,13,16,20,14,0,0,2,9,25,0.0379985,0.00810854,0.264816,0.565594,0,10,10,3,0.213749,0.0106491,0.394435,0,0,0,0,0.17301,0.118727,0.477026,0,0,0,3.18993e-05,0,0.963696,0.634527,0.162545,0.000690768,0.998545,0.179227,0.883142,0.00972003
1800,180,7.5,42,5,18,19,25,17,0,0,1,8,29.1667,0.0350506,0.0102855,0.235827,0.616422,0,10,10,5,0.203683,0.0306476,0.406199,0,0,0,0,0.155803,0.100187,0.456741,0,0,0,0.000211213,0,0.9522,0.630502,0.161993,0.000784826,0.998566,0.1849,0.901159,0.00780472
