step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.334376,0.0366452,0,2,0,0,0.0913387,0,0.022017,0,0,0,0,0.296729,0.0617478,0.266438,0,0,0,3.20543e-05,0,1,0.983835,0.204959,6.02189e-06,0.958349,0.00952457,0.463113,0.0615587
400,40,1.66667,9,5,4,0,9,0,0,0,9,10,0,0.0430572,0,0.521138,0.124742,0,4,0,0,0.0928578,0,0.166323,0,0,0,0,0.448223,0.261075,0.267647,0,0,0,3.19764e-05,0,1,0.884956,0.195554,5.14163e-05,0.99842,0.074702,0.710301,0.158041
600,60,2.5,11,5,5,1,10,1,0,0,10,10,12.5,0.0489178,0.000650736,0.412968,0.211166,0,4,4,0,0.203138,0,0.331723,0,0,0,0,0.541734,0.277839,0.235358,0,0,0,3.19632e-05,0,0.99755,0.714941,0.165637,0.000181057,0.998483,0.149556,0.771904,0.112498
800,80,3.33333,14,5,5,4,11,3,0,0,11,9,12.5,0.0505422,0.00146803,0.397546,0.292541,0,6,6,0,0.249125,0,0.446956,0,0,0,0,0.576065,0.260472,0.230652,0,0,0,3.19503e-05,0,0.992494,0.650751,0.157336,0.00037699,0.998483,0.201904,0.744989,0.0748113
1000,100,4.16667,17,5,6,6,12,5,0,0,8,9,20.8333,0.0496743,0.00304051,0.355173,0.366766,0,10,10,0,0.265412,0,0.489586,0,0,0,0,0.572642,0.222047,0.312605,0,0,0,3.19376e-05,0,0.9832,0.646703,0.15985,0.000592726,0.998524,0.221569,0.792345,0.0493278
1200,120,5,23,5,12,6,17,6,0,0,7,8,20.8333,0.0471995,0.00457235,0.340583,0.437153,0,10,10,0,0.243743,0,0.489586,0,0,0,0,0.537989,0.170738,0.444164,0,0,0,3.19248e-05,0,0.972992,0.642583,0.161494,0.000775915,0.998524,0.222007,0.826847,0.0232092
1400,140,5.83333,29,5,15,9,20,9,0,0,4,7,20.8333,0.0440341,0.00591292,0.317589,0.502783,0,10,10,0,0.226517,0,0.489587,0,0,0,0,0.491639,0.123909,0.450506,0,0,0,3.19121e-05,0,0.962785,0.638445,0.162543,0.000923378,0.998524,0.222442,0.853065,0.00836037
1600,160,6.66667,37,5,16,16,25,12,0,0,3,6,25,0.0407229,0.00713164,0.30206,0.565077,0,10,10,4,0.203307,0.00227467,0.489587,0,0,0,0,0.438281,0.0900233,0.443923,0,0,0,3.18994e-05,0,0.952456,0.634325,0.163113,0.00104183,0.998545,0.222873,0.874292,0.00298924
1800,180,7.5,43,5,10,28,27,16,0,0,0,6,29.1667,0.0375519,0.00909383,0.258466,0.622824,0,10,10,6,0.193612,0.0195983,0.489587,0,0,0,0,0.388179,0.0670628,0.427662,0,0,0,8.79432e-05,0,0.939586,0.630247,0.162673,0.00113861,0.998566,0.223301,0.892207,0.00107317
