step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.328607,0.0362918,0,2,0,0,0.091344,0,0.022017,0,0,0,0,0.296729,0.0456923,0.267147,0,0,0,3.263e-05,0,1,0.985757,0.205435,6.02189e-06,0.958349,0.00952457,0.463113,0.0443137
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,4.16667,0.0430708,0.00011093,0.502559,0.122262,0,4,0,0,0.0931137,0,0.16867,0,0,0,0,0.448218,0.202771,0.274907,0,0,0,3.19768e-05,0,0.999704,0.907774,0.20074,5.20788e-05,0.998441,0.0757516,0.709786,0.127138
600,60,2.5,12,5,4,3,9,3,0,0,9,8,8.33333,0.0490078,0.000551346,0.406023,0.208738,0,4,3,0,0.219042,0,0.340833,0,0,0,0,0.538598,0.224838,0.253626,0,0,0,3.19632e-05,0,0.997932,0.767327,0.178183,0.000186716,0.998462,0.153672,0.768851,0.0895909
800,80,3.33333,14,5,5,4,10,4,0,0,9,9,12.5,0.0507773,0.00124226,0.366125,0.288836,0,6,6,0,0.259306,0,0.460123,0,0,0,0,0.566782,0.253445,0.364737,0,0,0,3.19503e-05,0,0.993421,0.650768,0.157348,0.000395305,0.998483,0.207876,0.74444,0.0909425
1000,100,4.16667,17,5,6,6,11,6,0,0,5,9,20.8333,0.0498687,0.00278949,0.327987,0.357023,0,10,10,0,0.283866,0,0.489588,0,0,0,0,0.561246,0.213786,0.458415,0,0,0,3.19375e-05,0,0.984218,0.64679,0.159917,0.000612863,0.998524,0.221604,0.791888,0.0530892
1200,120,5,22,5,8,9,14,8,0,0,1,10,20.8333,0.0473311,0.00435267,0.294574,0.41958,0,10,10,0,0.294439,0,0.489588,0,0,0,0,0.540457,0.163371,0.479995,0,0,0,3.19248e-05,0,0.97401,0.642799,0.161579,0.000793677,0.998524,0.222042,0.826355,0.0197294
1400,140,5.83333,30,5,9,16,20,10,0,0,0,10,25,0.0441254,0.00573209,0.281277,0.477093,0,10,10,0,0.280851,0,0.489588,0,0,0,0,0.503477,0.145184,0.483862,0,0,0,3.1912e-05,0,0.963772,0.638805,0.162636,0.000938734,0.998545,0.222476,0.852612,0.0202832
1600,160,6.66667,37,5,6,26,22,15,0,0,0,10,29.1667,0.0407878,0.00792726,0.260133,0.531532,0,10,10,3,0.258254,0.0238475,0.489588,0,0,0,0,0.459299,0.137908,0.471445,0,0,0,0.000135321,0,0.950738,0.634819,0.162473,0.00105505,0.998566,0.222907,0.873902,0.0182385
1800,180,7.5,42,5,8,29,23,19,0,0,0,10,29.1667,0.0375992,0.0102758,0.235009,0.581119,0,10,10,6,0.231925,0.0538459,0.489588,0,0,0,0,0.413552,0.128312,0.434834,0,0,0,0.000515217,0,0.936449,0.630852,0.16185,0.00115003,0.998566,0.223334,0.891885,0.0112419
2000,200,8.33333,45,5,9,31,23,22,0,0,0,9,33.3333,0.0346935,0.0128055,0.209129,0.625615,0,10,10,10,0.210149,0.113844,0.489588,0,0,0,0,0.365336,0.103066,0.399167,0,0,0,0.00915278,0,0.920834,0.62691,0.160816,0.00122987,0.998587,0.223758,0.907412,0.00545534
2200,220,9.16667,51,5,11,35,26,25,0,0,0,8,37.5,0.0321208,0.0155423,0.190448,0.66533,0,10,10,10,0.196854,0.209392,0.489588,0,0,0,0,0.321344,0.0945891,0.369253,0,0,0,0.134228,0,0.904352,0.622996,0.159615,0.00129924,0.998608,0.224178,0.920941,0.0120424
2400,240,10,56,5,13,38,27,29,0,0,0,10,37.5,0.0298853,0.0212165,0.185039,0.70311,0,10,10,10,0.179002,0.310188,0.489588,0,0,0,0,0.270459,0.0868073,0.343284,0,0,0,0.413068,0,0.885983,0.619116,0.157973,0.00136148,0.998608,0.224595,0.932744,0.00888078
2600,260,10.8333,63,5,13,45,32,31,0,0,0,10,37.5,0.0279673,0.0261821,0.164007,0.738349,0,10,10,10,0.161838,0.415185,0.489588,0,0,0,0,0.23157,0.0771561,0.322405,0,0,0,0.7993,0,0.867616,0.615271,0.156715,0.00141886,0.998608,0.225008,0.943014,0.00492141
2800,280,11.6667,70,5,17,48,35,35,0,0,0,7,45.8333,0.0263354,0.036791,0.142045,0.769082,0,10,10,10,0.146391,0.520182,0.489419,0,0,0,0,0.201946,0.0704282,0.304057,0,0,0,0.799298,0,0.845695,0.611457,0.155117,0.00147278,0.99865,0.225341,0.951908,0.00278936
3000,300,12.5,77,5,18,54,38,38,1,0,0,6,45.8333,0.0249499,0.049337,0.127517,0.795768,0,10,10,10,0.133063,0.625181,0.488816,0,0,0,0,0.171152,0.0655599,0.290135,0,0,0,0.7993,0,0.821524,0.607673,0.154183,0.00152351,0.998671,0.225475,0.959575,0.00266706
