step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.329029,0.0363102,0,2,0,0,0.0913435,0,0.022017,0,0,0,0,0.118692,0.0560549,0.267,0,0,0,3.20319e-05,0,1,0.985362,0.205336,6.02189e-06,0.958349,0.00952457,0.463113,0.0552125
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,8.33333,0.042863,7.9304e-05,0.500643,0.121942,0,4,0,0,0.0931783,0,0.101584,0,0,0,0,0.179324,0.242905,0.277571,0,0,0,3.19764e-05,0,0.999792,0.914762,0.202505,4.22414e-05,0.974812,0.045453,0.728501,0.149911
600,60,2.5,11,5,5,1,10,1,0,0,8,10,8.33333,0.0481031,0.000668436,0.430318,0.214303,0,4,4,0,0.171336,0,0.197704,0,0,0,0,0.211498,0.302598,0.25402,0,0,0,3.19632e-05,0,0.998015,0.772068,0.178815,0.000131213,0.998462,0.0889995,0.83635,0.137338
800,80,3.33333,13,5,5,3,10,3,0,0,9,7,12.5,0.048932,0.00137291,0.39757,0.296712,0,6,6,0,0.211327,0,0.272783,0,0,0,0,0.221936,0.299106,0.345968,0,0,0,3.19503e-05,0,0.994926,0.65077,0.157348,0.000256381,0.998483,0.123127,0.861106,0.101535
1000,100,4.16667,17,5,6,6,12,5,0,0,7,6,20.8333,0.047423,0.00231256,0.347558,0.371036,0,10,10,0,0.227913,0,0.325565,0,0,0,0,0.219506,0.249755,0.446268,0,0,0,3.19376e-05,0,0.990052,0.646789,0.160296,0.000393376,0.998524,0.147241,0.850663,0.0575703
1200,120,5,22,5,10,7,15,7,0,0,6,5,25,0.0447632,0.00454428,0.323791,0.438358,0,10,10,0,0.219415,0,0.361263,0,0,0,0,0.207634,0.196412,0.477078,0,0,0,3.19248e-05,0,0.980949,0.64279,0.16137,0.000525611,0.998545,0.163681,0.839321,0.0278023
1400,140,5.83333,28,5,13,10,19,9,0,0,3,4,25,0.041648,0.00660178,0.308328,0.501785,0,10,10,0,0.190917,0,0.385082,0,0,0,0,0.188731,0.150859,0.479658,0,0,0,3.19121e-05,0,0.971015,0.638785,0.161923,0.000645472,0.998545,0.174781,0.859673,0.0123755
1600,160,6.66667,35,5,16,14,21,14,0,0,2,6,29.1667,0.0384727,0.00878521,0.285224,0.561887,0,10,10,4,0.173764,0.0230221,0.400782,0,0,0,0,0.167611,0.114871,0.461159,0,0,0,0.000115185,0,0.959828,0.634788,0.161848,0.000750775,0.998566,0.182229,0.881428,0.00536963
1800,180,7.5,44,5,11,28,24,20,0,0,1,9,29.1667,0.0354497,0.0110266,0.271382,0.617674,0,10,10,5,0.160618,0.068019,0.410925,0,0,0,0,0.146666,0.0942545,0.423129,0,0,0,0.000736994,0,0.947584,0.630812,0.161367,0.000841989,0.998566,0.187178,0.899511,0.00621456
2000,200,8.33333,49,5,8,36,25,24,0,0,0,9,33.3333,0.0326822,0.0131755,0.237656,0.669523,0,10,10,8,0.152674,0.126814,0.417268,0,0,0,0,0.128755,0.0780711,0.390223,0,0,0,0.0210682,0,0.934782,0.626867,0.160674,0.000920663,0.998587,0.190412,0.91492,0.00357632
2200,220,9.16667,51,5,10,36,24,27,0,0,0,10,37.5,0.0302102,0.0184187,0.208655,0.714275,0,10,10,8,0.150619,0.220612,0.421125,0,0,0,0,0.113001,0.0873376,0.36101,0,0,0,0.161208,0,0.919207,0.622958,0.159131,0.000988695,0.998608,0.192523,0.928228,0.00758083
2400,240,10,54,5,10,39,24,30,0,0,0,9,45.8333,0.0280472,0.0285776,0.199048,0.755366,0,10,10,8,0.14198,0.316171,0.424339,0,0,0,0,0.0968431,0.127644,0.334345,0,0,0,0.371353,0,0.900878,0.619089,0.156701,0.00104893,0.99865,0.194342,0.939785,0.0213884
2600,260,10.8333,59,5,11,43,26,32,1,0,0,7,50,0.0261866,0.043704,0.174288,0.792849,0,10,10,10,0.137428,0.413373,0.42646,0,0,0,0,0.0827533,0.110058,0.310659,0,0,0,0.683272,0,0.879177,0.615258,0.153904,0.00110411,0.998691,0.195671,0.949816,0.0105303
2800,280,11.6667,62,5,12,45,25,36,1,0,0,9,50,0.0245848,0.0586198,0.158057,0.826212,0,10,10,10,0.126551,0.512847,0.426503,0,0,0,0,0.0706241,0.117398,0.289744,0,0,0,0.798788,0,0.855999,0.611463,0.150939,0.00115377,0.998691,0.196086,0.958501,0.0225005
3000,300,12.5,65,5,9,51,25,37,3,0,0,8,54.1667,0.0231995,0.0748872,0.140588,0.856175,0,10,10,10,0.117198,0.61175,0.425327,0,0,0,0,0.0603802,0.120486,0.272829,0,0,0,0.79895,0,0.831407,0.607701,0.148529,0.00119735,0.998754,0.196145,0.966015,0.0174239
