step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0293782,0,0.312107,0.0353649,0,2,0,0,0.0913242,0,0.022017,0,0,0,0,0.296729,0.053024,0.266579,0,0,0,3.19988e-05,0,1,0.984127,0.205044,1.48704e-07,0.958349,0.00952457,0.463113,0.0491025
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0430687,0,0.447986,0.113863,0,4,0,0,0.0934077,0,0.168404,0,0,0,0,0.448219,0.199613,0.287868,0,0,0,3.19758e-05,0,1,0.942096,0.209357,1.28523e-06,0.99842,0.0756331,0.709874,0.126674
600,60,2.5,8,5,3,0,8,0,0,0,10,9,0,0.0490245,0,0.418852,0.206692,0,4,3,0,0.1716,0,0.344262,0,0,0,0,0.516853,0.229044,0.293891,0,0,0,3.1963e-05,0,1,0.876783,0.205235,4.64636e-06,0.99842,0.155219,0.768312,0.111025
800,80,3.33333,13,5,8,0,13,0,0,0,10,9,0,0.0508698,0,0.38154,0.28629,0,6,6,0,0.203658,0,0.462106,0,0,0,0,0.542611,0.248118,0.483636,0,0,0,3.19503e-05,0,1,0.791619,0.194708,9.96947e-06,0.99842,0.208784,0.74422,0.0967034
1000,100,4.16667,13,5,7,1,12,1,0,0,7,9,4.16667,0.0499346,0.000237007,0.307815,0.355817,0,10,10,0,0.239295,0,0.489588,0,0,0,0,0.545417,0.22925,0.506248,0,0,0,3.19375e-05,0,0.998408,0.69013,0.178723,1.53862e-05,0.998441,0.221616,0.791739,0.0654462
1200,120,5,15,5,9,1,14,1,0,0,4,9,4.16667,0.0473756,0.00050693,0.274858,0.413882,0,10,10,0,0.254315,0,0.489588,0,0,0,0,0.525747,0.178709,0.502801,0,0,0,3.19248e-05,0,0.996366,0.642925,0.170123,1.98909e-05,0.998441,0.222054,0.826192,0.0266735
1400,140,5.83333,17,5,9,3,14,3,0,0,3,7,12.5,0.0441562,0.000942618,0.24245,0.4653,0,10,10,0,0.238363,0,0.489588,0,0,0,0,0.488729,0.138167,0.499589,0,0,0,3.1912e-05,0,0.993018,0.638992,0.168742,2.35171e-05,0.998483,0.222488,0.852461,0.00987994
1600,160,6.66667,20,5,10,5,15,5,0,0,2,6,16.6667,0.0408096,0.00197198,0.22077,0.511133,0,10,10,4,0.216446,0.0386624,0.489588,0,0,0,0,0.437956,0.109771,0.478715,0,0,0,0.000236596,0,0.98522,0.635069,0.167478,2.64345e-05,0.998504,0.222918,0.873772,0.00369772
1800,180,7.5,28,5,16,7,21,7,0,0,1,5,16.6667,0.0376151,0.00292381,0.202825,0.553745,0,10,10,6,0.194434,0.0911578,0.489588,0,0,0,0,0.387072,0.0893291,0.440688,0,0,0,0.00085016,0,0.977055,0.631166,0.167741,2.88231e-05,0.998504,0.223345,0.891778,0.00138076
