step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0293782,0,0.330971,0.0363963,0,2,0,0,0.0913418,0,0.022017,0,0,0,0,0.296729,0.050051,0.266623,0,0,0,4.99966e-05,0,1,0.984347,0.205084,6.02189e-06,0.958349,0.00952457,0.463113,0.0487746
400,40,1.66667,8,5,3,0,8,0,0,0,9,10,0,0.0430772,0,0.511163,0.123236,0,4,0,0,0.0929613,0,0.170172,0,0,0,0,0.448216,0.234032,0.271994,0,0,0,3.1977e-05,0,1,0.897155,0.198513,5.23945e-05,0.99842,0.0764228,0.709556,0.147667
600,60,2.5,10,5,4,1,9,1,0,0,8,10,8.33333,0.0490686,0.000485531,0.487402,0.22402,0,4,4,0,0.188757,0,0.346934,0,0,0,0,0.524566,0.310682,0.237636,0,0,0,3.19634e-05,0,0.998033,0.719841,0.167039,0.000190556,0.998462,0.156429,0.766808,0.118763
800,80,3.33333,13,5,7,1,12,1,0,0,9,9,12.5,0.0508929,0.00116518,0.373204,0.312008,0,6,6,0,0.250117,0,0.458366,0,0,0,0,0.563275,0.295411,0.281403,0,0,0,3.19504e-05,0,0.993567,0.650424,0.157246,0.000404811,0.998483,0.207101,0.74409,0.0775026
1000,100,4.16667,17,5,7,5,12,5,0,0,5,8,16.6667,0.0499425,0.00219665,0.34795,0.385749,0,10,10,0,0.248249,0,0.489588,0,0,0,0,0.547621,0.26066,0.433792,0,0,0,3.19376e-05,0,0.985587,0.645969,0.160194,0.00062137,0.998503,0.22162,0.791669,0.0664699
1200,120,5,22,5,10,7,15,7,0,0,3,10,20.8333,0.0473815,0.00381047,0.317895,0.451526,0,10,10,0,0.272451,0,0.489588,0,0,0,0,0.523023,0.21782,0.477492,0,0,0,3.19248e-05,0,0.975451,0.641456,0.161641,0.000801159,0.998524,0.222058,0.826139,0.0382789
1400,140,5.83333,27,5,11,11,16,11,0,0,2,9,25,0.0441607,0.00543723,0.291423,0.512717,0,10,10,0,0.271399,0,0.489589,0,0,0,0,0.487506,0.16209,0.478079,0,0,0,3.19121e-05,0,0.964723,0.63697,0.16236,0.000945208,0.998545,0.222492,0.85242,0.0142096
1600,160,6.66667,35,5,15,15,20,15,0,0,1,10,25,0.040813,0.00738323,0.276015,0.568879,0,10,10,4,0.239933,0.010798,0.489589,0,0,0,0,0.434924,0.129177,0.471219,0,0,0,3.18993e-05,0,0.952475,0.632554,0.162326,0.00106064,0.998545,0.222922,0.873741,0.0117063
1800,180,7.5,43,5,15,23,22,21,0,0,1,10,29.1667,0.0376177,0.00936499,0.255795,0.623553,0,10,10,6,0.205468,0.0269218,0.489589,0,0,0,0,0.380316,0.100861,0.459353,0,0,0,0.000175555,0,0.939462,0.628232,0.161899,0.00115487,0.998566,0.223349,0.891753,0.00507927
2000,200,8.33333,50,5,16,29,24,26,0,0,1,10,33.3333,0.0347073,0.011629,0.236348,0.672492,0,10,10,10,0.188562,0.0650954,0.489589,0,0,0,0,0.334973,0.0839194,0.42538,0,0,0,0.000736509,0,0.925124,0.62401,0.161068,0.00123408,0.998587,0.223772,0.907306,0.00304607
2200,220,9.16667,56,5,17,34,27,29,0,0,0,8,41.6667,0.0321313,0.0201074,0.215721,0.718031,0,10,10,10,0.179074,0.149168,0.489588,0,0,0,0,0.290745,0.0904836,0.388759,0,0,0,0.0519167,0,0.906326,0.619887,0.158966,0.00130294,0.998629,0.224192,0.920857,0.00427034
2400,240,10,61,5,16,40,28,32,1,0,0,7,50,0.0298934,0.0328588,0.181497,0.756654,0,10,10,10,0.171753,0.250866,0.489588,0,0,0,0,0.252871,0.0755386,0.355956,0,0,0,0.246089,0,0.88357,0.615856,0.156051,0.00136476,0.998691,0.224609,0.932678,0.00169755
2600,260,10.8333,66,5,16,45,29,36,1,0,0,7,50,0.0279737,0.0494115,0.150433,0.78992,0,10,10,10,0.165426,0.35939,0.489588,0,0,0,0,0.222444,0.0672466,0.329663,0,0,0,0.604679,0,0.857041,0.611907,0.153825,0.00142179,0.998691,0.225021,0.942962,0.0030257
2800,280,11.6667,70,5,17,48,28,39,3,0,0,5,54.1667,0.0263411,0.0719112,0.13663,0.818577,0,10,10,10,0.154703,0.468588,0.489511,0,0,0,0,0.194192,0.0833442,0.30627,0,0,0,0.799277,0,0.826628,0.608032,0.151193,0.00147549,0.998775,0.225396,0.951867,0.0169554
3000,300,12.5,76,5,19,52,31,39,6,0,0,6,58.3333,0.0249571,0.0993554,0.125924,0.84479,0,10,10,10,0.138825,0.585056,0.489049,0,0,0,0,0.165535,0.0980527,0.283287,0,0,0,0.799242,0,0.791931,0.604221,0.147441,0.0015263,0.998816,0.225593,0.959541,0.0224969
3200,320,13.3333,83,5,21,57,32,41,10,0,0,7,62.5,0.0237827,0.141618,0.109082,0.868353,0,10,10,10,0.125144,0.704148,0.488133,0,0,0,0,0.141019,0.0839699,0.263621,0,0,0,0.799228,0,0.751036,0.600462,0.143965,0.0015741,0.998879,0.225581,0.966128,0.0091208
3400,340,14.1667,94,5,25,64,41,41,12,0,0,6,62.5,0.0227797,0.181601,0.098287,0.889056,0,10,10,10,0.113442,0.824128,0.486592,0,0,0,0,0.120038,0.0832437,0.248846,0,0,0,0.799182,0,0.706523,0.596749,0.141587,0.0016182,0.998879,0.225314,0.971772,0.0131255
3600,360,15,103,5,22,76,42,47,14,0,0,7,66.6667,0.0219187,0.219768,0.0866613,0.907669,0,10,10,10,0.103544,0.944073,0.484603,0,0,0,0,0.102228,0.0750145,0.236962,0,0,0,0.799199,0,0.660223,0.593077,0.139661,0.00165843,0.998921,0.224939,0.976607,0.00645869
3800,380,15.8333,110,5,22,83,45,47,17,1,0,6,70.8333,0.0211711,0.27188,0.0748972,0.923864,0,9,9,9,0.0952293,1.05221,0.481755,0,0,0,0,0.0871982,0.0662366,0.227385,0,0,0,0.799237,0,0.607724,0.589441,0.138083,0.00169419,0.998983,0.224304,0.980756,0.00271876
4000,400,16.6667,117,5,25,87,47,49,19,2,0,7,75,0.0205149,0.32869,0.0655825,0.937944,0,8,8,8,0.0887063,1.15233,0.478352,0,0,0,0,0.0748674,0.0602799,0.2193,0,0,0,0.799283,0,0.550584,0.585839,0.136631,0.00172521,0.999046,0.223551,0.984331,0.00232092
4200,420,17.5,124,5,29,90,50,50,19,5,0,8,79.1667,0.0199348,0.385029,0.058218,0.95034,0,5,5,5,0.083825,1.21105,0.474626,0,0,0,0,0.0650694,0.0513925,0.212283,0,0,0,0.799393,0,0.489709,0.58227,0.135221,0.00175171,0.999108,0.222717,0.987427,0.00249237
4400,440,18.3333,132,5,27,100,50,56,21,5,0,8,100,0.0194195,0.438901,0.0513401,0.961327,0,3,3,3,0.0800409,1.24952,0.470758,0,0,0,0,0.0571907,0.0419454,0.205767,0,0,0,0.799499,0,0.425463,0.578731,0.133696,0.0017742,0.999171,0.221821,0.990125,0.00118401
4600,460,19.1667,0,0,0,0,0,0,0,0,0,2,100,0.0190326,0.501924,0.0373067,0.970074,0,3,3,3,0.0768756,1.26452,0.477651,0,0,0,0,0.050385,0.0329308,0.189173,0,0,0,0.799614,0,0.286377,0.575222,0.127883,0.00180467,0.999921,0.223498,0.992452,0.000652509
4800,480,20,0,0,0,0,0,0,0,0,0,3,100,0.0187764,0.544154,0.0338204,0.977267,0,1,1,1,0.0743124,1.27952,0.481025,0,0,0,0,0.0438609,0.0496169,0.173399,0,0,0,0.799691,0,0.175834,0.571742,0.122188,0.00184585,0.999921,0.225372,0.994357,0.0166725
5000,500,20.8333,0,0,0,0,0,0,0,0,0,3,100,0.0185771,0.572449,0.0286498,0.983533,0,0,0,0,0.0721373,1.2898,0.482233,0,0,0,0,0.0379739,0.0604583,0.160064,0,0,0,0.79975,0,0.0806845,0.568285,0.117296,0.00188817,0.999921,0.226279,0.995879,0.0149052
5200,520,21.6667,0,0,0,0,0,0,0,0,0,2,100,0.0184077,0.591409,0.0235781,0.988775,0,0,0,0,0.070184,1.2898,0.482342,0,0,0,0,0.0328414,0.0626761,0.154152,0,0,0,0.799808,0,9.28162e-07,0.56485,0.115233,0.00192864,0.999921,0.226688,0.997101,0.00930971
