step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0293782,0,0.332602,0.0364926,0,2,0,0,0.0913363,0,0.022017,0,0,0,0,0.118692,0.0648564,0.266144,0,0,0,3.24758e-05,0,1,0.983036,0.204761,6.02189e-06,0.958349,0.00952457,0.463113,0.0642189
400,40,1.66667,8,5,3,0,8,0,0,0,9,10,0,0.0428388,0,0.510246,0.123145,0,4,0,0,0.0928705,0,0.0975331,0,0,0,0,0.179328,0.255899,0.26951,0,0,0,3.19764e-05,0,1,0.890003,0.196804,4.10841e-05,0.966186,0.0436362,0.72969,0.158262
600,60,2.5,11,5,5,1,10,1,0,0,10,9,4.16667,0.047992,0.000244204,0.431628,0.219598,0,4,2,0,0.157389,0,0.19011,0,0,0,0,0.210224,0.348745,0.230309,0,0,0,3.19631e-05,0,0.999304,0.692598,0.161384,0.000124553,0.998441,0.0855631,0.840327,0.140503
800,80,3.33333,12,5,4,3,10,2,0,0,12,9,8.33333,0.0487437,0.000710959,0.369187,0.300292,0,6,6,0,0.201132,0,0.264995,0,0,0,0,0.222357,0.350034,0.230701,0,0,0,3.19503e-05,0,0.997453,0.650746,0.157355,0.00024257,0.998462,0.119584,0.867704,0.110357
1000,100,4.16667,14,5,4,5,9,5,0,0,7,10,20.8333,0.0471899,0.00190892,0.335308,0.369896,0,10,10,0,0.229614,0,0.318811,0,0,0,0,0.220874,0.282386,0.313651,0,0,0,3.19375e-05,0,0.992157,0.646734,0.160271,0.000373224,0.998524,0.144153,0.855453,0.0648288
1200,120,5,20,5,9,6,14,6,0,0,4,10,20.8333,0.044518,0.00358206,0.296399,0.434862,0,10,10,0,0.222683,0,0.355718,0,0,0,0,0.208275,0.230655,0.463248,0,0,0,3.19248e-05,0,0.984668,0.642693,0.16183,0.000501182,0.998524,0.161129,0.84026,0.0424702
1400,140,5.83333,24,5,9,10,14,10,0,0,2,8,20.8333,0.0414101,0.00504628,0.279694,0.492621,0,10,10,0,0.206928,0,0.380492,0,0,0,0,0.190707,0.174516,0.477439,0,0,0,3.1912e-05,0,0.976624,0.63864,0.162818,0.000618669,0.998524,0.172653,0.860375,0.0173261
1600,160,6.66667,30,5,13,12,18,12,0,0,2,7,25,0.0382513,0.00661366,0.280056,0.549258,0,10,10,3,0.179576,0,0.396933,0,0,0,0,0.169336,0.129382,0.467603,0,0,0,3.18993e-05,0,0.967585,0.634591,0.16315,0.000723002,0.998545,0.18043,0.882166,0.00699594
1800,180,7.5,38,5,14,19,21,17,0,0,0,8,33.3333,0.0352486,0.00873481,0.252931,0.602481,0,10,10,6,0.158838,0.00464938,0.407688,0,0,0,0,0.150023,0.0973874,0.449599,0,0,0,3.18866e-05,0,0.95654,0.630563,0.162637,0.000814228,0.998587,0.18565,0.90025,0.00491064
