step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,7,0,0.0293782,0,0.307843,0.0349358,0,4,0,0,0.0912881,0,0.022017,0,0,0,0,0.118692,0.0746876,0.2305,0,0,0,3.20346e-05,0,1,0.979723,0.190172,1.48704e-07,0.958349,0.00952457,0.463113,0.0347854
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0428221,0,0.443918,0.112694,0,8,4,0,0.0926562,0,0.0948521,0,0,0,0,0.17933,0.386445,0.340667,0,0,0,3.19758e-05,0,1,0.884772,0.169512,9.96913e-07,0.960359,0.0424353,0.730565,0.114233
600,60,2.5,9,5,3,1,8,1,0,0,11,10,4.16667,0.0479205,8.33021e-05,0.413217,0.198222,0,8,8,0,0.159103,0,0.185441,0,0,0,0,0.208129,0.487757,0.442731,0,0,0,3.1963e-05,0,0.999779,0.740689,0.161545,2.98168e-06,0.998441,0.0834539,0.842942,0.0852403
800,80,3.33333,11,5,5,1,10,1,0,0,11,10,4.16667,0.0486429,0.000372418,0.379116,0.277498,0,12,12,0,0.178456,0,0.262214,0,0,0,0,0.2159,0.504927,0.469253,0,0,0,3.19503e-05,0,0.998797,0.650738,0.157242,5.83723e-06,0.998441,0.11832,0.871395,0.0596212
1000,100,4.16667,11,5,5,1,10,1,0,0,6,7,4.16667,0.0471088,0.000625433,0.346963,0.35172,0,17,17,0,0.175244,0,0.319038,0,0,0,0,0.210737,0.513421,0.48004,0,0,0,3.19375e-05,0,0.997513,0.646717,0.160204,9.08769e-06,0.998441,0.144243,0.858568,0.0376931
1200,120,5,12,5,6,1,11,1,0,0,5,7,4.16667,0.0444804,0.000846855,0.316001,0.41751,0,17,17,0,0.17292,0,0.357317,0,0,0,0,0.198517,0.457489,0.487391,0,0,0,3.19248e-05,0,0.996022,0.642645,0.162146,1.23415e-05,0.998441,0.161838,0.840686,0.0160682
1400,140,5.83333,13,5,6,2,11,2,0,0,2,10,8.33333,0.0414058,0.00128483,0.254369,0.474656,0,17,17,4,0.203079,0.0217927,0.382164,0,0,0,0,0.186058,0.460213,0.483381,0,0,0,9.48252e-05,0,0.993135,0.638516,0.163317,1.53489e-05,0.998462,0.173397,0.860551,0.0231785
1600,160,6.66667,14,5,6,3,11,3,0,0,1,8,8.33333,0.0382653,0.00172344,0.229402,0.522478,0,17,17,5,0.227245,0.0669867,0.39844,0,0,0,0,0.171497,0.462847,0.449372,0,0,0,0.000411914,0,0.989802,0.634332,0.163933,1.80191e-05,0.998462,0.181102,0.882273,0.0177812
1800,180,7.5,15,5,6,4,11,4,0,0,1,8,12.5,0.0352731,0.00233706,0.208102,0.566262,0,17,17,9,0.232341,0.154781,0.40919,0,0,0,0,0.152489,0.463086,0.414998,0,0,0,0.0011617,0,0.985064,0.6301,0.164126,2.03538e-05,0.998483,0.186321,0.900296,0.0116325
