step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.310192,0.0351686,0,4,0,0,0.0912503,0,0.0267349,0,0,0,0,0.2967,0.0911077,0.216772,0,0,0,3.22593e-05,0,1,0.974793,0.184188,1.82065e-07,0.958349,0.011565,0.462364,0.0423955
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0434903,0,0.446869,0.113382,0,8,4,0,0.092338,0,0.186573,0,0,0,0,0.448027,0.43641,0.340645,0,0,0,3.19758e-05,0,1,0.864785,0.167504,1.5562e-06,0.99842,0.0837225,0.703515,0.126344
600,60,2.5,9,5,4,0,9,0,0,0,9,9,0,0.049925,0,0.421879,0.201315,0,8,8,0,0.163892,0,0.371568,0,0,0,0,0.516755,0.508395,0.442725,0,0,0,3.1963e-05,0,1,0.696134,0.157087,5.62013e-06,0.99842,0.167489,0.751464,0.0942988
800,80,3.33333,10,5,5,0,10,0,0,0,10,7,0,0.0522069,0,0.413247,0.285661,0,12,12,0,0.171267,0,0.497123,0,0,0,0,0.534265,0.554834,0.464762,0,0,0,3.19503e-05,0,1,0.650722,0.157234,1.19838e-05,0.99842,0.224584,0.740693,0.0753857
1000,100,4.16667,11,5,6,0,11,0,0,0,5,8,0,0.0518771,0,0.355043,0.365418,0,17,17,0,0.165111,0,0.553749,0,0,0,0,0.519958,0.544837,0.480809,0,0,0,3.19375e-05,0,1,0.64668,0.160173,1.91043e-05,0.99842,0.250653,0.788323,0.048499
1200,120,5,11,5,5,1,10,1,0,0,4,9,4.16667,0.0498837,0.000281239,0.300119,0.430224,0,17,17,0,0.176738,0,0.576739,0,0,0,0,0.496508,0.51437,0.486835,0,0,0,3.19248e-05,0,0.997682,0.642577,0.16208,2.55514e-05,0.998441,0.261548,0.821218,0.027557
1400,140,5.83333,11,5,4,2,9,2,0,0,4,9,12.5,0.0470881,0.000753665,0.260357,0.48636,0,17,17,4,0.19576,0.0381152,0.586761,0,0,0,0,0.461896,0.500989,0.476347,0,0,0,0.00020748,0,0.993531,0.63841,0.163214,3.1003e-05,0.998483,0.266595,0.84587,0.0255262
1600,160,6.66667,13,5,5,3,10,3,0,0,2,9,12.5,0.0440415,0.00155811,0.218962,0.534946,0,17,17,6,0.2109,0.127152,0.59198,0,0,0,0,0.424218,0.493769,0.437558,0,0,0,0.000933828,0,0.986096,0.634187,0.163803,3.55399e-05,0.998483,0.269472,0.865694,0.0188407
1800,180,7.5,13,5,4,4,9,4,0,0,1,7,12.5,0.0410607,0.00226211,0.196432,0.576521,0,17,17,10,0.244116,0.265202,0.594381,0,0,0,0,0.388473,0.465723,0.405246,0,0,0,0.00254927,0,0.978662,0.629915,0.163981,3.93619e-05,0.998483,0.271074,0.882419,0.00947252
