step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,7,0,0.0294937,0,0.331079,0.0364384,0,4,0,0,0.0912845,0,0.0267349,0,0,0,0,0.2967,0.0922195,0.220089,0,0,0,0.000140845,0,1,0.976217,0.185657,7.37298e-06,0.958349,0.011565,0.462364,0.0433761
400,40,1.66667,10,5,4,1,9,1,0,0,9,10,4.16667,0.0434373,2.70409e-05,0.512376,0.123561,0,8,4,0,0.0917947,0,0.178249,0,0,0,0,0.448049,0.480036,0.340549,0,0,0,3.19763e-05,0,0.999929,0.799709,0.160958,6.02964e-05,0.998441,0.0799858,0.705477,0.143232
600,60,2.5,11,5,4,2,10,1,0,0,9,10,4.16667,0.0496931,0.000323182,0.434452,0.215022,0,8,8,0,0.20536,0,0.353687,0,0,0,0,0.53803,0.635685,0.442546,0,0,0,3.1963e-05,0,0.998802,0.654672,0.15287,0.00021143,0.998441,0.159411,0.75938,0.116211
800,80,3.33333,14,5,5,4,10,4,0,0,9,9,12.5,0.0517153,0.0010201,0.383677,0.296547,0,12,12,0,0.249745,0,0.471343,0,0,0,0,0.570905,0.628939,0.462402,0,0,0,3.19503e-05,0,0.994204,0.650243,0.156652,0.000441495,0.998483,0.212895,0.741317,0.0714387
1000,100,4.16667,18,5,7,6,12,6,0,0,5,8,20.8333,0.0512381,0.00249134,0.377897,0.372345,0,17,17,0,0.238757,0,0.538287,0,0,0,0,0.556021,0.57231,0.472292,0,0,0,3.19375e-05,0,0.985209,0.645292,0.158116,0.000702366,0.998524,0.243573,0.78945,0.0396864
1200,120,5,27,5,13,9,19,8,0,0,2,7,20.8333,0.0493268,0.00409176,0.336515,0.443955,0,17,17,0,0.222693,0,0.570854,0,0,0,0,0.51842,0.497133,0.474087,0,0,0,3.19248e-05,0,0.97329,0.640014,0.158715,0.000955175,0.998524,0.258778,0.822692,0.017243
1400,140,5.83333,34,5,17,12,22,12,0,0,1,5,29.1667,0.0466896,0.00574364,0.319379,0.509503,0,17,17,4,0.217947,0.0381444,0.585629,0,0,0,0,0.472586,0.424622,0.454997,0,0,0,0.00023106,0,0.960123,0.634551,0.158174,0.00118022,0.998566,0.265969,0.847409,0.00629171
1600,160,6.66667,43,5,15,23,24,19,0,0,0,5,33.3333,0.0437638,0.00878309,0.292707,0.571006,0,17,17,7,0.216423,0.135961,0.591053,0,0,0,0,0.422479,0.364102,0.411826,0,0,0,0.00142444,0,0.941363,0.629015,0.156174,0.00136968,0.998587,0.268939,0.867101,0.0022997
1800,180,7.5,51,5,11,35,28,23,0,0,0,4,33.3333,0.0408622,0.0117382,0.260602,0.626875,0,17,17,11,0.204638,0.243758,0.593893,0,0,0,0,0.373591,0.315746,0.375692,0,0,0,0.0043818,0,0.921539,0.623493,0.154122,0.00152896,0.998587,0.270741,0.883622,0.000839422
2000,200,8.33333,54,5,11,38,28,26,0,0,0,6,37.5,0.0381571,0.0152785,0.234941,0.676159,0,17,17,15,0.187378,0.363894,0.594312,0,0,0,0,0.329553,0.284993,0.345632,0,0,0,0.0924444,0,0.901087,0.618045,0.152159,0.00166539,0.998608,0.271446,0.897903,0.00275108
2200,220,9.16667,59,5,13,41,28,31,0,0,0,7,41.6667,0.0357188,0.0231977,0.227599,0.722731,0,17,17,15,0.170571,0.489015,0.593591,0,0,0,0,0.282467,0.306066,0.318798,0,0,0,0.370881,0,0.877327,0.612714,0.149575,0.00178421,0.998629,0.271631,0.910416,0.0178806
2400,240,10,66,5,16,45,31,35,0,0,0,8,41.6667,0.0335605,0.031479,0.211963,0.766917,0,17,17,16,0.154198,0.612205,0.591944,0,0,0,0,0.241065,0.293251,0.296365,0,0,0,0.797579,0,0.852684,0.607523,0.147192,0.00188859,0.998629,0.271404,0.921428,0.0105097
2600,260,10.8333,69,5,15,49,30,37,2,0,0,9,41.6667,0.0316652,0.0402447,0.195122,0.807742,0,17,17,16,0.139451,0.740735,0.589172,0,0,0,0,0.205105,0.271928,0.278186,0,0,0,0.797548,0,0.826775,0.602479,0.145236,0.00198006,0.998671,0.270767,0.931121,0.00543606
2800,280,11.6667,74,5,15,54,31,39,4,0,0,7,45.8333,0.0300075,0.0562477,0.179998,0.845392,0,17,17,16,0.126771,0.883439,0.585468,0,0,0,0,0.173884,0.278903,0.261853,0,0,0,0.797457,0,0.793605,0.597588,0.142979,0.0020599,0.998712,0.26995,0.939642,0.0109176
