step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,7,0,0.0294937,0,0.331061,0.0363838,0,4,0,0,0.0912894,0,0.0267349,0,0,0,0,0.2967,0.0963276,0.222,0,0,0,7.65942e-05,0,1,0.976901,0.18649,7.37298e-06,0.958349,0.011565,0.462364,0.0466805
400,40,1.66667,10,5,4,1,9,1,0,0,9,10,8.33333,0.0434463,0.000101294,0.511079,0.123591,0,8,4,0,0.0916535,0,0.179383,0,0,0,0,0.448045,0.510452,0.340499,0,0,0,3.19761e-05,0,0.999733,0.78594,0.159561,6.07345e-05,0.998462,0.0804995,0.705164,0.153291
600,60,2.5,12,5,6,1,11,1,0,0,9,10,12.5,0.0496939,0.000882473,0.39251,0.209993,0,8,7,0,0.195865,0,0.352053,0,0,0,0,0.538443,0.573378,0.442654,0,0,0,3.19631e-05,0,0.996554,0.654696,0.152884,0.000211586,0.998483,0.158674,0.759318,0.0974753
800,80,3.33333,15,5,7,3,12,3,0,0,10,10,16.6667,0.0516792,0.00188756,0.367823,0.287166,0,12,12,0,0.233302,0,0.468284,0,0,0,0,0.569943,0.546289,0.46418,0,0,0,3.19503e-05,0,0.989799,0.650636,0.157106,0.000438823,0.998503,0.211509,0.741329,0.0583093
1000,100,4.16667,20,5,10,5,15,5,0,0,7,8,20.8333,0.0511719,0.0032999,0.347624,0.360495,0,17,17,0,0.245952,0,0.535355,0,0,0,0,0.56395,0.482481,0.47318,0,0,0,3.19375e-05,0,0.979752,0.646482,0.159561,0.000696173,0.998524,0.242241,0.789523,0.0290434
1200,120,5,25,5,12,8,17,8,0,0,4,10,20.8333,0.0492629,0.00479935,0.316213,0.427412,0,17,17,0,0.241913,0,0.569159,0,0,0,0,0.54097,0.419712,0.475561,0,0,0,3.19248e-05,0,0.967932,0.642233,0.160879,0.00094782,0.998524,0.258003,0.82282,0.0168329
1400,140,5.83333,33,5,11,17,21,12,0,0,4,8,29.1667,0.0466201,0.00713341,0.291905,0.488245,0,17,17,4,0.22548,0.01146,0.584385,0,0,0,0,0.500594,0.352552,0.462636,0,0,0,3.1912e-05,0,0.952216,0.637904,0.160724,0.0011711,0.998566,0.265394,0.847575,0.00668777
1600,160,6.66667,39,5,14,20,24,15,0,0,2,8,29.1667,0.0437106,0.00958105,0.258957,0.544108,0,17,17,7,0.214992,0.0622048,0.590879,0,0,0,0,0.446863,0.299242,0.427558,0,0,0,0.00047984,0,0.934897,0.63352,0.160012,0.00136128,0.998566,0.268847,0.867284,0.00314588
1800,180,7.5,44,5,13,26,24,20,0,0,0,8,29.1667,0.0408255,0.0117231,0.24883,0.595109,0,17,17,12,0.211665,0.130714,0.593722,0,0,0,0,0.392657,0.289999,0.392969,0,0,0,0.00128083,0,0.917551,0.629109,0.159215,0.00152186,0.998566,0.270649,0.883796,0.0136823
