step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.331082,0.0362928,0,4,0,0,0.091275,0,0.0267349,0,0,0,0,0.2967,0.118532,0.212742,0,0,0,0.000146025,0,1,0.973679,0.182465,7.37298e-06,0.958349,0.011565,0.462364,0.0574922
400,40,1.66667,10,5,4,1,9,1,0,0,9,10,8.33333,0.0434298,1.11844e-05,0.502815,0.122307,0,8,4,0,0.0914316,0,0.176855,0,0,0,0,0.448052,0.503459,0.340497,0,0,0,3.19762e-05,0,0.999971,0.778115,0.158778,5.99181e-05,0.998462,0.0793628,0.705763,0.144539
600,60,2.5,10,5,4,1,9,1,0,0,9,10,8.33333,0.0496556,0.000608822,0.411002,0.215009,0,8,8,0,0.188567,0,0.352437,0,0,0,0,0.528577,0.703922,0.442573,0,0,0,3.19631e-05,0,0.997713,0.654688,0.152882,0.00020892,0.998462,0.158842,0.760669,0.120874
800,80,3.33333,13,5,5,3,11,2,0,0,10,8,8.33333,0.0517257,0.00113184,0.375616,0.29138,0,12,12,0,0.237815,0,0.476074,0,0,0,0,0.559329,0.740761,0.469097,0,0,0,3.19503e-05,0,0.994161,0.6504,0.156842,0.000441509,0.998462,0.215028,0.741366,0.0885642
1000,100,4.16667,17,5,7,5,12,5,0,0,8,8,16.6667,0.051326,0.00175882,0.364037,0.365537,0,17,17,0,0.234946,0,0.544347,0,0,0,0,0.544537,0.667469,0.475311,0,0,0,3.19375e-05,0,0.988494,0.645666,0.159046,0.000709391,0.998503,0.246317,0.789417,0.0469605
1200,120,5,22,5,9,8,14,8,0,0,4,10,20.8333,0.0494621,0.00330524,0.337272,0.437127,0,17,17,0,0.216885,0,0.574906,0,0,0,0,0.507953,0.567212,0.476389,0,0,0,3.19248e-05,0,0.976862,0.640631,0.159653,0.000968938,0.998524,0.260625,0.822526,0.0204614
1400,140,5.83333,28,5,11,12,17,11,0,0,4,8,20.8333,0.0467969,0.00480403,0.291264,0.499432,0,17,17,4,0.232701,0.0296194,0.586226,0,0,0,0,0.473127,0.478707,0.461488,0,0,0,0.000148731,0,0.964476,0.635418,0.159549,0.00119382,0.998524,0.266258,0.847149,0.00866891
1600,160,6.66667,35,5,17,13,22,13,0,0,3,5,29.1667,0.0438366,0.0071667,0.268558,0.555296,0,17,17,7,0.233518,0.106487,0.591576,0,0,0,0,0.427493,0.40792,0.420054,0,0,0,0.00103126,0,0.948491,0.630128,0.158232,0.00138118,0.998566,0.269194,0.866824,0.00367339
1800,180,7.5,42,5,17,20,24,18,0,0,1,7,33.3333,0.0409129,0.00986713,0.245814,0.606553,0,17,17,11,0.221326,0.208183,0.594285,0,0,0,0,0.37404,0.351445,0.383889,0,0,0,0.00229923,0,0.93029,0.624842,0.156435,0.00153871,0.998587,0.270936,0.883368,0.00177824
