step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,7,0,0.0294937,0,0.325938,0.0360096,0,4,0,0,0.0913105,0,0.0267349,0,0,0,0,0.2967,0.0834804,0.230925,0,0,0,9.37478e-05,0,1,0.980073,0.190377,7.37298e-06,0.958349,0.011565,0.462364,0.0412715
400,40,1.66667,10,5,4,1,9,1,0,0,9,10,4.16667,0.0434313,5.3777e-05,0.505305,0.121604,0,8,4,0,0.0920458,0,0.176904,0,0,0,0,0.448051,0.495958,0.34056,0,0,0,3.19763e-05,0,0.999858,0.809697,0.161961,5.9986e-05,0.998441,0.0793886,0.705704,0.154588
600,60,2.5,11,5,5,1,10,1,0,0,9,10,8.33333,0.0496107,0.000394093,0.440369,0.213795,0,8,5,0,0.156576,0,0.345054,0,0,0,0,0.530592,0.692001,0.444328,0,0,0,3.19631e-05,0,0.998542,0.654691,0.152887,0.000206121,0.998462,0.155506,0.762144,0.123166
800,80,3.33333,15,5,6,4,11,4,0,0,10,9,16.6667,0.0515135,0.00117991,0.404151,0.299971,0,12,11,0,0.192806,0,0.460543,0,0,0,0,0.557345,0.754853,0.464347,0,0,0,3.19503e-05,0,0.993624,0.650381,0.156803,0.000424915,0.998503,0.207992,0.741548,0.083699
1000,100,4.16667,19,5,8,6,14,5,0,0,5,10,20.8333,0.0509606,0.00253831,0.375829,0.379126,0,17,17,0,0.220524,0,0.528832,0,0,0,0,0.550142,0.693951,0.472873,0,0,0,3.19375e-05,0,0.984216,0.645648,0.158765,0.000674276,0.998524,0.239263,0.789901,0.0471182
1200,120,5,25,5,12,8,17,8,0,0,2,10,20.8333,0.0490553,0.00413286,0.327619,0.450893,0,17,17,0,0.218055,0,0.566367,0,0,0,0,0.518906,0.576037,0.468209,0,0,0,3.19248e-05,0,0.972534,0.640627,0.159349,0.000921795,0.998524,0.256701,0.823329,0.0185879
1400,140,5.83333,33,5,17,11,22,11,0,0,1,9,25,0.046479,0.00573774,0.290315,0.512213,0,17,17,4,0.217262,0.0245181,0.584026,0,0,0,0,0.478827,0.490671,0.45152,0,0,0,0.000113636,0,0.959583,0.635436,0.159161,0.00114844,0.998545,0.265192,0.848118,0.0126897
1600,160,6.66667,38,5,11,22,21,17,0,0,1,10,25,0.0436145,0.00764622,0.26637,0.568015,0,17,17,7,0.208676,0.0761861,0.590462,0,0,0,0,0.43431,0.412619,0.413151,0,0,0,0.000625756,0,0.944723,0.630173,0.158275,0.00134196,0.998545,0.268619,0.867779,0.00575556
1800,180,7.5,43,5,13,25,23,20,0,0,0,10,29.1667,0.0407568,0.00958789,0.249314,0.619685,0,17,17,11,0.196568,0.156356,0.593471,0,0,0,0,0.38469,0.356167,0.379805,0,0,0,0.0016356,0,0.92895,0.624909,0.1571,0.00150514,0.998566,0.270497,0.884217,0.0037308
2000,200,8.33333,48,5,12,31,23,25,0,0,0,9,33.3333,0.0380814,0.014617,0.225335,0.667306,0,17,17,16,0.183059,0.246804,0.59441,0,0,0,0,0.338367,0.313569,0.350185,0,0,0,0.00277647,0,0.909622,0.619698,0.155121,0.00164485,0.998587,0.271438,0.8984,0.00180853
2200,220,9.16667,54,5,16,33,26,28,0,0,0,9,41.6667,0.0356654,0.0219658,0.199052,0.709954,0,17,17,16,0.169988,0.338753,0.593854,0,0,0,0,0.297121,0.28022,0.324081,0,0,0,0.0404667,0,0.887517,0.614579,0.152674,0.00176661,0.998629,0.271699,0.910819,0.00130436
2400,240,10,61,5,19,37,29,32,0,0,0,6,45.8333,0.0335276,0.0319195,0.174971,0.747489,0,17,17,16,0.156137,0.437152,0.592763,0,0,0,0,0.260564,0.269675,0.30039,0,0,0,0.232294,0,0.861816,0.609578,0.149661,0.00187411,0.99865,0.271713,0.921744,0.00635654
2600,260,10.8333,67,5,19,43,31,34,2,0,0,9,45.8333,0.031658,0.0437081,0.155103,0.780424,0,17,17,16,0.143619,0.545449,0.591014,0,0,0,0,0.227386,0.27958,0.28015,0,0,0,0.590212,0,0.833673,0.604707,0.14678,0.00196978,0.998691,0.271442,0.931352,0.0101325
2800,280,11.6667,73,5,19,49,30,40,3,0,0,9,45.8333,0.0300341,0.0569815,0.134086,0.80876,0,17,17,16,0.152524,0.657046,0.588576,0,0,0,0,0.198426,0.260845,0.263724,0,0,0,0.797625,0,0.801888,0.59997,0.144404,0.00205544,0.998691,0.270914,0.939781,0.00446432
3000,300,12.5,80,5,19,56,33,41,6,0,0,7,50,0.0286276,0.0752177,0.124741,0.834593,0,17,17,16,0.143327,0.772919,0.585538,0,0,0,0,0.16975,0.246692,0.249798,0,0,0,0.797584,0,0.766767,0.595362,0.142194,0.00213222,0.998754,0.270171,0.947154,0.00299971
3200,320,13.3333,90,5,22,63,40,41,9,0,0,8,50,0.027409,0.0973491,0.116368,0.858779,0,17,17,16,0.128305,0.890892,0.581915,0,0,0,0,0.143028,0.234662,0.237855,0,0,0,0.797549,0,0.728357,0.590877,0.140098,0.00220093,0.998754,0.269276,0.953586,0.00169495
3400,340,14.1667,97,5,22,70,41,44,12,0,0,8,58.3333,0.0263486,0.126044,0.10556,0.881132,0,16,16,15,0.11592,1.00129,0.577691,0,0,0,0,0.120879,0.223464,0.226725,0,0,0,0.797559,0,0.685808,0.586508,0.137771,0.00226175,0.998837,0.268264,0.95919,0.00105896
3600,360,15,103,5,17,81,42,47,14,0,0,6,58.3333,0.0254214,0.156523,0.0947241,0.901174,0,16,16,15,0.106139,1.10141,0.573156,0,0,0,0,0.102453,0.212608,0.215976,0,0,0,0.797615,0,0.638786,0.582248,0.135143,0.0023151,0.998837,0.267192,0.964075,0.00113336
3800,380,15.8333,109,5,22,82,44,47,18,0,0,5,66.6667,0.0246074,0.189052,0.0857703,0.91928,0,14,14,13,0.0976958,1.19576,0.568348,0,0,0,0,0.0867874,0.204652,0.206356,0,0,0,0.797696,0,0.58946,0.57809,0.132596,0.00236163,0.998921,0.266077,0.968337,0.00327441
4000,400,16.6667,117,5,16,96,44,51,19,3,0,5,70.8333,0.0238876,0.249268,0.0753469,0.935389,0,12,12,11,0.0904572,1.28186,0.56325,0,0,0,0,0.0735772,0.191887,0.195501,0,0,0,0.797791,0,0.528808,0.574027,0.129254,0.00240166,0.998983,0.264924,0.972064,0.00170504
4200,420,17.5,122,5,19,98,47,51,20,4,0,6,70.8333,0.0232464,0.29652,0.0686154,0.949795,0,10,10,10,0.0843222,1.35596,0.557964,0,0,0,0,0.0624996,0.179099,0.186574,0,0,0,0.797907,0,0.467924,0.57005,0.126436,0.00243553,0.998983,0.263749,0.975336,0.00128717
4400,440,18.3333,125,5,14,106,48,50,21,6,0,9,75,0.0226716,0.340024,0.0642821,0.96317,0,6,6,6,0.0791765,1.41274,0.552595,0,0,0,0,0.0532472,0.176135,0.178745,0,0,0,0.798078,0,0.405374,0.566153,0.123857,0.00246377,0.999046,0.262569,0.978221,0.00593539
