step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,7,0,0.0294937,0,0.31041,0.0352755,0,4,0,0,0.0912249,0,0.0267349,0,0,0,0,0.2967,0.101937,0.206506,0,0,0,3.20217e-05,0,1,0.971134,0.179716,1.82065e-07,0.958349,0.011565,0.462364,0.0443288
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0434601,0,0.448373,0.113826,0,8,4,0,0.0919822,0,0.18222,0,0,0,0,0.44804,0.430548,0.34062,0,0,0,3.19758e-05,0,1,0.837876,0.164803,1.51892e-06,0.99842,0.081767,0.704666,0.124779
600,60,2.5,11,5,5,1,10,1,0,0,12,6,4.16667,0.0498114,4.59449e-05,0.392001,0.19541,0,8,8,0,0.185744,0,0.363642,0,0,0,0,0.527509,0.42915,0.442659,0,0,0,3.1963e-05,0,0.999775,0.654895,0.152937,5.42745e-06,0.998441,0.163906,0.755361,0.0660302
800,80,3.33333,12,5,6,1,11,1,0,0,13,5,8.33333,0.051984,0.000339725,0.354353,0.271314,0,12,12,0,0.194895,0,0.485862,0,0,0,0,0.549102,0.449288,0.464108,0,0,0,3.19503e-05,0,0.997892,0.650702,0.1572,1.14984e-05,0.998441,0.219476,0.740985,0.0492806
1000,100,4.16667,12,5,6,1,11,1,0,0,7,7,8.33333,0.0516321,0.000896339,0.296822,0.338214,0,17,17,0,0.207783,0,0.553709,0,0,0,0,0.538407,0.432376,0.478996,0,0,0,3.19375e-05,0,0.993303,0.646651,0.16013,1.84279e-05,0.998462,0.250591,0.788822,0.0351476
1200,120,5,12,5,4,3,9,3,0,0,5,8,12.5,0.049738,0.00144971,0.271815,0.395666,0,17,17,0,0.203521,0,0.57643,0,0,0,0,0.507159,0.388363,0.484221,0,0,0,3.19248e-05,0,0.987838,0.642547,0.162041,2.4994e-05,0.998483,0.261372,0.82177,0.0172521
1400,140,5.83333,13,5,5,3,10,3,0,0,4,8,12.5,0.046987,0.00216724,0.257315,0.449321,0,17,17,4,0.205852,0.0381327,0.586508,0,0,0,0,0.462692,0.345338,0.473555,0,0,0,0.000207601,0,0.980403,0.638394,0.163211,3.05147e-05,0.998483,0.266443,0.846377,0.00716012
1600,160,6.66667,17,5,8,4,13,4,0,0,2,7,12.5,0.0439695,0.00279518,0.217165,0.49775,0,17,17,7,0.216954,0.145476,0.591792,0,0,0,0,0.41978,0.309834,0.435352,0,0,0,0.00121853,0,0.972968,0.634201,0.163835,3.51143e-05,0.998483,0.269349,0.866128,0.00266229
1800,180,7.5,21,5,9,7,14,7,0,0,1,7,16.6667,0.0410081,0.00341252,0.194405,0.538553,0,17,17,11,0.218082,0.287566,0.594449,0,0,0,0,0.377307,0.284453,0.403566,0,0,0,0.00291926,0,0.965001,0.629984,0.164064,3.89898e-05,0.998504,0.271067,0.882777,0.0014534
