step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0294937,0,0.328001,0.0361052,0,4,0,0,0.0912992,0,0.0267349,0,0,0,0,0.2967,0.114282,0.223114,0,0,0,3.20908e-05,0,1,0.977364,0.186982,7.37298e-06,0.958349,0.011565,0.462364,0.0564145
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,8.33333,0.0434338,0.000126273,0.504433,0.122444,0,8,4,0,0.091428,0,0.177066,0,0,0,0,0.448049,0.567843,0.340479,0,0,0,3.19762e-05,0,0.999667,0.760982,0.157057,6.01134e-05,0.998462,0.079462,0.705606,0.165405
600,60,2.5,11,5,5,1,10,1,0,0,8,9,8.33333,0.0496288,0.00070954,0.351171,0.200144,0,8,5,0,0.219123,0,0.348254,0,0,0,0,0.543975,0.622473,0.442271,0,0,0,3.1963e-05,0,0.997357,0.654581,0.152751,0.00020728,0.998462,0.156951,0.761533,0.0893453
800,80,3.33333,14,5,5,4,10,4,0,0,11,8,16.6667,0.0516167,0.00158129,0.375773,0.273297,0,12,12,0,0.220671,0,0.468387,0,0,0,0,0.563213,0.629201,0.459897,0,0,0,3.19503e-05,0,0.991541,0.649869,0.156231,0.000432909,0.998503,0.211545,0.74146,0.0646894
1000,100,4.16667,19,5,9,5,14,5,0,0,8,4,20.8333,0.0511468,0.00316701,0.311278,0.341492,0,17,17,0,0.216355,0,0.537163,0,0,0,0,0.556219,0.565258,0.468675,0,0,0,3.19375e-05,0,0.980958,0.644452,0.157295,0.000691947,0.998524,0.243046,0.789661,0.0367227
1200,120,5,26,5,12,9,17,9,0,0,4,6,20.8333,0.0492846,0.00468305,0.29409,0.401798,0,17,17,0,0.202993,0,0.572722,0,0,0,0,0.527172,0.485593,0.468584,0,0,0,3.19248e-05,0,0.968946,0.638618,0.157249,0.000947725,0.998524,0.259607,0.822913,0.0179635
1400,140,5.83333,32,5,10,17,19,13,0,0,2,10,25,0.0466648,0.00670652,0.27756,0.459105,0,17,17,4,0.194159,0.0326856,0.585528,0,0,0,0,0.482748,0.429729,0.44653,0,0,0,0.000170006,0,0.954171,0.632594,0.156113,0.00117418,0.998545,0.26591,0.847589,0.0178261
1600,160,6.66667,38,5,10,23,20,18,0,0,1,9,25,0.0437455,0.00849403,0.255513,0.512548,0,17,17,5,0.186262,0.0944716,0.590983,0,0,0,0,0.436597,0.376313,0.406267,0,0,0,0.000880995,0,0.939301,0.626539,0.154911,0.00136435,0.998545,0.268895,0.867244,0.0114024
1800,180,7.5,40,5,7,28,20,20,0,0,1,9,37.5,0.0408485,0.0122955,0.229243,0.561485,0,17,17,10,0.175225,0.169464,0.59387,0,0,0,0,0.385623,0.328436,0.369788,0,0,0,0.00182414,0,0.919538,0.620557,0.152456,0.00152425,0.998608,0.270717,0.883735,0.00454803
2000,200,8.33333,43,5,8,30,22,21,0,0,0,8,41.6667,0.0381472,0.0210569,0.20673,0.605059,0,17,17,15,0.165731,0.256533,0.594421,0,0,0,0,0.338013,0.300914,0.337173,0,0,0,0.00307726,0,0.895405,0.614726,0.149253,0.00166129,0.998629,0.271482,0.897991,0.00410267
2200,220,9.16667,48,5,7,36,24,24,0,0,0,8,41.6667,0.0357144,0.0296055,0.198785,0.645832,0,17,17,15,0.157264,0.359429,0.593935,0,0,0,0,0.289325,0.319009,0.31035,0,0,0,0.0663064,0,0.870655,0.609084,0.146496,0.00178099,0.998629,0.271774,0.910483,0.0181109
2400,240,10,54,5,11,38,27,26,1,0,0,9,41.6667,0.0335653,0.0374524,0.184548,0.684325,0,17,17,15,0.147792,0.468699,0.592735,0,0,0,0,0.247657,0.343777,0.288703,0,0,0,0.295213,0,0.845615,0.603642,0.144281,0.00188685,0.99865,0.271739,0.921472,0.0193921
