step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.325535,0.0359831,0,4,0,0,0.0913125,0,0.0267349,0,0,0,0,0.2967,0.0801388,0.233703,0,0,0,6.66903e-05,0,1,0.981018,0.191583,7.37298e-06,0.958349,0.011565,0.462364,0.040416
400,40,1.66667,8,5,2,1,7,1,0,0,9,10,12.5,0.0434342,7.79479e-05,0.499729,0.121416,0,8,4,0,0.0921209,0,0.177557,0,0,0,0,0.44805,0.47386,0.340495,0,0,0,3.19765e-05,0,0.999796,0.821088,0.163074,6.0136e-05,0.998482,0.0796789,0.705612,0.1448
600,60,2.5,11,5,5,1,10,1,0,0,10,10,12.5,0.0496708,0.000966766,0.421547,0.211122,0,8,6,0,0.180577,0,0.352935,0,0,0,0,0.528096,0.637289,0.442599,0,0,0,3.19631e-05,0,0.996355,0.654705,0.152894,0.000209948,0.998483,0.159069,0.760144,0.115762
800,80,3.33333,13,5,5,3,10,3,0,0,10,10,12.5,0.0517047,0.0017446,0.382587,0.290446,0,12,12,0,0.231193,0,0.472165,0,0,0,0,0.563369,0.663908,0.464744,0,0,0,3.19503e-05,0,0.990946,0.650658,0.157137,0.000440247,0.998483,0.213262,0.741353,0.0830767
1000,100,4.16667,18,5,9,4,13,5,0,0,6,10,16.6667,0.051244,0.00280104,0.337971,0.363008,0,17,17,0,0.240298,0,0.539295,0,0,0,0,0.55933,0.59205,0.47123,0,0,0,3.19375e-05,0,0.983164,0.646506,0.159888,0.000702333,0.998503,0.244027,0.789475,0.0428128
1200,120,5,26,5,14,7,19,7,0,0,6,10,16.6667,0.0493463,0.00406327,0.311458,0.428171,0,17,17,0,0.224867,0,0.570727,0,0,0,0,0.530646,0.498446,0.472777,0,0,0,3.19248e-05,0,0.973555,0.642218,0.160903,0.000956746,0.998504,0.258723,0.822689,0.017983
1400,140,5.83333,32,5,13,14,20,12,0,0,4,9,25,0.0466883,0.00564131,0.279037,0.486291,0,17,17,4,0.215022,0.0326936,0.585472,0,0,0,0,0.489139,0.418513,0.450939,0,0,0,0.000175852,0,0.960819,0.637812,0.161314,0.00118006,0.998545,0.265898,0.847398,0.00770929
1600,160,6.66667,41,5,11,25,24,17,0,0,2,9,25,0.0437629,0.00756183,0.267993,0.541087,0,17,17,6,0.211546,0.0948622,0.591192,0,0,0,0,0.439947,0.363326,0.413524,0,0,0,0.000897787,0,0.94595,0.633322,0.160917,0.00136953,0.998545,0.269002,0.867095,0.00712093
1800,180,7.5,45,5,12,28,25,20,0,0,0,10,33.3333,0.0408618,0.0102914,0.243972,0.592747,0,17,17,10,0.213971,0.184032,0.593981,0,0,0,0,0.393748,0.327543,0.380265,0,0,0,0.00201755,0,0.927501,0.628785,0.159455,0.00152884,0.998587,0.27078,0.883619,0.00672686
