step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0293782,0,0.332759,0.0365151,0,4,0,0,0.0912736,0,0.022017,0,0,0,0,0.118692,0.111486,0.212221,0,0,0,5.629e-05,0,1,0.973492,0.182238,6.02189e-06,0.958349,0.00952457,0.463113,0.0540614
400,40,1.66667,10,5,4,1,9,1,0,0,9,10,4.16667,0.0428145,3.17811e-05,0.513483,0.123967,0,8,4,0,0.0914768,0,0.0933493,0,0,0,0,0.179331,0.467023,0.340538,0,0,0,3.19761e-05,0,0.999917,0.784621,0.159445,3.9927e-05,0.958467,0.0417634,0.730884,0.136086
600,60,2.5,10,5,4,1,9,1,0,0,11,9,8.33333,0.047863,0.000488058,0.423238,0.229398,0,8,8,0,0.151578,0,0.180202,0,0,0,0,0.209694,0.696721,0.442561,0,0,0,3.1963e-05,0,0.99865,0.654685,0.152877,0.000117005,0.998462,0.0810879,0.845114,0.113946
800,80,3.33333,12,5,5,2,10,2,0,0,13,7,12.5,0.0485038,0.00112024,0.336134,0.301905,0,12,12,0,0.236725,0,0.254007,0,0,0,0,0.226816,0.655861,0.466113,0,0,0,3.19503e-05,0,0.996439,0.65036,0.156786,0.000225742,0.998483,0.1146,0.876327,0.0626503
1000,100,4.16667,16,5,6,5,11,5,0,0,9,6,20.8333,0.0468788,0.00221942,0.338488,0.37011,0,17,17,0,0.230431,0,0.30834,0,0,0,0,0.222121,0.574149,0.474437,0,0,0,3.19375e-05,0,0.991906,0.645563,0.158745,0.000347723,0.998524,0.139382,0.866737,0.0304714
1200,120,5,19,5,8,6,13,6,0,0,8,5,20.8333,0.0441718,0.00385379,0.343705,0.438811,0,17,17,0,0.20147,0,0.346249,0,0,0,0,0.206346,0.489647,0.476776,0,0,0,3.19248e-05,0,0.984921,0.640463,0.159239,0.000468791,0.998524,0.156793,0.843315,0.0122214
1400,140,5.83333,22,5,7,10,12,10,0,0,6,5,20.8333,0.0410536,0.00528408,0.309686,0.504799,0,17,17,4,0.18637,0.0163461,0.371978,0,0,0,0,0.188687,0.418518,0.467645,0,0,0,5.7234e-05,0,0.977316,0.635196,0.159168,0.000581328,0.998524,0.168734,0.861368,0.00493336
1600,160,6.66667,27,5,11,11,16,11,0,0,4,3,25,0.0378994,0.00683622,0.283639,0.565206,0,17,17,6,0.17609,0.0500419,0.38925,0,0,0,0,0.169952,0.357898,0.434455,0,0,0,0.000341657,0,0.96863,0.629863,0.158521,0.000682358,0.998545,0.176874,0.883247,0.00202404
1800,180,7.5,34,5,15,14,20,14,0,0,1,4,25,0.0349102,0.00860754,0.261925,0.619027,0,17,17,10,0.182744,0.102839,0.40078,0,0,0,0,0.151823,0.310477,0.397662,0,0,0,0.000962245,0,0.958667,0.624543,0.157456,0.000771624,0.998545,0.182433,0.901376,0.000984562
2000,200,8.33333,39,5,15,19,20,19,0,0,0,8,25,0.0321833,0.0101577,0.257041,0.670574,0,17,17,15,0.175312,0.163938,0.408366,0,0,0,0,0.131847,0.322935,0.367481,0,0,0,0.00173477,0,0.94852,0.619289,0.156472,0.000850143,0.998545,0.186217,0.916769,0.020935
