step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.3342,0.0365888,0,4,0,0,0.0912713,0,0.022017,0,0,0,0,0.296729,0.122064,0.206434,0,0,0,3.662e-05,0,1,0.971541,0.179728,6.02189e-06,0.958349,0.00952457,0.463113,0.0581703
400,40,1.66667,10,5,3,2,8,2,0,0,9,10,8.33333,0.043061,7.91938e-05,0.504094,0.123171,0,8,4,0,0.0917167,0,0.167171,0,0,0,0,0.448222,0.499758,0.340523,0,0,0,3.19759e-05,0,0.999792,0.814994,0.162476,5.16021e-05,0.998462,0.0750809,0.710168,0.139562
600,60,2.5,13,5,5,3,10,3,0,0,10,6,12.5,0.0489887,0.000747004,0.388371,0.20494,0,8,8,0,0.212718,0,0.340449,0,0,0,0,0.535757,0.519012,0.442593,0,0,0,3.1963e-05,0,0.997163,0.654701,0.152891,0.000185391,0.998483,0.153502,0.769537,0.0845628
800,80,3.33333,15,5,6,4,11,4,0,0,12,6,16.6667,0.0507464,0.00177192,0.38048,0.282689,0,12,12,0,0.234869,0,0.45679,0,0,0,0,0.566045,0.511525,0.465176,0,0,0,3.19503e-05,0,0.990527,0.650638,0.157107,0.000392684,0.998503,0.20637,0.744459,0.0590801
1000,100,4.16667,18,5,7,6,12,6,0,0,5,10,16.6667,0.049839,0.00274874,0.347185,0.356208,0,17,17,0,0.25712,0,0.489587,0,0,0,0,0.559099,0.472488,0.477862,0,0,0,3.19375e-05,0,0.982409,0.646451,0.159899,0.000609674,0.998503,0.221599,0.791962,0.033869
1200,120,5,22,5,9,8,15,7,0,0,4,10,16.6667,0.0473109,0.00360358,0.335044,0.425352,0,17,17,0,0.259866,0,0.489588,0,0,0,0,0.531166,0.409191,0.482996,0,0,0,3.19248e-05,0,0.974243,0.642141,0.161627,0.000790854,0.998504,0.222037,0.826433,0.0131301
1400,140,5.83333,28,5,13,10,18,10,0,0,2,10,20.8333,0.0441113,0.00457579,0.304488,0.489469,0,17,17,4,0.244984,0.0381408,0.489588,0,0,0,0,0.490297,0.35152,0.466012,0,0,0,0.00020819,0,0.965465,0.637736,0.162407,0.000936286,0.998524,0.222471,0.852683,0.00509162
1600,160,6.66667,36,5,17,14,22,14,0,0,1,7,29.1667,0.0407777,0.00664695,0.297881,0.549627,0,17,17,5,0.226886,0.119857,0.489588,0,0,0,0,0.436918,0.30718,0.425689,0,0,0,0.0011818,0,0.953217,0.633276,0.161743,0.00105294,0.998566,0.222902,0.873963,0.00207159
1800,180,7.5,42,5,13,24,24,18,0,0,0,9,29.1667,0.0375918,0.00915533,0.285696,0.608375,0,17,17,9,0.203414,0.207353,0.489588,0,0,0,0,0.381033,0.277647,0.391032,0,0,0,0.00228102,0,0.938928,0.628799,0.160459,0.0011482,0.998566,0.223329,0.891935,0.00330114
2000,200,8.33333,49,5,14,30,26,23,0,0,0,9,33.3333,0.0346878,0.0117404,0.268742,0.663912,0,17,17,14,0.186566,0.311651,0.489588,0,0,0,0,0.330749,0.277445,0.361666,0,0,0,0.00703144,0,0.923559,0.624334,0.158932,0.00122826,0.998587,0.223753,0.907453,0.0150801
2200,220,9.16667,53,5,14,34,28,25,0,0,0,9,33.3333,0.0321162,0.0143262,0.249069,0.715776,0,17,17,14,0.177129,0.451647,0.489588,0,0,0,0,0.285643,0.274923,0.3369,0,0,0,0.156387,0,0.907231,0.619902,0.157314,0.00129782,0.998587,0.224173,0.920974,0.0114987
2400,240,10,58,5,13,40,28,30,0,0,0,8,41.6667,0.0298815,0.0200086,0.22987,0.763799,0,17,17,15,0.164071,0.591643,0.489588,0,0,0,0,0.245592,0.327378,0.315052,0,0,0,0.528006,0,0.888956,0.615513,0.155285,0.0013602,0.998629,0.224589,0.932771,0.016071
2600,260,10.8333,61,5,13,43,27,34,0,0,0,9,41.6667,0.0279639,0.0286881,0.205727,0.807476,0,17,17,16,0.150094,0.730587,0.489585,0,0,0,0,0.210378,0.329142,0.295463,0,0,0,0.797349,0,0.86855,0.611169,0.152868,0.00141769,0.998629,0.225001,0.943035,0.00965009
2800,280,11.6667,64,5,12,47,27,37,0,0,0,9,41.6667,0.0263309,0.0362839,0.186197,0.84663,0,17,17,16,0.13681,0.867081,0.489206,0,0,0,0,0.17997,0.323517,0.279381,0,0,0,0.79736,0,0.848157,0.606865,0.150797,0.00147152,0.998629,0.22524,0.951927,0.0134488
3000,300,12.5,68,5,16,47,29,36,3,0,0,7,45.8333,0.0249387,0.0476658,0.164626,0.881899,0,17,17,16,0.125348,1.00349,0.488,0,0,0,0,0.15412,0.316594,0.264755,0,0,0,0.797362,0,0.824388,0.602595,0.148443,0.0015214,0.998671,0.2251,0.959597,0.0105764
3200,320,13.3333,74,5,19,50,31,37,6,0,0,9,45.8333,0.0237457,0.058724,0.147073,0.913067,0,17,17,16,0.116256,1.14716,0.486167,0,0,0,0,0.132491,0.298973,0.252327,0,0,0,0.797344,0,0.799702,0.59836,0.14626,0.00156673,0.998692,0.224706,0.966199,0.00789601
3400,340,14.1667,78,5,17,56,30,39,9,0,0,9,50,0.0227189,0.0798358,0.133497,0.941129,0,17,17,16,0.108553,1.30115,0.483945,0,0,0,0,0.11413,0.286431,0.241174,0,0,0,0.797294,0,0.769852,0.594161,0.144009,0.00160741,0.998754,0.22423,0.971878,0.00711933
3600,360,15,85,5,19,61,34,40,11,0,0,8,50,0.0218318,0.101186,0.121007,0.966644,0,17,17,16,0.101452,1.45558,0.481286,0,0,0,0,0.0980964,0.271097,0.2316,0,0,0,0.79725,0,0.738083,0.590002,0.141916,0.00164363,0.998754,0.22366,0.976767,0.0033168
3800,380,15.8333,90,5,20,65,37,40,13,0,0,8,54.1667,0.021062,0.124866,0.109815,0.989803,0,16,16,15,0.0954958,1.60118,0.478186,0,0,0,0,0.084475,0.257675,0.22302,0,0,0,0.797227,0,0.704652,0.585886,0.139835,0.00167566,0.998796,0.222974,0.980981,0.00172854
4000,400,16.6667,97,5,17,75,39,42,16,0,0,4,54.1667,0.0203911,0.149166,0.099732,1.01079,0,16,16,15,0.0908368,1.73513,0.474878,0,0,0,0,0.0729864,0.24403,0.21541,0,0,0,0.797223,0,0.669688,0.581816,0.137828,0.00170383,0.998796,0.2222,0.984621,0.000902981
4200,420,17.5,105,5,20,80,44,42,19,0,0,3,54.1667,0.0198059,0.167861,0.0931073,1.03001,0,10,10,10,0.0868834,1.84057,0.471563,0,0,0,0,0.0629116,0.236553,0.209224,0,0,0,0.797328,0,0.635104,0.577795,0.136133,0.00172883,0.998796,0.221363,0.987772,0.00655559
4400,440,18.3333,113,5,25,83,47,45,19,2,0,6,70.8333,0.0192942,0.211464,0.0848538,1.0479,0,6,6,6,0.083386,1.92807,0.468181,0,0,0,0,0.0537906,0.223942,0.200698,0,0,0,0.797486,0,0.592765,0.573824,0.133293,0.00175115,0.998963,0.220483,0.990505,0.00710144
4600,460,19.1667,125,5,20,100,50,50,22,3,0,4,70.8333,0.0188422,0.265634,0.0765688,1.06403,0,4,4,4,0.0800316,1.96945,0.464508,0,0,0,0,0.0456663,0.196552,0.190922,0,0,0,0.797785,0,0.543916,0.569904,0.129782,0.00177069,0.998963,0.219562,0.992883,0.0030789
4800,480,20,134,5,18,111,53,53,21,7,0,6,70.8333,0.0184371,0.305856,0.0715705,1.07882,0,2,2,2,0.0768552,1.98389,0.460532,0,0,0,0,0.0386318,0.174779,0.182981,0,0,0,0.798146,0,0.49567,0.566035,0.126868,0.00178712,0.998963,0.218599,0.994962,0.00457321
5000,500,20.8333,136,5,18,113,53,53,24,6,0,6,79.1667,0.018069,0.363717,0.0663474,1.09266,0,2,2,2,0.0739317,1.99912,0.456341,0,0,0,0,0.032649,0.154705,0.174399,0,0,0,0.79843,0,0.440554,0.562217,0.123584,0.00180035,0.999109,0.217612,0.996796,0.00300684
5200,520,21.6667,0,0,0,0,0,0,0,0,0,5,100,0.017743,0.4441,0.0542929,1.10501,0,0,0,0,0.0715907,1.99929,0.455274,0,0,0,0,0.0278216,0.13461,0.164699,0,0,0,0.79872,0,0.343483,0.558451,0.119762,0.00181241,0.999921,0.216882,0.998425,0.00163704
5400,540,22.5,0,0,0,0,0,0,0,0,0,5,100,0.0174989,0.505408,0.0463583,1.11498,0,0,0,0,0.0705044,1.99929,0.455905,0,0,0,0,0.0243833,0.157465,0.156547,0,0,0,0.798948,0,0.227361,0.554741,0.116486,0.00183093,0.999921,0.216332,0.999836,0.0161203
5600,560,23.3333,0,0,0,0,0,0,0,0,0,5,100,0.0173054,0.546488,0.0388924,1.12352,0,0,0,0,0.0700219,1.99929,0.455483,0,0,0,0,0.0219914,0.184148,0.149764,0,0,0,0.799116,0,0.139899,0.55107,0.113697,0.00185207,0.999921,0.215702,1.00102,0.0160897
5800,580,24.1667,0,0,0,0,0,0,0,0,0,4,100,0.0171436,0.574013,0.031211,1.13054,0,0,0,0,0.0697874,1.99929,0.454697,0,0,0,0,0.0204498,0.164539,0.144073,0,0,0,0.799246,0,0.0524435,0.547424,0.111294,0.00187366,0.999921,0.215366,1.00202,0.00686768
6000,600,25,0,0,0,0,0,0,0,0,0,4,100,0.0170064,0.592457,0.0256,1.13619,0,0,0,0,0.0693584,1.99929,0.453909,0,0,0,0,0.0193928,0.136275,0.139265,0,0,0,0.799359,0,0.00818272,0.543801,0.109204,0.00189528,0.999921,0.215292,1.00285,0.00243354
6200,620,25.8333,0,0,0,0,0,0,0,0,0,4,100,0.0168911,0.604815,0.0214977,1.14089,0,0,0,0,0.0686048,1.99929,0.453263,0,0,0,0,0.0186056,0.112675,0.135181,0,0,0,0.799456,0,9.08889e-07,0.540199,0.10737,0.0019171,0.999921,0.215293,1.00355,0.000862631
6400,640,26.6667,0,0,0,0,0,0,0,0,0,4,100,0.0167959,0.613096,0.0183194,1.14486,0,0,0,0,0.0675147,1.99929,0.452757,0,0,0,0,0.0177414,0.0930197,0.131697,0,0,0,0.79954,0,9.08889e-07,0.536621,0.10575,0.00193933,0.999921,0.215367,1.00414,0.000305894
6600,660,27.5,0,0,0,0,0,0,0,0,0,3,100,0.0167175,0.618644,0.0158055,1.14827,0,0,0,0,0.0661658,1.99929,0.452266,0,0,0,0,0.0167077,0.0766878,0.128717,0,0,0,0.799612,0,9.08889e-07,0.53307,0.10431,0.00196186,0.999922,0.215454,1.00462,0.00010851
6800,680,28.3333,0,0,0,0,0,0,0,0,0,3,100,0.0166514,0.622362,0.01378,1.15123,0,0,0,0,0.0646594,1.99929,0.451621,0,0,0,0,0.0154919,0.0631449,0.126162,0,0,0,0.799673,0,9.08889e-07,0.529552,0.103023,0.00198426,0.999922,0.215471,1.00503,3.85054e-05
7000,700,29.1667,0,0,0,0,0,0,0,0,0,2,100,0.0165917,0.624853,0.0120948,1.15381,0,0,0,0,0.0631235,1.99929,0.450693,0,0,0,0,0.014308,0.0519351,0.123966,0,0,0,0.799725,0,9.08889e-07,0.526068,0.101869,0.00200581,0.999922,0.215357,1.00538,1.36685e-05
7200,720,30,0,0,0,0,0,0,0,0,0,1,100,0.0165336,0.626522,0.0106911,1.15609,0,0,0,0,0.0616349,1.99929,0.449451,0,0,0,0,0.0131495,0.0426716,0.122074,0,0,0,0.799769,0,9.08889e-07,0.522623,0.100826,0.00202584,0.999922,0.215102,1.00567,4.85365e-06
