step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.330063,0.0362773,0,4,0,0,0.0912789,0,0.022017,0,0,0,0,0.296729,0.11955,0.211592,0,0,0,3.22628e-05,0,1,0.973332,0.18197,6.02189e-06,0.958349,0.00952457,0.463113,0.0578022
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,4.16667,0.0430622,4.59449e-05,0.501373,0.122112,0,8,4,0,0.0913904,0,0.167412,0,0,0,0,0.448222,0.47396,0.340524,0,0,0,3.19766e-05,0,0.999879,0.773161,0.158293,5.16615e-05,0.998441,0.0751888,0.710118,0.130811
600,60,2.5,11,5,5,1,10,1,0,0,10,10,8.33333,0.0489529,0.000573847,0.389336,0.208843,0,8,7,0,0.189587,0,0.334575,0,0,0,0,0.538438,0.601762,0.442588,0,0,0,3.19631e-05,0,0.99792,0.654691,0.152888,0.000183258,0.998462,0.150844,0.770719,0.10934
800,80,3.33333,13,5,4,4,9,4,0,0,9,7,16.6667,0.0506273,0.00151513,0.370784,0.284557,0,12,12,0,0.233494,0,0.452689,0,0,0,0,0.566659,0.585025,0.466403,0,0,0,3.19503e-05,0,0.992094,0.650625,0.157093,0.000383629,0.998503,0.2045,0.7448,0.0642863
1000,100,4.16667,17,5,7,5,12,5,0,0,8,7,20.8333,0.0497541,0.0031838,0.343773,0.356941,0,17,17,0,0.217976,0,0.489587,0,0,0,0,0.549657,0.530059,0.474533,0,0,0,3.19375e-05,0,0.982141,0.646456,0.15937,0.00060082,0.998524,0.221583,0.792168,0.0354044
1200,120,5,22,5,9,8,14,8,0,0,3,9,20.8333,0.0472534,0.00469775,0.324036,0.424075,0,17,17,0,0.23396,0,0.489587,0,0,0,0,0.520125,0.460262,0.476676,0,0,0,3.19248e-05,0,0.971933,0.642183,0.160961,0.000783052,0.998524,0.222021,0.826652,0.0186048
1400,140,5.83333,31,5,15,11,20,11,0,0,3,9,25,0.0440714,0.00615075,0.297139,0.486439,0,17,17,4,0.238032,0.0326865,0.489587,0,0,0,0,0.47919,0.408868,0.458073,0,0,0,0.000178531,0,0.961379,0.637821,0.161285,0.000929544,0.998545,0.222456,0.852884,0.0153968
1600,160,6.66667,36,5,14,17,20,16,0,0,1,9,25,0.0407493,0.00800766,0.27734,0.543848,0,17,17,6,0.229472,0.101973,0.489587,0,0,0,0,0.430166,0.348732,0.419629,0,0,0,0.00100278,0,0.949131,0.633395,0.16097,0.00104713,0.998545,0.222887,0.874135,0.00617129
1800,180,7.5,41,5,15,21,20,21,0,0,1,10,33.3333,0.0375711,0.0104288,0.252672,0.597023,0,17,17,10,0.213461,0.176967,0.489587,0,0,0,0,0.382303,0.301139,0.386237,0,0,0,0.00198768,0,0.934924,0.628933,0.159897,0.00114318,0.998587,0.223314,0.892077,0.00273184
2000,200,8.33333,48,5,16,27,23,25,0,0,0,9,33.3333,0.0346724,0.016028,0.226037,0.644939,0,17,17,15,0.197075,0.258414,0.489587,0,0,0,0,0.33828,0.267316,0.357144,0,0,0,0.00514415,0,0.918595,0.624463,0.158234,0.0012239,0.998587,0.223738,0.907567,0.0014094
2200,220,9.16667,51,5,13,33,22,29,0,0,0,8,45.8333,0.0321045,0.0274726,0.191543,0.685878,0,17,17,16,0.183052,0.363113,0.489587,0,0,0,0,0.297109,0.244115,0.32982,0,0,0,0.106712,0,0.898022,0.620008,0.155392,0.00129399,0.99865,0.224158,0.921065,0.000749503
2400,240,10,59,5,18,36,27,32,0,0,0,6,50,0.0298725,0.0416369,0.164473,0.722533,0,17,17,16,0.169284,0.476587,0.489587,0,0,0,0,0.256322,0.226211,0.304591,0,0,0,0.37551,0,0.87396,0.61559,0.151845,0.00135682,0.998671,0.224575,0.932843,0.000352783
2600,260,10.8333,64,5,19,40,28,34,2,0,0,8,50,0.027957,0.0571107,0.149365,0.753873,0,17,17,16,0.155612,0.592986,0.489587,0,0,0,0,0.221912,0.217667,0.283495,0,0,0,0.797619,0,0.847226,0.611224,0.148689,0.00141468,0.998712,0.224988,0.943092,0.00227574
2800,280,11.6667,74,5,24,45,34,36,4,0,0,8,50,0.0263269,0.0738721,0.134875,0.782379,0,17,17,16,0.141952,0.711635,0.489462,0,0,0,0,0.190526,0.205583,0.26614,0,0,0,0.797614,0,0.817122,0.606921,0.145999,0.00146901,0.998733,0.225342,0.951971,0.00107405
3000,300,12.5,83,5,26,52,37,40,6,0,0,8,62.5,0.0249455,0.107505,0.11985,0.808121,0,17,17,16,0.129162,0.829759,0.489103,0,0,0,0,0.163464,0.211833,0.249989,0,0,0,0.797611,0,0.779999,0.602687,0.14295,0.00152043,0.998879,0.225586,0.959625,0.00654098
