step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.328308,0.0362139,0,4,0,0,0.0912858,0,0.022017,0,0,0,0,0.118692,0.111374,0.217187,0,0,0,3.2238e-05,0,1,0.975263,0.184401,6.02189e-06,0.958349,0.00952457,0.463113,0.053884
400,40,1.66667,7,5,1,1,6,1,0,0,9,10,4.16667,0.0428433,1.91195e-05,0.503918,0.121957,0,8,4,0,0.0915699,0,0.098237,0,0,0,0,0.179327,0.577343,0.340535,0,0,0,3.1976e-05,0,0.99995,0.781335,0.159115,4.12977e-05,0.96719,0.0439538,0.729449,0.165941
600,60,2.5,11,5,5,1,10,1,0,0,12,6,4.16667,0.0480031,0.000316249,0.39279,0.204053,0,8,7,0,0.204785,0,0.190295,0,0,0,0,0.217454,0.616843,0.442602,0,0,0,3.1963e-05,0,0.999117,0.654693,0.152894,0.000125212,0.998441,0.0856485,0.83988,0.0925436
800,80,3.33333,12,5,4,3,9,3,0,0,14,6,12.5,0.048746,0.00073031,0.405317,0.284462,0,12,12,0,0.211998,0,0.264132,0,0,0,0,0.225644,0.599342,0.466355,0,0,0,3.19503e-05,0,0.997546,0.650626,0.157102,0.00024285,0.998483,0.119196,0.867631,0.0630705
1000,100,4.16667,17,5,8,4,13,4,0,0,6,9,20.8333,0.0471866,0.00216184,0.36606,0.364109,0,17,17,0,0.225481,0,0.318945,0,0,0,0,0.218933,0.555444,0.476779,0,0,0,3.19375e-05,0,0.991909,0.646463,0.159596,0.000373109,0.998524,0.144216,0.855727,0.0405838
1200,120,5,20,5,10,5,15,5,0,0,3,9,20.8333,0.0445476,0.0038034,0.310629,0.431285,0,17,17,0,0.273357,0,0.358901,0,0,0,0,0.212162,0.4742,0.481847,0,0,0,3.19248e-05,0,0.984465,0.6422,0.160889,0.00050341,0.998524,0.16257,0.840496,0.0148724
1400,140,5.83333,24,5,10,9,15,9,0,0,2,7,20.8333,0.0414938,0.00523998,0.28462,0.489937,0,17,17,4,0.276133,0.0163467,0.385357,0,0,0,0,0.197856,0.414366,0.475077,0,0,0,5.7238e-05,0,0.976359,0.637852,0.161549,0.000625638,0.998524,0.17486,0.860289,0.0105847
1600,160,6.66667,29,5,14,10,19,10,0,0,1,9,29.1667,0.0383848,0.00695265,0.254751,0.544616,0,17,17,7,0.264904,0.0560181,0.402666,0,0,0,0,0.178853,0.356258,0.442975,0,0,0,0.000355975,0,0.966789,0.633442,0.16138,0.000735323,0.998566,0.183038,0.881975,0.00451411
1800,180,7.5,36,5,14,17,21,15,0,0,0,7,37.5,0.0354221,0.0115329,0.244863,0.594672,0,17,17,11,0.236884,0.127115,0.413905,0,0,0,0,0.155895,0.313416,0.404225,0,0,0,0.000998888,0,0.953227,0.629,0.159785,0.000831755,0.998608,0.188485,0.899936,0.00231061
2000,200,8.33333,43,5,11,27,24,19,0,0,0,9,37.5,0.0327054,0.0177077,0.234152,0.642796,0,17,17,16,0.214291,0.217188,0.42093,0,0,0,0,0.134478,0.331586,0.37042,0,0,0,0.0020425,0,0.937181,0.624553,0.157566,0.000915783,0.998608,0.192034,0.915197,0.0200415
2200,220,9.16667,48,5,11,32,25,23,0,0,0,7,37.5,0.0302729,0.0231115,0.217931,0.688182,0,17,17,16,0.200531,0.349933,0.425023,0,0,0,0,0.115682,0.365026,0.342632,0,0,0,0.0196319,0,0.921033,0.62012,0.155625,0.000988789,0.998608,0.194259,0.928355,0.0222035
2400,240,10,53,5,14,34,26,27,0,0,0,9,41.6667,0.0281284,0.0296279,0.197732,0.730067,0,17,17,16,0.18367,0.484927,0.42705,0,0,0,0,0.0993231,0.376766,0.318924,0,0,0,0.201366,0,0.904024,0.615708,0.153576,0.00105226,0.998629,0.195555,0.939777,0.0168331
2600,260,10.8333,60,5,18,37,30,29,1,0,0,9,41.6667,0.0262571,0.0387384,0.175732,0.767484,0,17,17,16,0.16664,0.61992,0.427618,0,0,0,0,0.0852907,0.340501,0.298606,0,0,0,0.585492,0,0.884695,0.611318,0.151457,0.00110761,0.99865,0.196239,0.949717,0.00656827
2800,280,11.6667,66,5,16,45,29,35,2,0,0,6,50,0.024635,0.0527353,0.151392,0.80039,0,17,17,16,0.151278,0.754915,0.427171,0,0,0,0,0.0733622,0.311045,0.27881,0,0,0,0.797199,0,0.86213,0.606957,0.148381,0.00115607,0.998691,0.196528,0.958364,0.00265199
3000,300,12.5,73,5,18,50,32,38,3,0,0,8,54.1667,0.0232347,0.0689887,0.125441,0.827226,0,17,17,16,0.142302,0.889912,0.425991,0,0,0,0,0.0644125,0.287798,0.26167,0,0,0,0.797186,0,0.838386,0.602631,0.145414,0.00119871,0.998754,0.196568,0.965875,0.00174906
3200,320,13.3333,80,5,21,54,34,42,4,0,0,10,54.1667,0.0220286,0.0963704,0.114966,0.851273,0,17,17,16,0.128988,1.02491,0.424297,0,0,0,0,0.055345,0.297094,0.246561,0,0,0,0.797185,0,0.809199,0.59835,0.14248,0.00123638,0.998775,0.196448,0.972387,0.0136241
3400,340,14.1667,87,5,23,59,39,40,8,0,0,10,58.3333,0.0209903,0.122655,0.101722,0.873002,0,17,17,16,0.117836,1.15991,0.422228,0,0,0,0,0.0478443,0.27512,0.233732,0,0,0,0.797177,0,0.778822,0.594122,0.139822,0.0012698,0.998817,0.196211,0.978023,0.00517625
3600,360,15,94,5,24,65,38,46,10,0,0,10,58.3333,0.0200956,0.153958,0.0902636,0.892217,0,17,17,16,0.108591,1.28163,0.419886,0,0,0,0,0.0416823,0.25396,0.222338,0,0,0,0.797211,0,0.744701,0.589948,0.137219,0.00129951,0.998837,0.19588,0.982895,0.00202209
3800,380,15.8333,99,5,26,68,40,44,15,0,0,9,62.5,0.0193232,0.187974,0.0795296,0.909258,0,15,15,14,0.100887,1.40163,0.417369,0,0,0,0,0.0365964,0.236018,0.21201,0,0,0,0.797251,0,0.708524,0.585832,0.134618,0.00132598,0.998879,0.195474,0.987104,0.000808792
4000,400,16.6667,106,5,28,73,42,46,17,1,0,6,62.5,0.0186549,0.217488,0.0708685,0.924304,0,15,15,14,0.0943069,1.52163,0.414758,0,0,0,0,0.032349,0.220707,0.203276,0,0,0,0.79729,0,0.671815,0.581776,0.132309,0.00134962,0.998879,0.195008,0.99074,0.00032566
