step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.309143,0.0351861,0,4,1,0,0.0912393,0,0.022017,0,0,0,0,0.296729,0.124197,0.230071,0,0,0,3.19928e-05,0,1,0.973392,0.182489,1.48704e-07,0.958349,0.00952457,0.463113,0.056058
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0430697,0,0.445465,0.113162,0,8,5,0,0.0923558,0,0.168306,0,0,0,0,0.448218,0.469251,0.388821,0,0,0,3.19758e-05,0,1,0.865847,0.167611,1.28642e-06,0.99842,0.0755915,0.70982,0.132692
600,60,2.5,12,5,7,0,12,0,0,0,10,9,0,0.0490188,0,0.375993,0.192938,0,8,8,0,0.197916,0,0.343682,0,0,0,0,0.524326,0.478778,0.451242,0,0,0,3.1963e-05,0,1,0.704907,0.157966,4.63789e-06,0.99842,0.154962,0.768486,0.0778838
800,80,3.33333,12,5,6,1,11,1,0,0,10,7,4.16667,0.0508771,0.000249943,0.349276,0.265271,0,12,12,0,0.223542,0,0.464585,0,0,0,0,0.552763,0.463892,0.468818,0,0,0,3.19503e-05,0,0.998439,0.650724,0.157229,9.97989e-06,0.998441,0.209902,0.744204,0.0469533
1000,100,4.16667,12,5,5,2,10,2,0,0,8,8,8.33333,0.0499439,0.000620009,0.310466,0.331888,0,17,17,0,0.210605,0,0.489588,0,0,0,0,0.541585,0.458307,0.479857,0,0,0,3.19375e-05,0,0.995734,0.646695,0.160174,1.5405e-05,0.998462,0.221617,0.791728,0.0362969
1200,120,5,12,5,3,4,8,4,0,0,7,8,16.6667,0.0473818,0.00146316,0.268444,0.389563,0,17,17,1,0.203836,0.0055123,0.489588,0,0,0,0,0.517602,0.417885,0.486154,0,0,0,3.19248e-05,0,0.989497,0.642622,0.162105,1.99075e-05,0.998504,0.222055,0.826176,0.0156175
1400,140,5.83333,13,5,4,4,9,4,0,0,6,5,16.6667,0.0441604,0.00247853,0.246546,0.441195,0,17,17,5,0.197419,0.0611364,0.489588,0,0,0,0,0.470325,0.375784,0.465951,0,0,0,0.000367686,0,0.981332,0.638504,0.163302,2.35314e-05,0.998504,0.222489,0.852444,0.00639653
1600,160,6.66667,18,5,9,4,14,4,0,0,4,4,16.6667,0.0408126,0.00336711,0.225666,0.489205,0,17,17,8,0.19817,0.184223,0.489588,0,0,0,0,0.416452,0.341927,0.429216,0,0,0,0.00139669,0,0.973166,0.634351,0.16395,2.64467e-05,0.998504,0.222919,0.873757,0.00251443
1800,180,7.5,20,5,8,7,14,6,0,0,1,7,16.6667,0.0376172,0.00414475,0.198565,0.531816,0,17,17,12,0.201693,0.324473,0.489589,0,0,0,0,0.369845,0.324115,0.398646,0,0,0,0.00290242,0,0.965001,0.630174,0.164206,2.88336e-05,0.998504,0.223346,0.891765,0.00664467
2000,200,8.33333,26,5,13,8,19,7,0,0,1,7,16.6667,0.0347067,0.00482528,0.179955,0.569795,0,17,17,17,0.191634,0.481268,0.489588,0,0,0,0,0.328084,0.298479,0.373233,0,0,0,0.0295007,0,0.956837,0.625986,0.164186,3.08433e-05,0.998504,0.22377,0.907315,0.00289399
2200,220,9.16667,33,5,20,8,25,8,0,0,0,7,16.6667,0.0321307,0.00542084,0.168577,0.604564,0,17,17,17,0.182128,0.664927,0.489588,0,0,0,0,0.285055,0.304103,0.352129,0,0,0,0.305355,0,0.948673,0.621802,0.163974,3.2591e-05,0.998504,0.22419,0.920863,0.00603217
2400,240,10,42,5,24,13,29,13,0,0,0,8,20.8333,0.0298927,0.00605147,0.156625,0.637345,0,17,17,17,0.169144,0.856725,0.489588,0,0,0,0,0.243751,0.286551,0.334382,0,0,0,0.796671,0,0.940214,0.617628,0.163538,3.41593e-05,0.998525,0.224606,0.932683,0.00291598
2600,260,10.8333,56,5,26,25,39,17,0,0,0,6,25,0.0279729,0.00727928,0.140066,0.667155,0,17,17,17,0.154388,1.05001,0.48957,0,0,0,0,0.207961,0.273519,0.318381,0,0,0,0.796742,0,0.929817,0.613468,0.162519,3.56048e-05,0.998546,0.225011,0.942966,0.00158996
2800,280,11.6667,65,5,29,31,43,22,0,0,0,5,33.3333,0.0263374,0.00949893,0.122431,0.693516,0,17,17,17,0.141071,1.26001,0.489109,0,0,0,0,0.177198,0.266653,0.302924,0,0,0,0.796737,0,0.916177,0.609322,0.160667,3.69568e-05,0.998587,0.225212,0.951872,0.000952388
3000,300,12.5,78,5,24,49,46,32,0,0,0,7,33.3333,0.0249413,0.0123646,0.107428,0.716473,0,17,17,17,0.128337,1.47001,0.48771,0,0,0,0,0.150689,0.273478,0.288431,0,0,0,0.796734,0,0.899928,0.605193,0.158343,3.82043e-05,0.998587,0.224987,0.959555,0.00738538
3200,320,13.3333,86,5,28,53,49,37,0,0,0,6,37.5,0.023742,0.0165706,0.0932664,0.736604,0,17,17,17,0.11808,1.68919,0.485612,0,0,0,0,0.12856,0.267543,0.275828,0,0,0,0.796693,0,0.882874,0.601085,0.156072,3.93298e-05,0.998608,0.224533,0.966172,0.00284783
