step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.329304,0.0360984,0,4,0,0,0.0913044,0,0.022017,0,0,0,0,0.296729,0.108371,0.222933,0,0,0,0.000185638,0,1,0.977352,0.186908,6.02189e-06,0.958349,0.00952457,0.463113,0.054936
400,40,1.66667,10,5,4,1,9,1,0,0,9,9,4.16667,0.0430668,5.22127e-05,0.505684,0.122734,0,8,4,0,0.0913852,0,0.168049,0,0,0,0,0.44822,0.519129,0.340519,0,0,0,3.19765e-05,0,0.999863,0.761027,0.157078,5.18847e-05,0.998441,0.0754755,0.70994,0.148414
600,60,2.5,11,5,3,3,9,2,0,0,9,10,8.33333,0.0489557,0.000362742,0.439815,0.213574,0,8,5,0,0.194684,0,0.333498,0,0,0,0,0.542727,0.581478,0.442578,0,0,0,3.19631e-05,0,0.998708,0.65469,0.152884,0.00018351,0.998462,0.150359,0.770598,0.090821
800,80,3.33333,13,5,4,4,9,4,0,0,12,10,20.8333,0.0505835,0.00115149,0.40617,0.296873,0,12,12,0,0.233996,0,0.447581,0,0,0,0,0.573505,0.618418,0.464364,0,0,0,3.19503e-05,0,0.994024,0.650613,0.15705,0.000380629,0.998524,0.202192,0.74487,0.0717602
1000,100,4.16667,18,5,7,6,13,5,0,0,9,9,20.8333,0.0497045,0.0029192,0.326877,0.367854,0,17,17,0,0.250845,0,0.489586,0,0,0,0,0.568501,0.574872,0.471333,0,0,0,3.19375e-05,0,0.983977,0.646378,0.15922,0.000596314,0.998524,0.221576,0.792247,0.048942
1200,120,5,22,5,11,6,17,5,0,0,5,10,20.8333,0.0472202,0.00446619,0.308145,0.432731,0,17,17,0,0.254735,0,0.489587,0,0,0,0,0.537332,0.515546,0.471612,0,0,0,3.19248e-05,0,0.973769,0.641976,0.160441,0.000779096,0.998524,0.222014,0.826752,0.0300788
1400,140,5.83333,28,5,14,9,20,8,0,0,4,8,20.8333,0.0440486,0.00582001,0.291436,0.492997,0,17,17,4,0.256689,0.0245195,0.489587,0,0,0,0,0.49248,0.429913,0.45577,0,0,0,0.000113646,0,0.963562,0.637442,0.160988,0.000926146,0.998524,0.222449,0.852983,0.0113302
1600,160,6.66667,34,5,16,13,21,13,0,0,2,9,25,0.0407334,0.00767468,0.264307,0.547361,0,17,17,5,0.251858,0.0754386,0.489587,0,0,0,0,0.441726,0.363489,0.418235,0,0,0,0.000696639,0,0.951447,0.632817,0.160525,0.00104423,0.998545,0.22288,0.874223,0.00432835
1800,180,7.5,41,5,12,24,23,18,0,0,2,9,25,0.0375597,0.0093413,0.248321,0.59958,0,17,17,11,0.237442,0.170009,0.489587,0,0,0,0,0.386981,0.32519,0.386574,0,0,0,0.00189738,0,0.939199,0.628143,0.160092,0.00114069,0.998545,0.223307,0.892151,0.00396856
