step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,7,0,0.0293782,0,0.327369,0.0360967,0,4,0,0,0.0912991,0,0.022017,0,0,0,0,0.118692,0.112312,0.224004,0,0,0,3.20574e-05,0,1,0.977659,0.187367,6.02189e-06,0.958349,0.00952457,0.463113,0.0557242
400,40,1.66667,8,5,2,1,7,1,0,0,9,10,4.16667,0.0428539,3.33591e-05,0.508294,0.122174,0,8,4,0,0.0917459,0,0.0997907,0,0,0,0,0.179325,0.61966,0.34054,0,0,0,3.19763e-05,0,0.999913,0.785605,0.159544,4.18054e-05,0.971304,0.0446518,0.728901,0.184288
600,60,2.5,10,5,4,1,9,1,0,0,10,10,8.33333,0.0480526,0.000538153,0.396157,0.213977,0,8,4,0,0.180467,0,0.19448,0,0,0,0,0.214898,0.87669,0.442344,0,0,0,3.1963e-05,0,0.998499,0.654608,0.152782,0.00012821,0.998462,0.0875338,0.838162,0.144927
800,80,3.33333,12,5,4,3,9,3,0,0,9,9,16.6667,0.0488549,0.00136588,0.337044,0.287856,0,12,11,0,0.264601,0,0.270356,0,0,0,0,0.232742,0.862797,0.461622,0,0,0,3.19503e-05,0,0.99525,0.650138,0.156543,0.00025065,0.998503,0.122015,0.863723,0.0884414
1000,100,4.16667,16,5,6,5,11,5,0,0,7,8,16.6667,0.0473304,0.0023934,0.319282,0.353578,0,17,17,0,0.288683,0,0.325111,0,0,0,0,0.229952,0.751574,0.470656,0,0,0,3.19375e-05,0,0.989903,0.645356,0.158772,0.000385228,0.998503,0.147018,0.851221,0.0437518
1200,120,5,22,5,11,6,16,6,0,0,7,5,20.8333,0.044671,0.0039084,0.300443,0.415925,0,17,17,0,0.27048,0,0.364593,0,0,0,0,0.216666,0.621512,0.462703,0,0,0,3.19248e-05,0,0.982649,0.640368,0.159453,0.000516137,0.998524,0.165161,0.837504,0.0191289
1400,140,5.83333,28,5,14,9,19,9,0,0,4,6,25,0.0415705,0.00554865,0.287836,0.474295,0,17,17,4,0.242757,0.0245159,0.390762,0,0,0,0,0.197486,0.514257,0.440313,0,0,0,0.00011362,0,0.974099,0.635263,0.15932,0.000636059,0.998545,0.17732,0.859939,0.00905784
1600,160,6.66667,32,5,12,15,19,13,0,0,3,9,29.1667,0.0384192,0.00753006,0.270203,0.529952,0,17,17,8,0.221263,0.0695069,0.407561,0,0,0,0,0.17599,0.432718,0.40376,0,0,0,0.000428529,0,0.963773,0.630112,0.158471,0.000742664,0.998566,0.185265,0.881681,0.00848914
1800,180,7.5,39,5,10,24,22,17,0,0,0,8,29.1667,0.0354247,0.00992816,0.261428,0.583732,0,17,17,12,0.195774,0.121551,0.418243,0,0,0,0,0.152827,0.425011,0.371506,0,0,0,0.000793955,0,0.951547,0.624973,0.157028,0.000836116,0.998566,0.190458,0.899723,0.0230515
