step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,7,0,0.0294937,0,0.306754,0.0347941,0,2,0,0,0.0913161,0,0.0267349,0,0,0,0,0.2967,0.074653,0.238673,0,0,0,3.19995e-05,0,1,0.982709,0.19374,1.82065e-07,0.958349,0.011565,0.462364,0.0350561
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0434775,0,0.445988,0.112449,0,4,0,0,0.0928162,0,0.184567,0,0,0,0,0.448032,0.417023,0.202585,0,0,0,3.19758e-05,0,1,0.884071,0.169441,1.54033e-06,0.99842,0.0828231,0.703992,0.124176
600,60,2.5,9,5,4,0,9,0,0,0,10,9,0,0.049862,0,0.418405,0.196151,0,4,4,0,0.165427,0,0.367561,0,0,0,0,0.521152,0.514349,0.222418,0,0,0,3.1963e-05,0,1,0.699748,0.157454,5.51358e-06,0.99842,0.165666,0.753592,0.109223
800,80,3.33333,12,5,7,0,12,0,0,0,8,8,0,0.0521157,0,0.360599,0.275497,0,6,6,0,0.209089,0,0.494525,0,0,0,0,0.548835,0.576225,0.38037,0,0,0,3.19503e-05,0,1,0.65073,0.157243,1.17737e-05,0.99842,0.223395,0.740833,0.0852307
1000,100,4.16667,13,5,7,1,12,1,0,0,7,9,4.16667,0.0518231,0.00028265,0.327469,0.343537,0,10,10,0,0.21659,0,0.556541,0,0,0,0,0.540844,0.530203,0.451909,0,0,0,3.19375e-05,0,0.997688,0.646683,0.160163,1.89186e-05,0.998441,0.251899,0.788509,0.0500628
1200,120,5,14,5,7,2,12,2,0,0,6,10,4.16667,0.0498713,0.000546874,0.299894,0.406588,0,10,10,0,0.236661,0,0.576615,0,0,0,0,0.522164,0.465672,0.480962,0,0,0,3.19248e-05,0,0.995209,0.642566,0.162062,2.54468e-05,0.998441,0.261485,0.821371,0.0237078
1400,140,5.83333,14,5,5,4,10,4,0,0,4,9,12.5,0.0470784,0.00126938,0.261768,0.462974,0,10,10,0,0.234973,0,0.586617,0,0,0,0,0.491723,0.404483,0.484344,0,0,0,3.1912e-05,0,0.988716,0.638377,0.163175,3.09102e-05,0.998483,0.266521,0.845983,0.0112342
1600,160,6.66667,18,5,8,5,13,5,0,0,2,10,12.5,0.044034,0.00200943,0.216998,0.511455,0,10,10,3,0.222504,0.0206434,0.591894,0,0,0,0,0.451818,0.34799,0.473381,0,0,0,8.70346e-05,0,0.98128,0.63413,0.163744,3.54575e-05,0.998483,0.269424,0.865778,0.00577773
1800,180,7.5,22,5,12,5,17,5,0,0,2,8,16.6667,0.0410548,0.00287671,0.192998,0.552603,0,10,10,5,0.203998,0.0560742,0.594386,0,0,0,0,0.40829,0.301144,0.439861,0,0,0,0.000350336,0,0.972061,0.629841,0.16391,3.92885e-05,0.998504,0.271067,0.882482,0.00244876
2000,200,8.33333,31,5,19,7,24,7,0,0,1,7,16.6667,0.0382988,0.00371558,0.17697,0.588603,0,10,10,9,0.18972,0.127382,0.594492,0,0,0,0,0.356219,0.267937,0.406687,0,0,0,0.00113599,0,0.962149,0.625531,0.163809,4.25845e-05,0.998504,0.271629,0.896958,0.00217374
2200,220,9.16667,42,5,19,18,33,9,0,0,0,9,20.8333,0.0358327,0.00493813,0.169558,0.623778,0,10,10,10,0.183958,0.255214,0.594455,0,0,0,0,0.301673,0.254346,0.37826,0,0,0,0.00263403,0,0.950578,0.621218,0.163141,4.54893e-05,0.998525,0.272123,0.909646,0.00452257
