step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.334556,0.0365825,0,2,0,0,0.091269,0,0.0267349,0,0,0,0,0.2967,0.147316,0.204881,0,0,0,3.20811e-05,0,1,0.971001,0.179052,7.37298e-06,0.958349,0.011565,0.462364,0.0721168
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,4.16667,0.0434431,7.98507e-06,0.511116,0.12388,0,4,0,0,0.0911339,0,0.178532,0,0,0,0,0.448045,0.510048,0.202402,0,0,0,3.19763e-05,0,0.999979,0.758387,0.1568,6.05799e-05,0.998441,0.0801176,0.70525,0.139824
600,60,2.5,12,5,6,1,11,1,0,0,11,8,12.5,0.0496747,0.000894321,0.409509,0.210339,0,4,2,0,0.17261,0,0.350848,0,0,0,0,0.532869,0.580427,0.217978,0,0,0,3.1963e-05,0,0.996483,0.654493,0.152641,0.000210332,0.998483,0.158124,0.759957,0.0903394
800,80,3.33333,15,5,5,5,10,5,0,0,11,6,16.6667,0.051667,0.00172086,0.367145,0.288845,0,6,5,0,0.207845,0,0.469059,0,0,0,0,0.561425,0.571447,0.230115,0,0,0,3.19503e-05,0,0.990809,0.649629,0.155975,0.000437513,0.998503,0.211855,0.741363,0.0639016
1000,100,4.16667,19,5,8,6,13,6,0,0,11,5,20.8333,0.051182,0.00305481,0.337662,0.36,0,10,10,0,0.215793,0,0.536583,0,0,0,0,0.555756,0.519994,0.36635,0,0,0,3.19375e-05,0,0.980908,0.644121,0.15718,0.000696451,0.998524,0.242795,0.789545,0.0409466
1200,120,5,25,5,13,7,18,7,0,0,5,7,20.8333,0.0492836,0.00458486,0.329927,0.427046,0,10,10,0,0.219635,0,0.570138,0,0,0,0,0.523065,0.450833,0.463685,0,0,0,3.19248e-05,0,0.968891,0.63826,0.157119,0.000949401,0.998524,0.258446,0.822814,0.0200028
1400,140,5.83333,32,5,16,11,21,11,0,0,2,8,25,0.0466532,0.00603331,0.312209,0.490284,0,10,10,0,0.208015,0,0.585342,0,0,0,0,0.475364,0.375782,0.464065,0,0,0,3.1912e-05,0,0.956202,0.632254,0.156519,0.00117451,0.998545,0.26583,0.847537,0.00730198
1600,160,6.66667,39,5,18,16,23,16,0,0,2,6,33.3333,0.0437386,0.00868865,0.289113,0.550972,0,10,10,2,0.193351,0.00428707,0.590806,0,0,0,0,0.4259,0.312191,0.452442,0,0,0,3.18993e-05,0,0.938669,0.626247,0.154541,0.00136479,0.998587,0.268818,0.867221,0.00262438
1800,180,7.5,48,5,12,31,26,22,0,0,2,6,33.3333,0.0408443,0.0116555,0.258056,0.60529,0,10,10,4,0.177373,0.0217861,0.593696,0,0,0,0,0.377628,0.266927,0.431089,0,0,0,9.59528e-05,0,0.918845,0.620344,0.152282,0.00152475,0.998587,0.270642,0.883727,0.00466505
2000,200,8.33333,52,5,8,39,27,25,0,0,0,9,37.5,0.038144,0.0151325,0.237834,0.655034,0,10,10,8,0.165211,0.0508355,0.59431,0,0,0,0,0.333538,0.278127,0.396677,0,0,0,0.000381437,0,0.898443,0.614603,0.150253,0.00166173,0.998608,0.271435,0.89799,0.0215433
2200,220,9.16667,58,5,12,41,29,29,0,0,0,9,41.6667,0.0357092,0.0236601,0.211457,0.700027,0,10,10,10,0.157776,0.109197,0.593613,0,0,0,0,0.292693,0.237786,0.35962,0,0,0,0.00112249,0,0.874262,0.609055,0.147543,0.00178102,0.998629,0.271632,0.910487,0.00813615
2400,240,10,62,5,13,44,28,34,0,0,0,8,45.8333,0.0335555,0.0350438,0.186555,0.73983,0,10,10,10,0.149211,0.178146,0.592277,0,0,0,0,0.256362,0.209708,0.327596,0,0,0,0.00434963,0,0.847452,0.603715,0.14457,0.00188609,0.99865,0.271534,0.921484,0.00363683
2600,260,10.8333,67,5,13,49,31,35,1,0,0,8,45.8333,0.0316716,0.0456547,0.166675,0.775106,0,10,10,10,0.140661,0.270282,0.590293,0,0,0,0,0.224037,0.191974,0.301496,0,0,0,0.0903631,0,0.820262,0.598583,0.142108,0.00197931,0.998671,0.271189,0.931157,0.00166886
2800,280,11.6667,74,5,13,56,34,37,3,0,0,6,45.8333,0.0300345,0.0592731,0.15621,0.80754,0,10,10,10,0.130414,0.367144,0.587559,0,0,0,0,0.190099,0.178812,0.280432,0,0,0,0.316719,0,0.788286,0.593653,0.140141,0.00206246,0.998712,0.270584,0.939645,0.00100122
3000,300,12.5,79,5,15,59,34,41,4,0,0,8,50,0.0286137,0.0775269,0.144431,0.837658,0,10,10,10,0.120558,0.466106,0.584071,0,0,0,0,0.161794,0.17718,0.261737,0,0,0,0.689254,0,0.750505,0.588918,0.137882,0.00213644,0.998754,0.269724,0.947073,0.00512292
3200,320,13.3333,84,5,13,66,35,43,6,0,0,8,54.1667,0.0273787,0.100881,0.130993,0.865306,0,10,10,10,0.111351,0.568305,0.579996,0,0,0,0,0.137922,0.170462,0.245563,0,0,0,0.79834,0,0.709506,0.584366,0.135617,0.00220183,0.998796,0.268755,0.95356,0.00323508
3400,340,14.1667,88,5,15,68,36,44,8,0,0,8,62.5,0.0263024,0.132709,0.120698,0.890471,0,10,10,10,0.103052,0.685904,0.575505,0,0,0,0,0.117573,0.190803,0.231186,0,0,0,0.798262,0,0.66403,0.579976,0.133242,0.00225926,0.998879,0.267718,0.959221,0.0125002
3600,360,15,96,5,10,81,40,44,12,0,0,8,62.5,0.0253619,0.175044,0.106988,0.91326,0,10,10,10,0.095676,0.803152,0.570779,0,0,0,0,0.0999934,0.183833,0.21787,0,0,0,0.7982,0,0.612708,0.575729,0.130614,0.00230948,0.998879,0.266629,0.964159,0.00489474
3800,380,15.8333,101,5,11,85,43,43,15,0,0,7,62.5,0.0245365,0.207562,0.0955868,0.933534,0,9,9,9,0.0901944,0.922325,0.565816,0,0,0,0,0.0856739,0.177936,0.20724,0,0,0,0.798128,0,0.562045,0.571606,0.128507,0.00235312,0.998879,0.265496,0.968472,0.00203267
4000,400,16.6667,105,5,13,87,41,47,17,0,0,6,66.6667,0.0238084,0.238429,0.0859543,0.951755,0,9,9,9,0.0860061,1.03152,0.560731,0,0,0,0,0.0741575,0.170266,0.198087,0,0,0,0.798112,0,0.510194,0.56759,0.126538,0.00239072,0.998921,0.264327,0.972245,0.000876944
4200,420,17.5,113,5,9,99,45,49,19,0,0,5,66.6667,0.0231634,0.269551,0.0775074,0.968118,0,7,7,7,0.0824434,1.1157,0.555647,0,0,0,0,0.0647597,0.15775,0.189937,0,0,0,0.798169,0,0.456376,0.563669,0.1246,0.00242296,0.998921,0.263144,0.975553,0.000369181
4400,440,18.3333,117,5,9,103,46,49,20,2,0,6,66.6667,0.0225901,0.293449,0.0711565,0.982999,0,6,6,6,0.0791774,1.18701,0.550638,0,0,0,0,0.0568196,0.145552,0.183397,0,0,0,0.798261,0,0.403268,0.559832,0.123004,0.00245059,0.998921,0.261966,0.978463,0.000805366
4600,460,19.1667,119,5,9,105,45,51,19,4,0,5,70.8333,0.0220789,0.331077,0.0651719,0.996651,0,3,3,3,0.0760879,1.23303,0.54573,0,0,0,0,0.0500008,0.129278,0.176656,0,0,0,0.798449,0,0.364488,0.556066,0.12108,0.00247428,0.998984,0.260798,0.981031,0.000444579
4800,480,20,122,5,11,106,46,49,21,6,0,5,70.8333,0.0216211,0.359278,0.0604629,1.00924,0,1,1,1,0.0732171,1.25981,0.540925,0,0,0,0,0.043973,0.111954,0.171091,0,0,0,0.798674,0,0.332151,0.552357,0.119424,0.00249456,0.998984,0.259638,0.983302,0.00024021
5000,500,20.8333,125,5,17,103,51,47,21,6,0,5,70.8333,0.0212091,0.379569,0.0566377,1.02098,0,1,1,1,0.0705973,1.27731,0.536209,0,0,0,0,0.0387331,0.0956549,0.166555,0,0,0,0.798886,0,0.300208,0.548699,0.118014,0.00251181,0.998984,0.258485,0.98532,0.000113566
5200,520,21.6667,124,5,15,104,48,52,21,3,0,4,100,0.0208361,0.432515,0.0512082,1.03187,0,0,0,0,0.0682033,1.27748,0.531574,0,0,0,0,0.0340148,0.0787129,0.159746,0,0,0,0.799107,0,0.257687,0.545092,0.11556,0.00252633,0.999171,0.257341,0.98712,5.00421e-05
5400,540,22.5,0,0,0,0,0,0,0,0,0,4,100,0.0205442,0.497646,0.0376263,1.04064,0,0,0,0,0.066036,1.27748,0.533518,0,0,0,0,0.0295703,0.064684,0.152128,0,0,0,0.799284,0,0.156644,0.541533,0.112673,0.00254766,0.999921,0.256233,0.988709,2.11127e-05
5600,560,23.3333,0,0,0,0,0,0,0,0,0,3,100,0.0203353,0.541287,0.0294156,1.0473,0,0,0,0,0.0641104,1.27748,0.533864,0,0,0,0,0.0257578,0.0531087,0.145828,0,0,0,0.799425,0,0.0548563,0.53802,0.110224,0.00257773,0.999921,0.25525,0.990048,8.64858e-06
