step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.335566,0.0366958,0,2,0,0,0.091252,0,0.0267349,0,0,0,0,0.2967,0.149283,0.198075,0,0,0,3.20832e-05,0,1,0.968573,0.176087,7.37298e-06,0.958349,0.011565,0.462364,0.0723324
400,40,1.66667,10,5,5,0,10,0,0,0,9,10,0,0.0434558,0,0.512735,0.124198,0,4,0,0,0.0912671,0,0.18122,0,0,0,0,0.448041,0.538459,0.202481,0,0,0,3.19762e-05,0,1,0.774823,0.158475,6.12218e-05,0.99842,0.0813172,0.704827,0.152926
600,60,2.5,11,5,4,2,9,2,0,0,9,9,12.5,0.0497719,0.000558773,0.416952,0.212036,0,4,2,0,0.203866,0,0.35927,0,0,0,0,0.538517,0.606182,0.218522,0,0,0,3.1963e-05,0,0.997544,0.654692,0.152878,0.000216827,0.998483,0.161927,0.756764,0.0962896
800,80,3.33333,14,5,4,5,10,4,0,0,10,8,16.6667,0.0518772,0.00154828,0.369204,0.289854,0,6,6,0,0.257789,0,0.483215,0,0,0,0,0.56984,0.588435,0.260322,0,0,0,3.19503e-05,0,0.990758,0.65064,0.157112,0.000455486,0.998503,0.218268,0.741112,0.0693102
1000,100,4.16667,19,5,8,6,13,6,0,0,10,7,20.8333,0.0514619,0.00256824,0.356652,0.362653,0,10,10,0,0.250089,0,0.548117,0,0,0,0,0.558241,0.496681,0.388124,0,0,0,3.19375e-05,0,0.981623,0.646506,0.159949,0.000725754,0.998524,0.248042,0.789069,0.0311409
1200,120,5,26,5,11,10,17,9,0,0,10,6,25,0.0495481,0.00444866,0.346598,0.43291,0,10,10,0,0.221572,0,0.578438,0,0,0,0,0.517844,0.419085,0.47291,0,0,0,3.19248e-05,0,0.968552,0.642286,0.160961,0.000982946,0.998545,0.262242,0.822169,0.0122461
1400,140,5.83333,35,5,17,13,22,13,0,0,2,7,33.3333,0.046857,0.0073564,0.307696,0.499301,0,10,10,0,0.20734,0,0.58946,0,0,0,0,0.469744,0.354234,0.474199,0,0,0,3.1912e-05,0,0.950851,0.637995,0.160397,0.00120609,0.998587,0.26774,0.846828,0.00494389
1600,160,6.66667,43,5,13,25,24,19,0,0,1,8,33.3333,0.0438798,0.0104896,0.284081,0.558764,0,10,10,2,0.202342,0.0269474,0.593184,0,0,0,0,0.421192,0.299338,0.453623,0,0,0,0.00013116,0,0.931025,0.633657,0.159222,0.00139189,0.998587,0.269944,0.866553,0.00190266
1800,180,7.5,48,5,11,32,24,24,0,0,0,9,33.3333,0.0409446,0.0132316,0.268254,0.613721,0,10,10,6,0.184279,0.0619459,0.59449,0,0,0,0,0.370614,0.260956,0.41516,0,0,0,0.000476638,0,0.911201,0.629299,0.158066,0.00154808,0.998587,0.271052,0.883146,0.0031129
2000,200,8.33333,53,5,9,39,26,27,0,0,0,10,37.5,0.0382173,0.0177378,0.254673,0.666435,0,10,10,10,0.169977,0.113656,0.594351,0,0,0,0,0.323405,0.276532,0.380378,0,0,0,0.00112787,0,0.889956,0.624943,0.156575,0.00168199,0.998608,0.271505,0.897507,0.0177735
2200,220,9.16667,58,5,12,41,27,31,0,0,0,10,45.8333,0.0357644,0.0268343,0.217948,0.71356,0,10,10,10,0.165113,0.198701,0.593625,0,0,0,0,0.284655,0.292307,0.349398,0,0,0,0.00261671,0,0.865189,0.620606,0.154276,0.00179883,0.99865,0.271688,0.910094,0.0160998
2400,240,10,63,5,12,46,29,34,0,0,0,9,45.8333,0.0335976,0.0382246,0.187941,0.752733,0,10,10,10,0.16471,0.294943,0.592253,0,0,0,0,0.248919,0.258449,0.322358,0,0,0,0.0533221,0,0.838058,0.616297,0.151648,0.0019018,0.99865,0.271584,0.921168,0.00675963
2600,260,10.8333,69,5,16,48,32,36,1,0,0,9,45.8333,0.0317026,0.0481926,0.174139,0.789114,0,10,10,10,0.151043,0.399413,0.590048,0,0,0,0,0.214203,0.234937,0.300107,0,0,0,0.257881,0,0.811075,0.612022,0.149377,0.00199304,0.99865,0.271146,0.930907,0.00363339
2800,280,11.6667,78,5,21,52,37,37,4,0,0,8,50,0.0300531,0.0631701,0.15741,0.822385,0,10,10,10,0.138482,0.512022,0.58698,0,0,0,0,0.184307,0.215803,0.280225,0,0,0,0.63422,0,0.778848,0.607789,0.146778,0.00207387,0.998712,0.270393,0.939451,0.00170666
3000,300,12.5,88,5,24,59,40,42,6,0,0,9,54.1667,0.0286196,0.0794454,0.144895,0.852787,0,10,10,10,0.127304,0.616319,0.583287,0,0,0,0,0.159169,0.246583,0.263358,0,0,0,0.797973,0,0.744375,0.603604,0.144342,0.00214534,0.998754,0.269504,0.946932,0.0192758
3200,320,13.3333,94,5,17,72,40,45,9,0,0,10,58.3333,0.0273747,0.10729,0.126451,0.879999,0,10,10,10,0.117852,0.718338,0.579223,0,0,0,0,0.137841,0.228273,0.248179,0,0,0,0.797989,0,0.703247,0.599471,0.14173,0.00220852,0.998837,0.268533,0.953467,0.00896298
3400,340,14.1667,101,5,15,81,43,46,12,0,0,9,62.5,0.026293,0.147236,0.1103,0.903706,0,10,10,10,0.109888,0.812397,0.574897,0,0,0,0,0.119751,0.206825,0.234119,0,0,0,0.798038,0,0.654458,0.595389,0.138868,0.0022644,0.998879,0.267501,0.959169,0.00348489
3600,360,15,107,5,11,91,46,46,15,0,0,8,66.6667,0.0253513,0.194687,0.0967208,0.924456,0,10,10,10,0.103281,0.90987,0.570404,0,0,0,0,0.104061,0.189066,0.220919,0,0,0,0.79807,0,0.600368,0.591359,0.135781,0.00231379,0.998921,0.266421,0.964138,0.00134574
3800,380,15.8333,112,5,15,92,48,45,19,0,0,7,66.6667,0.0245291,0.235945,0.0856314,0.942702,0,10,10,10,0.0974218,1.00384,0.565806,0,0,0,0,0.0904153,0.173219,0.209687,0,0,0,0.798112,0,0.545124,0.587381,0.133015,0.00235739,0.998921,0.265304,0.968469,0.000516476
4000,400,16.6667,116,5,10,101,48,46,18,4,0,7,70.8333,0.0238083,0.282013,0.0768803,0.958954,0,8,8,8,0.092113,1.08837,0.561133,0,0,0,0,0.0784366,0.160302,0.199524,0,0,0,0.798196,0,0.486055,0.583458,0.130297,0.00239576,0.998983,0.264156,0.972247,0.00161556
4200,420,17.5,122,5,15,102,49,48,20,5,0,5,70.8333,0.0231732,0.322039,0.0709101,0.973804,0,6,6,6,0.0871998,1.14314,0.556409,0,0,0,0,0.067801,0.147187,0.190792,0,0,0,0.798378,0,0.42541,0.57959,0.127842,0.00242937,0.998983,0.262989,0.975549,0.00221091
4400,440,18.3333,124,5,14,105,49,51,20,4,0,5,100,0.0226101,0.376089,0.0639368,0.987415,0,5,5,5,0.0827745,1.19704,0.55163,0,0,0,0,0.0585455,0.132508,0.181764,0,0,0,0.798516,0,0.358296,0.575776,0.125016,0.00245856,0.999171,0.261818,0.978442,0.00107122
4600,460,19.1667,0,0,0,0,0,0,0,0,0,3,100,0.0221734,0.459837,0.0482534,0.998501,0,5,5,5,0.0788043,1.2477,0.556021,0,0,0,0,0.0504529,0.120651,0.171343,0,0,0,0.798635,0,0.247277,0.572012,0.121426,0.00249591,0.999921,0.261346,0.980955,0.000587623
