step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.330321,0.0363671,0,2,0,0,0.091264,0,0.0267349,0,0,0,0,0.2967,0.151809,0.205979,0,0,0,3.20023e-05,0,1,0.971321,0.179524,7.37298e-06,0.958349,0.011565,0.462364,0.0739578
400,40,1.66667,8,5,2,1,7,1,0,0,9,10,8.33333,0.0434798,7.61691e-05,0.496496,0.12189,0,4,0,0,0.091661,0,0.184694,0,0,0,0,0.448031,0.597711,0.202436,0,0,0,3.19759e-05,0,0.999798,0.807854,0.16176,6.24179e-05,0.998462,0.082878,0.70392,0.16739
600,60,2.5,12,5,5,2,11,1,0,0,8,9,12.5,0.0499219,0.0009027,0.407754,0.214004,0,4,4,0,0.223829,0,0.3744,0,0,0,0,0.525858,0.636783,0.220051,0,0,0,3.1963e-05,0,0.996177,0.654701,0.152892,0.000226599,0.998483,0.168778,0.75159,0.116968
800,80,3.33333,14,5,5,4,10,4,0,0,9,10,12.5,0.0522748,0.00168853,0.379581,0.293679,0,6,6,0,0.286185,0,0.50437,0,0,0,0,0.560893,0.602474,0.410242,0,0,0,3.19503e-05,0,0.989977,0.650668,0.157151,0.0004882,0.998483,0.227869,0.740667,0.0708487
1000,100,4.16667,18,5,7,6,12,6,0,0,5,10,20.8333,0.0520089,0.00297837,0.356521,0.368329,0,10,10,0,0.267639,0,0.55837,0,0,0,0,0.545698,0.566616,0.459414,0,0,0,3.19375e-05,0,0.979456,0.646561,0.159724,0.000781899,0.998524,0.252755,0.788169,0.0558661
1200,120,5,24,5,10,9,16,8,0,0,3,10,20.8333,0.0499964,0.00451797,0.320634,0.435978,0,10,10,0,0.265559,0,0.578118,0,0,0,0,0.51519,0.483179,0.477635,0,0,0,3.19248e-05,0,0.967064,0.642372,0.161075,0.00104129,0.998524,0.262192,0.820964,0.0230665
1400,140,5.83333,31,5,15,11,21,10,0,0,3,8,25,0.0471645,0.00597103,0.279805,0.496085,0,10,10,0,0.250549,0,0.588067,0,0,0,0,0.477464,0.404694,0.478948,0,0,0,3.1912e-05,0,0.954324,0.638105,0.161699,0.00125703,0.998545,0.267204,0.845592,0.00860531
1600,160,6.66667,36,5,15,16,22,14,0,0,2,9,29.1667,0.0440947,0.00810005,0.250359,0.549836,0,10,10,4,0.236957,0.026097,0.593184,0,0,0,0,0.433126,0.349737,0.46503,0,0,0,0.000125474,0,0.938624,0.633778,0.161198,0.00143583,0.998566,0.270034,0.865435,0.006194
1800,180,7.5,42,5,15,22,23,19,0,0,1,10,33.3333,0.0410986,0.0108417,0.234126,0.59845,0,10,10,6,0.216375,0.0560954,0.594471,0,0,0,0,0.385452,0.309019,0.426199,0,0,0,0.000364161,0,0.919876,0.629412,0.159836,0.00158606,0.998587,0.271133,0.882196,0.0048777
2000,200,8.33333,51,5,13,33,28,23,0,0,1,9,37.5,0.038331,0.0148049,0.212772,0.643345,0,10,10,10,0.19896,0.104844,0.59446,0,0,0,0,0.340396,0.269835,0.389577,0,0,0,0.00097747,0,0.899211,0.625036,0.158089,0.00171513,0.998608,0.271642,0.896726,0.00211324
2200,220,9.16667,56,5,13,38,28,28,0,0,0,10,37.5,0.0358546,0.0205711,0.176112,0.681824,0,10,10,10,0.192454,0.192593,0.594176,0,0,0,0,0.305253,0.240301,0.358491,0,0,0,0.00209343,0,0.876926,0.620671,0.15614,0.00182856,0.998608,0.272024,0.909461,0.00115637
2400,240,10,59,5,14,40,27,32,0,0,0,8,45.8333,0.0336798,0.02611,0.159252,0.715118,0,10,10,10,0.179555,0.282592,0.593465,0,0,0,0,0.269945,0.218289,0.332715,0,0,0,0.0134546,0,0.854365,0.616336,0.154337,0.00192993,0.99865,0.272208,0.920651,0.0012339
2600,260,10.8333,64,5,12,47,29,34,1,0,0,10,50,0.0317911,0.045599,0.144305,0.745469,0,10,10,10,0.164085,0.37259,0.59236,0,0,0,0,0.235627,0.252087,0.306989,0,0,0,0.145523,0,0.82069,0.612047,0.150938,0.0020216,0.998712,0.272209,0.930465,0.018961
2800,280,11.6667,66,5,12,49,28,36,2,0,0,9,50,0.0301613,0.0624522,0.135266,0.773536,0,10,10,10,0.148512,0.475485,0.590482,0,0,0,0,0.199737,0.26431,0.285608,0,0,0,0.433866,0,0.786331,0.607812,0.147956,0.00210511,0.998712,0.271857,0.939043,0.0134336
3000,300,12.5,69,5,11,53,29,37,3,0,0,9,58.3333,0.0287538,0.0884171,0.124295,0.799815,0,10,10,10,0.134679,0.580479,0.587633,0,0,0,0,0.169476,0.304745,0.266899,0,0,0,0.797859,0,0.747202,0.603628,0.144961,0.00218061,0.998816,0.271093,0.946516,0.015342
3200,320,13.3333,74,5,13,56,31,37,6,0,0,9,58.3333,0.0275331,0.126628,0.101368,0.822935,0,10,10,10,0.127654,0.685474,0.583991,0,0,0,0,0.145694,0.276391,0.250005,0,0,0,0.797867,0,0.700001,0.59949,0.141807,0.00224799,0.998837,0.270159,0.953016,0.00613187
3400,340,14.1667,78,5,15,58,32,38,8,0,0,9,62.5,0.0264699,0.164828,0.091101,0.842126,0,10,10,10,0.121508,0.790471,0.57984,0,0,0,0,0.125548,0.250542,0.235381,0,0,0,0.797881,0,0.649491,0.595396,0.138837,0.00230749,0.998879,0.269154,0.958668,0.00255983
3600,360,15,85,5,13,67,34,39,12,0,0,7,66.6667,0.0255407,0.208836,0.0815435,0.85946,0,10,10,10,0.110977,0.89547,0.575345,0,0,0,0,0.107053,0.229283,0.221888,0,0,0,0.7979,0,0.594318,0.591346,0.135728,0.00235972,0.998921,0.268092,0.963586,0.00112107
3800,380,15.8333,89,5,15,69,32,44,13,0,0,8,66.6667,0.0247246,0.246701,0.0732695,0.874975,0,8,8,8,0.102135,0.991544,0.570575,0,0,0,0,0.0913759,0.209967,0.210463,0,0,0,0.797956,0,0.538244,0.587342,0.132962,0.00240518,0.998921,0.266984,0.967873,0.000675019
4000,400,16.6667,94,5,19,70,37,42,15,0,0,7,66.6667,0.0240039,0.275787,0.0659602,0.888915,0,8,8,8,0.0949983,1.08154,0.565615,0,0,0,0,0.0784478,0.192616,0.201156,0,0,0,0.798027,0,0.48289,0.583389,0.130649,0.00244439,0.998921,0.265837,0.971619,0.000433259
