step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.328525,0.0361254,0,2,0,0,0.0912995,0,0.0267349,0,0,0,0,0.2967,0.126414,0.220885,0,0,0,3.20369e-05,0,1,0.976623,0.186016,7.37298e-06,0.958349,0.011565,0.462364,0.063045
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,8.33333,0.0434509,1.59606e-05,0.503429,0.122204,0,4,0,0,0.0916544,0,0.180199,0,0,0,0,0.448043,0.584317,0.202431,0,0,0,3.19761e-05,0,0.999958,0.78706,0.159678,6.09691e-05,0.998462,0.0808623,0.704972,0.1662
600,60,2.5,11,5,5,1,10,1,0,0,9,8,12.5,0.0497533,0.000838445,0.41071,0.216845,0,4,4,0,0.169709,0,0.358859,0,0,0,0,0.525256,0.744756,0.218536,0,0,0,3.19631e-05,0,0.996605,0.654696,0.152884,0.000215436,0.998483,0.161742,0.757314,0.123529
800,80,3.33333,12,5,4,3,9,3,0,0,11,8,16.6667,0.0518578,0.00191495,0.383601,0.296412,0,6,6,0,0.199157,0,0.47935,0,0,0,0,0.553014,0.759054,0.310262,0,0,0,3.19503e-05,0,0.989151,0.650637,0.157107,0.000453303,0.998503,0.216519,0.741143,0.0862457
1000,100,4.16667,18,5,8,5,14,4,0,0,7,10,20.8333,0.0514634,0.00352358,0.362235,0.371869,0,10,10,0,0.215099,0,0.547994,0,0,0,0,0.543067,0.708576,0.438074,0,0,0,3.19375e-05,0,0.977951,0.646479,0.1594,0.000724858,0.998524,0.247986,0.78911,0.0615763
1200,120,5,25,5,15,5,20,5,0,0,3,9,20.8333,0.0495814,0.0049951,0.335277,0.442387,0,10,10,0,0.199199,0,0.575769,0,0,0,0,0.506496,0.623412,0.475293,0,0,0,3.19248e-05,0,0.965678,0.642211,0.160737,0.000985436,0.998524,0.261042,0.822166,0.0308231
1400,140,5.83333,33,5,14,14,25,8,0,0,2,10,25,0.0468804,0.00641842,0.313675,0.507587,0,10,10,0,0.190371,0,0.586108,0,0,0,0,0.463831,0.512039,0.476199,0,0,0,3.1912e-05,0,0.95284,0.637837,0.161287,0.00120842,0.998545,0.266232,0.846792,0.0109351
1600,160,6.66667,39,5,14,20,26,13,0,0,1,10,25,0.0438952,0.0082419,0.272859,0.565036,0,10,10,4,0.184217,0.0176961,0.591441,0,0,0,0,0.424308,0.427007,0.466938,0,0,0,6.66707e-05,0,0.93797,0.633379,0.160935,0.00139383,0.998545,0.269161,0.866506,0.00463807
1800,180,7.5,45,5,11,29,26,19,0,0,1,9,29.1667,0.040955,0.0104569,0.254491,0.617887,0,10,10,6,0.169881,0.0484429,0.594179,0,0,0,0,0.379351,0.396219,0.432094,0,0,0,0.000289889,0,0.920971,0.62887,0.159874,0.00154969,0.998566,0.270915,0.883101,0.0182977
2000,200,8.33333,52,5,14,33,30,22,0,0,0,10,33.3333,0.038224,0.012584,0.242343,0.66778,0,10,10,10,0.161187,0.108061,0.594261,0,0,0,0,0.331243,0.407412,0.395818,0,0,0,0.00099113,0,0.90332,0.62434,0.158661,0.00168327,0.998587,0.271467,0.897467,0.0257489
2200,220,9.16667,57,5,14,38,30,27,0,0,0,10,37.5,0.0357677,0.016202,0.22017,0.714286,0,10,10,10,0.159511,0.21155,0.59356,0,0,0,0,0.287232,0.401361,0.364096,0,0,0,0.00230752,0,0.882779,0.61981,0.156777,0.00179971,0.998608,0.271661,0.910062,0.0154779
2400,240,10,61,5,13,43,32,29,0,0,0,8,45.8333,0.0336007,0.0252825,0.194902,0.755868,0,10,10,10,0.154019,0.325765,0.592371,0,0,0,0,0.248899,0.39564,0.335362,0,0,0,0.0143304,0,0.858189,0.615294,0.154048,0.00190266,0.99865,0.271632,0.921144,0.0089909
