step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.310018,0.0352001,0,2,0,0,0.0912481,0,0.0267349,0,0,0,0,0.2967,0.1124,0.213581,0,0,0,3.2011e-05,0,1,0.973709,0.182803,1.82065e-07,0.958349,0.011565,0.462364,0.0534933
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0435093,0,0.444608,0.112787,0,4,0,0,0.0925986,0,0.189374,0,0,0,0,0.448019,0.446902,0.202587,0,0,0,3.19758e-05,0,1,0.889002,0.169935,1.57955e-06,0.99842,0.0849827,0.702829,0.1245
600,60,2.5,12,5,7,0,12,0,0,0,10,6,0,0.0499761,0,0.364141,0.189022,0,4,2,0,0.19053,0,0.373416,0,0,0,0,0.526449,0.424434,0.218739,0,0,0,3.1963e-05,0,1,0.753157,0.162811,5.70642e-06,0.99842,0.168333,0.749653,0.0658258
800,80,3.33333,12,5,6,1,11,1,0,0,9,9,4.16667,0.0522155,9.86919e-05,0.346421,0.260159,0,6,6,0,0.221067,0,0.492757,0,0,0,0,0.553356,0.468867,0.376579,0,0,0,3.19503e-05,0,0.9993,0.650741,0.157246,1.20191e-05,0.998441,0.222622,0.7406,0.0633664
1000,100,4.16667,15,5,8,2,13,2,0,0,6,10,8.33333,0.0518497,0.000450584,0.319007,0.326739,0,10,10,0,0.228453,0,0.554363,0,0,0,0,0.545302,0.420992,0.449046,0,0,0,3.19375e-05,0,0.996405,0.646726,0.160204,1.90618e-05,0.998462,0.250929,0.788288,0.0338795
1200,120,5,16,5,8,3,13,3,0,0,5,10,8.33333,0.0498778,0.000993356,0.303584,0.389612,0,10,10,0,0.198584,0,0.576379,0,0,0,0,0.50414,0.374616,0.478754,0,0,0,3.19248e-05,0,0.991482,0.642663,0.162157,2.55459e-05,0.998462,0.261388,0.821213,0.0175235
1400,140,5.83333,19,5,10,4,15,4,0,0,2,8,8.33333,0.0470843,0.00146835,0.276654,0.447939,0,10,10,0,0.191867,0,0.586334,0,0,0,0,0.462398,0.320518,0.483241,0,0,0,3.1912e-05,0,0.986525,0.638553,0.163354,3.1001e-05,0.998462,0.266404,0.845872,0.00661669
1600,160,6.66667,25,5,15,5,20,5,0,0,2,8,8.33333,0.044039,0.00188404,0.254524,0.500908,0,10,10,2,0.178342,0.0147862,0.591568,0,0,0,0,0.415647,0.272704,0.473728,0,0,0,4.69686e-05,0,0.981568,0.634403,0.164,3.55398e-05,0.998462,0.269287,0.865699,0.00238301
1800,180,7.5,34,5,20,9,26,8,0,0,1,8,16.6667,0.041059,0.00272705,0.227794,0.548797,0,10,10,5,0.163993,0.0488224,0.594233,0,0,0,0,0.366827,0.24254,0.44283,0,0,0,0.000285526,0,0.972697,0.630227,0.164236,3.93627e-05,0.998504,0.271008,0.882425,0.00533666
