step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0294937,0,0.32943,0.0362727,0,2,0,0,0.091281,0,0.0267349,0,0,0,0,0.2967,0.116662,0.212906,0,0,0,3.20852e-05,0,1,0.973789,0.182541,7.37298e-06,0.958349,0.011565,0.462364,0.0557922
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,12.5,0.0434427,0.000246813,0.492832,0.121724,0,4,0,0,0.0916941,0,0.178598,0,0,0,0,0.448046,0.476881,0.202395,0,0,0,3.1976e-05,0,0.999346,0.803199,0.161278,6.05546e-05,0.998482,0.0801475,0.705292,0.138889
600,60,2.5,12,5,5,2,10,2,0,0,10,8,16.6667,0.0496842,0.00123309,0.401855,0.210133,0,4,3,0,0.176688,0,0.351984,0,0,0,0,0.532802,0.645776,0.218524,0,0,0,3.1963e-05,0,0.995261,0.654699,0.152879,0.0002109,0.998503,0.158637,0.759659,0.117478
800,80,3.33333,15,5,6,4,11,4,0,0,12,7,20.8333,0.0516772,0.00229241,0.366291,0.2874,0,6,6,0,0.223364,0,0.468791,0,0,0,0,0.565123,0.671698,0.314011,0,0,0,3.19503e-05,0,0.987956,0.65065,0.157104,0.000438406,0.998524,0.211735,0.741344,0.0880727
1000,100,4.16667,21,5,9,7,15,6,0,0,9,6,20.8333,0.0511799,0.00391766,0.347076,0.358528,0,10,10,0,0.239667,0,0.535929,0,0,0,0,0.557455,0.60146,0.409847,0,0,0,3.19375e-05,0,0.97697,0.6465,0.159363,0.000696507,0.998524,0.242499,0.789528,0.0463065
1200,120,5,28,5,13,10,19,9,0,0,5,6,20.8333,0.0492897,0.00533998,0.306312,0.423366,0,10,10,0,0.251005,0,0.572149,0,0,0,0,0.532231,0.498987,0.468158,0,0,0,3.19248e-05,0,0.965004,0.642234,0.160711,0.000950161,0.998524,0.259354,0.822806,0.0173398
1400,140,5.83333,34,5,14,15,19,15,0,0,3,5,25,0.04667,0.00663779,0.281638,0.482119,0,10,10,0,0.231294,0,0.585322,0,0,0,0,0.485334,0.419919,0.474506,0,0,0,3.1912e-05,0,0.952474,0.637863,0.161342,0.0011765,0.998545,0.265824,0.847514,0.0095852
1600,160,6.66667,43,5,19,19,24,19,0,0,0,10,29.1667,0.0437499,0.00874875,0.253652,0.536168,0,10,10,4,0.20571,0,0.590812,0,0,0,0,0.432196,0.363224,0.474335,0,0,0,3.18993e-05,0,0.936551,0.633415,0.16072,0.00136646,0.998566,0.268824,0.867189,0.0102369
1800,180,7.5,51,5,17,29,25,26,0,0,0,9,29.1667,0.0408521,0.0109947,0.253458,0.587312,0,10,10,6,0.179155,0.0141741,0.593725,0,0,0,0,0.374986,0.321744,0.459093,0,0,0,4.28049e-05,0,0.919204,0.628923,0.159661,0.00152615,0.998566,0.270658,0.883694,0.0106547
2000,200,8.33333,60,5,21,34,29,31,0,0,0,8,45.8333,0.0381503,0.0177539,0.237127,0.636993,0,10,10,10,0.162612,0.0401984,0.594461,0,0,0,0,0.324473,0.292074,0.429354,0,0,0,0.000227587,0,0.898651,0.624415,0.157749,0.00166302,0.99865,0.271506,0.897961,0.0112645
2200,220,9.16667,69,5,23,41,32,37,0,0,0,9,50,0.0357163,0.0338277,0.208694,0.681594,0,10,10,10,0.15387,0.0971967,0.593745,0,0,0,0,0.280067,0.255616,0.385863,0,0,0,0.000941351,0,0.868999,0.619921,0.15376,0.00178248,0.99867,0.271695,0.910459,0.0055315
2400,240,10,78,5,28,45,36,41,1,0,0,7,50,0.0335593,0.0501755,0.184344,0.720983,0,10,10,10,0.142751,0.149171,0.591968,0,0,0,0,0.241231,0.224145,0.350041,0,0,0,0.00171609,0,0.837343,0.615461,0.150329,0.00188713,0.998712,0.2714,0.921458,0.00252127
2600,260,10.8333,87,5,24,58,38,44,5,0,0,8,50,0.0316638,0.0685629,0.164772,0.75594,0,10,10,10,0.132489,0.20347,0.589186,0,0,0,0,0.20777,0.205219,0.320582,0,0,0,0.00933551,0,0.800986,0.611053,0.147392,0.00197868,0.998733,0.270754,0.931143,0.0038601
2800,280,11.6667,95,5,24,66,41,45,9,0,0,8,62.5,0.0300071,0.0988524,0.145907,0.787144,0,10,10,10,0.123766,0.269695,0.585622,0,0,0,0,0.178901,0.190271,0.29493,0,0,0,0.0994147,0,0.758477,0.606707,0.144301,0.00205876,0.998879,0.269942,0.939657,0.00393387
3000,300,12.5,105,5,28,72,44,49,12,0,0,9,66.6667,0.0285636,0.149698,0.126551,0.814401,0,10,10,10,0.115392,0.339895,0.581534,0,0,0,0,0.153875,0.175405,0.271293,0,0,0,0.298505,0,0.705397,0.602431,0.140644,0.00212888,0.998921,0.269026,0.947129,0.00188836
3200,320,13.3333,116,5,28,83,47,54,15,0,0,9,66.6667,0.0273076,0.201031,0.10967,0.83803,0,10,10,10,0.107509,0.416019,0.5771,0,0,0,0,0.132218,0.165489,0.250793,0,0,0,0.612939,0,0.648541,0.598227,0.13712,0.00219034,0.998921,0.268029,0.953672,0.0012464
3400,340,14.1667,122,5,23,94,50,51,21,0,0,9,66.6667,0.0262143,0.240477,0.0962498,0.85863,0,10,10,10,0.100855,0.500844,0.572431,0,0,0,0,0.113696,0.15998,0.234141,0,0,0,0.798357,0,0.592381,0.594096,0.134219,0.00224424,0.998921,0.266971,0.959391,0.00114648
3600,360,15,128,5,20,103,51,54,20,3,0,10,75,0.0252607,0.287592,0.0835957,0.876744,0,9,9,9,0.0952337,0.592043,0.567596,0,0,0,0,0.0981441,0.162594,0.219378,0,0,0,0.798275,0,0.531523,0.590035,0.131325,0.00229143,0.999046,0.265863,0.964387,0.00311907
3800,380,15.8333,130,5,18,107,48,55,19,8,0,9,79.1667,0.0244267,0.348238,0.0711791,0.892212,0,7,7,7,0.090914,0.684142,0.562694,0,0,0,0,0.0855982,0.157698,0.205378,0,0,0,0.798211,0,0.46246,0.586042,0.128122,0.00233268,0.999108,0.264716,0.96875,0.00136842
4000,400,16.6667,133,5,19,109,48,56,21,8,0,8,100,0.0236951,0.412366,0.0607754,0.905416,0,7,7,7,0.0874243,0.751192,0.557827,0,0,0,0,0.0753283,0.146797,0.192246,0,0,0,0.798279,0,0.387341,0.582113,0.124767,0.00236876,0.999171,0.263548,0.972562,0.000588955
4200,420,17.5,0,0,0,0,0,0,0,0,0,8,100,0.0231264,0.484145,0.0466611,0.915884,0,6,6,6,0.084146,0.810741,0.563704,0,0,0,0,0.0663696,0.156595,0.180021,0,0,0,0.798373,0,0.240291,0.578252,0.121366,0.00241377,0.999921,0.263625,0.975863,0.0108982
4400,440,18.3333,0,0,0,0,0,0,0,0,0,8,100,0.0227238,0.53224,0.0386778,0.924437,0,5,5,5,0.080903,0.864364,0.567426,0,0,0,0,0.058477,0.190655,0.169944,0,0,0,0.798463,0,0.129915,0.574441,0.118489,0.00247216,0.999921,0.265338,0.978607,0.0167226
4600,460,19.1667,0,0,0,0,0,0,0,0,0,7,100,0.0224229,0.564467,0.0315221,0.931452,0,5,5,5,0.0777975,0.908163,0.569713,0,0,0,0,0.0516964,0.214734,0.16158,0,0,0,0.798562,0,0.0183171,0.570668,0.116023,0.00253578,0.999921,0.266498,0.980828,0.0129534
4800,480,20,0,0,0,0,0,0,0,0,0,4,100,0.0221855,0.58606,0.0246957,0.937036,0,4,4,4,0.0748966,0.948511,0.570923,0,0,0,0,0.0459065,0.182312,0.154604,0,0,0,0.79866,0,9.52293e-07,0.566927,0.113887,0.00260013,0.999921,0.267396,0.98261,0.00455878
5000,500,20.8333,0,0,0,0,0,0,0,0,0,1,100,0.0219882,0.600529,0.0200974,0.941493,0,4,4,4,0.0721808,0.98151,0.571265,0,0,0,0,0.0405141,0.154535,0.148755,0,0,0,0.798776,0,9.52293e-07,0.563214,0.112019,0.00266264,0.999921,0.267983,0.984041,0.00160528
5200,520,21.6667,0,0,0,0,0,0,0,0,0,1,100,0.0218148,0.610224,0.0210069,0.94568,0,0,0,0,0.0696752,0.98181,0.570733,0,0,0,0,0.0349529,0.173039,0.143831,0,0,0,0.799006,0,9.52293e-07,0.559529,0.11037,0.00272157,0.999921,0.268171,0.985206,0.0167931
5400,540,22.5,0,0,0,0,0,0,0,0,0,1,100,0.0216514,0.61672,0.0189792,0.949712,0,0,0,0,0.0674394,0.98181,0.569171,0,0,0,0,0.0295698,0.189029,0.139664,0,0,0,0.79918,0,9.52293e-07,0.555871,0.108902,0.0027752,0.999921,0.267891,0.986175,0.0151075
5600,560,23.3333,0,0,0,0,0,0,0,0,0,1,100,0.0214861,0.621072,0.0163594,0.953254,0,0,0,0,0.065469,0.98181,0.566521,0,0,0,0,0.0246925,0.201389,0.136111,0,0,0,0.799312,0,9.52293e-07,0.552238,0.10758,0.00282186,0.999921,0.267134,0.987011,0.010364
5800,580,24.1667,0,0,0,0,0,0,0,0,0,0,100,0.0213104,0.623989,0.0121317,0.956147,0,0,0,0,0.0654249,0.98181,0.562904,0,0,0,0,0.0208722,0.191573,0.133052,0,0,0,0.799412,0,9.52293e-07,0.548625,0.106374,0.00286036,0.999921,0.266075,0.987767,0.00527557
6000,600,25,0,0,0,0,0,0,0,0,0,0,100,0.0211212,0.625943,0.0105251,0.958412,0,0,0,0,0.0635029,0.98181,0.558578,0,0,0,0,0.0171042,0.152926,0.130389,0,0,0,0.799499,0,9.52293e-07,0.545031,0.105259,0.00289038,0.999921,0.264945,0.988487,0.00185654
6200,620,25.8333,0,0,0,0,0,0,0,0,0,0,100,0.0209181,0.627252,0.00913978,0.960377,0,0,0,0,0.0618814,0.98181,0.55369,0,0,0,0,0.0139664,0.12213,0.128056,0,0,0,0.799575,0,9.52293e-07,0.541455,0.104222,0.0029122,0.999921,0.263765,0.989199,0.000653679
6400,640,26.6667,0,0,0,0,0,0,0,0,0,1,100,0.0207028,0.62813,0.0120684,0.962575,0,0,0,0,0.0605062,0.98181,0.548415,0,0,0,0,0.0113758,0.145161,0.126004,0,0,0,0.799634,0,9.52293e-07,0.537902,0.103254,0.00292638,0.999921,0.262545,0.989921,0.0163991
6600,660,27.5,0,0,0,0,0,0,0,0,0,1,100,0.020478,0.628718,0.0115233,0.964972,0,0,0,0,0.0593318,0.98181,0.542925,0,0,0,0,0.00924993,0.165762,0.124191,0,0,0,0.799673,0,9.52293e-07,0.534374,0.102346,0.00293382,0.999922,0.261317,0.990662,0.0150518
6800,680,28.3333,0,0,0,0,0,0,0,0,0,2,100,0.0202471,0.629112,0.0135862,0.967436,0,0,0,0,0.0583208,0.98181,0.537328,0,0,0,0,0.00751288,0.21824,0.122571,0,0,0,0.799693,0,9.52293e-07,0.53087,0.101487,0.0029355,0.999922,0.260096,0.991426,0.0249933
7000,700,29.1667,0,0,0,0,0,0,0,0,0,1,100,0.0200134,0.629376,0.00863895,0.969846,0,0,0,0,0.0624698,0.98181,0.531741,0,0,0,0,0.00744889,0.255001,0.121097,0,0,0,0.799691,0,9.52293e-07,0.527385,0.100662,0.00293243,0.999922,0.258885,0.99221,0.0212337
7200,720,30,0,0,0,0,0,0,0,0,0,1,100,0.0197815,0.629552,0.00853095,0.971598,0,0,0,0,0.0604388,0.98181,0.526398,0,0,0,0,0.00586903,0.252664,0.119722,0,0,0,0.799688,0,9.52293e-07,0.523912,0.0998585,0.00292589,0.999922,0.257681,0.993006,0.0133718
