step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.331483,0.0364137,0,2,0,0,0.0912585,0,0.0267349,0,0,0,0,0.2967,0.135283,0.202008,0,0,0,3.20206e-05,0,1,0.969945,0.177797,7.37298e-06,0.958349,0.011565,0.462364,0.0644328
400,40,1.66667,10,5,4,1,9,1,0,0,9,10,12.5,0.0434441,0.000184748,0.492886,0.121883,0,4,0,0,0.0916082,0,0.179015,0,0,0,0,0.448045,0.475559,0.202397,0,0,0,3.19764e-05,0,0.999512,0.806334,0.161592,6.06291e-05,0.998482,0.0803313,0.705237,0.134355
600,60,2.5,12,5,5,2,10,2,0,0,7,10,12.5,0.0497495,0.00106023,0.384887,0.212258,0,4,4,0,0.200217,0,0.361425,0,0,0,0,0.527092,0.615066,0.218544,0,0,0,3.1963e-05,0,0.995804,0.6547,0.152887,0.000215065,0.998483,0.162903,0.757485,0.115591
800,80,3.33333,14,5,5,4,10,4,0,0,10,10,12.5,0.0519254,0.0018264,0.367069,0.286521,0,6,6,0,0.230478,0,0.485454,0,0,0,0,0.556793,0.664317,0.347136,0,0,0,3.19503e-05,0,0.989928,0.65066,0.15714,0.000458334,0.998483,0.219283,0.741115,0.0863976
1000,100,4.16667,16,5,5,6,10,6,0,0,5,10,20.8333,0.0515838,0.00310039,0.343676,0.359075,0,10,10,0,0.239593,0,0.552223,0,0,0,0,0.545872,0.630457,0.444848,0,0,0,3.19375e-05,0,0.980436,0.646535,0.159588,0.000736367,0.998524,0.24991,0.788968,0.0589877
1200,120,5,21,5,8,8,13,8,0,0,5,9,20.8333,0.0496848,0.00462475,0.294029,0.422251,0,10,10,0,0.246211,0,0.576714,0,0,0,0,0.521032,0.541147,0.479852,0,0,0,3.19248e-05,0,0.968108,0.642312,0.160932,0.000997936,0.998524,0.261487,0.821933,0.0247538
1400,140,5.83333,28,5,12,11,17,11,0,0,1,9,25,0.0469505,0.00624476,0.273084,0.479526,0,10,10,0,0.229386,0,0.586853,0,0,0,0,0.47702,0.463337,0.483448,0,0,0,3.1912e-05,0,0.954761,0.637995,0.161381,0.00121922,0.998545,0.266586,0.846537,0.0103076
1600,160,6.66667,34,5,14,15,19,15,0,0,0,10,29.1667,0.043944,0.00852231,0.259612,0.533088,0,10,10,4,0.228194,0.0431918,0.592158,0,0,0,0,0.428464,0.412321,0.456257,0,0,0,0.000249662,0,0.938428,0.633605,0.160729,0.0014031,0.998566,0.269502,0.866269,0.0104124
1800,180,7.5,41,5,14,22,19,22,0,0,0,10,29.1667,0.0409898,0.0107965,0.250592,0.584207,0,10,10,6,0.207118,0.103185,0.594464,0,0,0,0,0.375204,0.363114,0.416315,0,0,0,0.000952349,0,0.921082,0.629168,0.159741,0.00155766,0.998566,0.271061,0.882896,0.00706956
2000,200,8.33333,48,5,18,25,23,25,0,0,0,10,33.3333,0.0382504,0.0130764,0.225495,0.633169,0,10,10,10,0.194243,0.183879,0.594459,0,0,0,0,0.328351,0.368036,0.382706,0,0,0,0.00196522,0,0.90277,0.624712,0.158487,0.00169031,0.998587,0.271575,0.897296,0.0183657
2200,220,9.16667,57,5,23,29,28,29,0,0,0,8,41.6667,0.0357932,0.0181984,0.198518,0.675732,0,10,10,10,0.192265,0.30387,0.594084,0,0,0,0,0.290982,0.347469,0.352903,0,0,0,0.00391377,0,0.881127,0.620257,0.156466,0.00180664,0.998629,0.271916,0.909919,0.0108588
2400,240,10,63,5,23,35,28,35,0,0,0,8,45.8333,0.033628,0.0288557,0.16493,0.711603,0,10,10,10,0.190317,0.423863,0.592999,0,0,0,0,0.25762,0.319769,0.325605,0,0,0,0.0937894,0,0.855247,0.615821,0.153573,0.00190986,0.99865,0.271932,0.921018,0.00560363
2600,260,10.8333,70,5,25,40,32,38,0,0,0,8,45.8333,0.0317384,0.0399936,0.155896,0.743976,0,10,10,10,0.17182,0.543859,0.591134,0,0,0,0,0.219391,0.289071,0.302336,0,0,0,0.383265,0,0.828188,0.611417,0.150759,0.00200193,0.99865,0.271598,0.930768,0.00244733
2800,280,11.6667,74,5,22,47,31,38,5,0,0,9,50,0.0300959,0.0568598,0.13138,0.772906,0,10,10,10,0.165304,0.663857,0.588295,0,0,0,0,0.191723,0.267946,0.28289,0,0,0,0.797334,0,0.794498,0.607058,0.148221,0.00208394,0.998754,0.270881,0.939313,0.00334329
3000,300,12.5,82,5,28,49,35,39,8,0,0,8,58.3333,0.0286702,0.0863976,0.112746,0.797369,0,10,10,10,0.161028,0.783856,0.584902,0,0,0,0,0.170703,0.248135,0.264432,0,0,0,0.797405,0,0.75251,0.602758,0.145056,0.00215682,0.998837,0.270016,0.946784,0.00214489
3200,320,13.3333,92,5,33,54,42,39,11,0,0,7,62.5,0.0274357,0.138099,0.0959252,0.818188,0,10,10,10,0.151602,0.903855,0.581289,0,0,0,0,0.151443,0.230853,0.246424,0,0,0,0.797462,0,0.700255,0.598524,0.141235,0.00222193,0.998879,0.26916,0.953303,0.00109563
3400,340,14.1667,101,5,36,60,45,43,13,0,0,7,66.6667,0.0263679,0.184883,0.0849475,0.836182,0,10,10,10,0.138324,1.02385,0.57752,0,0,0,0,0.131388,0.217098,0.231072,0,0,0,0.797509,0,0.646076,0.594359,0.137794,0.00228046,0.998921,0.268284,0.958978,0.000664299
