step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0293782,0,0.33083,0.036369,0,2,0,0,0.091291,0,0.022017,0,0,0,0,0.118692,0.101607,0.223795,0,0,0,3.20297e-05,0,1,0.977513,0.187269,6.02189e-06,0.958349,0.00952457,0.463113,0.0495197
400,40,1.66667,7,5,1,1,6,1,0,0,9,10,4.16667,0.0428172,7.24679e-05,0.51508,0.123886,0,4,0,0,0.0914999,0,0.0937697,0,0,0,0,0.179331,0.56068,0.202446,0,0,0,3.19762e-05,0,0.999808,0.770065,0.157985,4.00548e-05,0.959014,0.0419522,0.730753,0.168317
600,60,2.5,11,5,5,1,10,1,0,0,12,10,8.33333,0.0478714,0.000604264,0.453947,0.219701,0,4,0,0,0.127663,0,0.180289,0,0,0,0,0.20921,0.808123,0.218535,0,0,0,3.1963e-05,0,0.998313,0.65469,0.152883,0.000117509,0.998462,0.081126,0.844757,0.137686
800,80,3.33333,13,5,6,2,11,2,0,0,12,10,12.5,0.048493,0.00126758,0.411476,0.307092,0,6,4,0,0.19679,0,0.252328,0,0,0,0,0.223119,0.879883,0.230032,0,0,0,3.19503e-05,0,0.996006,0.6506,0.157073,0.000225241,0.998483,0.113839,0.876591,0.106746
1000,100,4.16667,15,5,6,4,11,4,0,0,7,9,16.6667,0.0468552,0.00213551,0.360941,0.383806,0,10,9,0,0.26002,0,0.308143,0,0,0,0,0.226846,0.751156,0.312576,0,0,0,3.19375e-05,0,0.991884,0.64636,0.159804,0.000346149,0.998503,0.139289,0.86746,0.0509253
1200,120,5,19,5,8,6,13,6,0,0,7,8,20.8333,0.0441656,0.00374354,0.335125,0.452961,0,10,10,0,0.246193,0,0.34762,0,0,0,0,0.214457,0.620764,0.462904,0,0,0,3.19248e-05,0,0.984942,0.64195,0.160894,0.000468045,0.998524,0.157409,0.842507,0.0199026
1400,140,5.83333,24,5,10,9,16,8,0,0,3,9,20.8333,0.0410762,0.0051876,0.318865,0.519358,0,10,10,0,0.223002,0,0.374376,0,0,0,0,0.195473,0.51589,0.47056,0,0,0,3.1912e-05,0,0.977261,0.637391,0.161296,0.000582685,0.998524,0.169817,0.861381,0.00929827
1600,160,6.66667,30,5,13,12,18,12,0,0,2,10,25,0.0379516,0.00661656,0.292918,0.580895,0,10,10,0,0.206141,0,0.39231,0,0,0,0,0.176947,0.444222,0.47431,0,0,0,3.18993e-05,0,0.968789,0.632719,0.161104,0.000686458,0.998545,0.178261,0.883208,0.0122028
1800,180,7.5,37,5,9,23,23,14,0,0,1,10,25,0.0349891,0.0084153,0.267222,0.637623,0,10,10,5,0.180219,0.00629895,0.404283,0,0,0,0,0.156181,0.418845,0.466947,0,0,0,3.18866e-05,0,0.958748,0.627978,0.16022,0.000778705,0.998545,0.184025,0.90127,0.0175397
2000,200,8.33333,43,5,12,26,25,18,0,0,0,9,25,0.032284,0.00998944,0.239479,0.688895,0,10,10,9,0.170885,0.0307451,0.412119,0,0,0,0,0.138949,0.371823,0.43674,0,0,0,0.000157926,0,0.948509,0.623206,0.159286,0.000860142,0.998545,0.187927,0.91659,0.0097791
2200,220,9.16667,46,5,13,28,28,18,0,0,0,10,29.1667,0.0298718,0.0119109,0.217913,0.734179,0,10,10,10,0.165695,0.0661412,0.417116,0,0,0,0,0.12336,0.32572,0.399187,0,0,0,0.000519103,0,0.936853,0.61843,0.157878,0.000931999,0.998566,0.190549,0.929765,0.0104588
2400,240,10,52,5,15,32,30,22,0,0,0,9,33.3333,0.0277549,0.0171076,0.211372,0.777173,0,10,10,10,0.15101,0.0944392,0.42013,0,0,0,0,0.105669,0.310033,0.366543,0,0,0,0.00088919,0,0.923099,0.613678,0.155882,0.000995677,0.998587,0.192277,0.94117,0.0141796
2600,260,10.8333,60,5,20,35,34,26,0,0,0,10,41.6667,0.0259154,0.0240866,0.199676,0.818469,0,10,10,10,0.138659,0.133488,0.42157,0,0,0,0,0.0896247,0.311957,0.337694,0,0,0,0.00152758,0,0.907101,0.608968,0.153317,0.00105232,0.998629,0.193291,0.951062,0.0146918
2800,280,11.6667,66,5,20,41,33,33,0,0,0,10,41.6667,0.0243251,0.032257,0.184879,0.856953,0,10,10,10,0.127655,0.177087,0.421756,0,0,0,0,0.075962,0.301312,0.31285,0,0,0,0.00335966,0,0.889719,0.604314,0.150647,0.00110268,0.998629,0.193737,0.959638,0.0135484
3000,300,12.5,79,5,22,52,42,35,2,0,0,9,45.8333,0.0229534,0.0439805,0.167734,0.892303,0,10,10,10,0.118047,0.222786,0.420985,0,0,0,0,0.0644794,0.269211,0.291892,0,0,0,0.0269971,0,0.869658,0.599719,0.148135,0.00114738,0.998712,0.193812,0.967066,0.00573319
