step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.334706,0.0366428,0,2,0,0,0.0912619,0,0.022017,0,0,0,0,0.296729,0.145618,0.201582,0,0,0,3.20891e-05,0,1,0.969835,0.177616,6.02189e-06,0.958349,0.00952457,0.463113,0.0703712
400,40,1.66667,8,5,2,1,7,1,0,0,9,10,8.33333,0.0430605,3.34756e-05,0.513296,0.124034,0,4,0,0,0.0914273,0,0.166924,0,0,0,0,0.448222,0.560216,0.202413,0,0,0,3.19761e-05,0,0.999913,0.782492,0.159215,5.15788e-05,0.998462,0.0749711,0.710186,0.157694
600,60,2.5,11,5,5,1,10,1,0,0,9,9,8.33333,0.0489752,0.00062833,0.422159,0.220311,0,4,3,0,0.196099,0,0.339426,0,0,0,0,0.528634,0.70981,0.218495,0,0,0,3.1963e-05,0,0.997761,0.654675,0.152866,0.000184574,0.998462,0.153039,0.769988,0.122967
800,80,3.33333,14,5,5,4,10,4,0,0,11,8,16.6667,0.0507447,0.00131911,0.372688,0.298477,0,6,6,0,0.253428,0,0.457611,0,0,0,0,0.563358,0.655595,0.3114,0,0,0,3.19503e-05,0,0.993281,0.650284,0.156693,0.000392354,0.998503,0.20674,0.744498,0.067216
1000,100,4.16667,20,5,10,5,15,5,0,0,10,5,16.6667,0.0498407,0.00235247,0.350443,0.369866,0,10,10,0,0.247423,0,0.489587,0,0,0,0,0.550181,0.546995,0.408087,0,0,0,3.19375e-05,0,0.985155,0.645389,0.158757,0.000609607,0.998503,0.221598,0.791973,0.0293305
1200,120,5,26,5,14,7,20,6,0,0,7,3,20.8333,0.047312,0.00374174,0.34471,0.439189,0,10,10,0,0.218292,0,0.489588,0,0,0,0,0.513035,0.45616,0.465783,0,0,0,3.19248e-05,0,0.975631,0.640182,0.15929,0.000790785,0.998524,0.222036,0.826439,0.011507
1400,140,5.83333,31,5,12,14,20,11,0,0,3,5,20.8333,0.0441119,0.00518602,0.306257,0.503933,0,10,10,0,0.223843,0,0.489588,0,0,0,0,0.471529,0.37719,0.464961,0,0,0,3.1912e-05,0,0.965424,0.634814,0.159077,0.000936217,0.998524,0.222471,0.852686,0.00436549
1600,160,6.66667,41,5,15,21,24,17,0,0,2,4,29.1667,0.040778,0.00747897,0.275642,0.562363,0,10,10,4,0.225935,0.0291349,0.489588,0,0,0,0,0.428595,0.317349,0.446557,0,0,0,0.000148623,0,0.952329,0.629396,0.157712,0.00105287,0.998566,0.222901,0.873965,0.00172783
1800,180,7.5,46,5,14,27,25,21,0,0,2,2,33.3333,0.037592,0.0103158,0.254058,0.615044,0,10,10,6,0.210491,0.065096,0.489588,0,0,0,0,0.381198,0.270789,0.406006,0,0,0,0.000547643,0,0.936836,0.624013,0.155733,0.00114813,0.998587,0.223328,0.891936,0.000875517
