step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.330499,0.0363806,0,2,0,0,0.0912597,0,0.022017,0,0,0,0,0.296729,0.14229,0.2047,0,0,0,3.20058e-05,0,1,0.970854,0.178965,6.02189e-06,0.958349,0.00952457,0.463113,0.0675938
400,40,1.66667,8,5,2,1,7,1,0,0,9,10,4.16667,0.0431041,0.000112455,0.498183,0.122023,0,4,0,0,0.0916178,0,0.174118,0,0,0,0,0.448204,0.549947,0.202469,0,0,0,3.1976e-05,0,0.9997,0.802262,0.161214,5.37055e-05,0.998441,0.0781947,0.708546,0.157131
600,60,2.5,12,5,5,2,10,2,0,0,8,10,8.33333,0.0491631,0.000576497,0.446429,0.21579,0,4,4,0,0.185635,0,0.351424,0,0,0,0,0.528799,0.643861,0.218562,0,0,0,3.1963e-05,0,0.997686,0.654699,0.152895,0.000196745,0.998462,0.158464,0.763525,0.117752
800,80,3.33333,15,5,7,3,12,3,0,0,9,10,8.33333,0.0510184,0.00110355,0.40097,0.301014,0,6,6,0,0.237255,0,0.461926,0,0,0,0,0.561812,0.631156,0.396025,0,0,0,3.19503e-05,0,0.993881,0.650653,0.15714,0.000415505,0.998462,0.208726,0.743736,0.0665101
1000,100,4.16667,20,5,10,5,15,5,0,0,5,8,16.6667,0.0500332,0.00197195,0.344496,0.376838,0,10,10,0,0.259365,0,0.489589,0,0,0,0,0.558374,0.559858,0.468909,0,0,0,3.19375e-05,0,0.987072,0.646517,0.159972,0.000631851,0.998503,0.22164,0.791396,0.0287267
1200,120,5,24,5,11,8,16,8,0,0,4,6,25,0.0474435,0.00408986,0.306841,0.442515,0,10,10,0,0.237595,0,0.489589,0,0,0,0,0.52363,0.477666,0.481561,0,0,0,3.19248e-05,0,0.975609,0.64228,0.160824,0.000810431,0.998545,0.222077,0.82587,0.0106442
1400,140,5.83333,32,5,15,12,21,11,0,0,2,7,29.1667,0.0442042,0.00625342,0.289559,0.501308,0,10,10,0,0.205979,0,0.489589,0,0,0,0,0.475128,0.426523,0.482926,0,0,0,3.1912e-05,0,0.963228,0.637954,0.160912,0.000953259,0.998566,0.222511,0.852181,0.0118506
1600,160,6.66667,39,5,18,16,23,16,0,0,0,9,29.1667,0.0408443,0.00881094,0.278592,0.558124,0,10,10,4,0.188545,0.0390719,0.489589,0,0,0,0,0.41935,0.371766,0.45957,0,0,0,0.000216389,0,0.948938,0.633564,0.16015,0.0010676,0.998566,0.222941,0.87354,0.00797465
1800,180,7.5,48,5,16,27,26,22,0,0,0,9,33.3333,0.0376407,0.0113097,0.263683,0.6129,0,10,10,6,0.175269,0.0990691,0.489589,0,0,0,0,0.367737,0.345947,0.418538,0,0,0,0.000922327,0,0.933935,0.629136,0.159072,0.0011609,0.998587,0.223367,0.89159,0.0102983
