step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.330573,0.0361444,0,2,0,0,0.0913082,0,0.022017,0,0,0,0,0.118692,0.155891,0.2168,0,0,0,3.19993e-05,0,1,0.975341,0.184254,6.02189e-06,0.958349,0.00952457,0.463113,0.076406
400,40,1.66667,8,5,2,1,7,1,0,0,9,10,8.33333,0.0428515,4.61668e-05,0.499989,0.122301,0,4,0,0,0.0913943,0,0.0995782,0,0,0,0,0.179326,0.552877,0.202416,0,0,0,3.19758e-05,0,0.999879,0.777853,0.158752,4.16896e-05,0.970448,0.0445539,0.729043,0.152768
600,60,2.5,10,5,4,1,9,1,0,0,11,10,8.33333,0.0480469,0.000639436,0.485317,0.218192,0,4,4,0,0.165464,0,0.193978,0,0,0,0,0.210455,0.717593,0.218543,0,0,0,3.1963e-05,0,0.998206,0.654693,0.152887,0.000127782,0.998462,0.0873147,0.838263,0.130334
800,80,3.33333,13,5,6,2,11,2,0,0,11,10,12.5,0.0488413,0.00134458,0.462213,0.31486,0,6,6,0,0.193037,0,0.26937,0,0,0,0,0.219811,0.791772,0.274766,0,0,0,3.19503e-05,0,0.995481,0.650603,0.157073,0.000249469,0.998483,0.121572,0.86425,0.105455
1000,100,4.16667,15,5,6,4,11,4,0,0,6,10,16.6667,0.0473316,0.0022145,0.38526,0.399137,0,10,10,0,0.205457,0,0.3244,0,0,0,0,0.215371,0.771733,0.427532,0,0,0,3.19375e-05,0,0.991327,0.646098,0.159375,0.000384743,0.998503,0.146696,0.850535,0.074935
1200,120,5,21,5,11,5,16,5,0,0,5,10,20.8333,0.0446971,0.0037092,0.34863,0.471481,0,10,10,0,0.201507,0,0.361341,0,0,0,0,0.202775,0.672837,0.475253,0,0,0,3.19248e-05,0,0.984545,0.641088,0.159831,0.000517539,0.998524,0.163698,0.839699,0.0410756
1400,140,5.83333,27,5,12,10,18,9,0,0,4,10,20.8333,0.0416075,0.00515754,0.311758,0.537318,0,10,10,0,0.19202,0,0.385498,0,0,0,0,0.1867,0.631671,0.473563,0,0,0,3.1912e-05,0,0.976414,0.635749,0.159556,0.000638813,0.998524,0.174952,0.859888,0.041285
1600,160,6.66667,36,5,18,13,25,11,0,0,3,8,25,0.0384508,0.00675788,0.290147,0.59919,0,10,10,3,0.174471,0.0189682,0.401269,0,0,0,0,0.166825,0.591569,0.454845,0,0,0,7.47765e-05,0,0.967121,0.630227,0.15859,0.000745575,0.998545,0.182434,0.881605,0.0331987
1800,180,7.5,44,5,20,19,28,16,0,0,1,5,29.1667,0.0354407,0.0088322,0.254101,0.65406,0,10,10,5,0.175238,0.0620067,0.411468,0,0,0,0,0.149137,0.541159,0.415511,0,0,0,0.000466994,0,0.955918,0.624624,0.156928,0.000838097,0.998566,0.187408,0.899645,0.0197805
2000,200,8.33333,51,5,17,29,30,21,0,0,0,8,33.3333,0.0326832,0.0113682,0.226948,0.702281,0,10,10,9,0.183679,0.119223,0.417944,0,0,0,0,0.13256,0.458784,0.378957,0,0,0,0.00118588,0,0.942823,0.619016,0.154751,0.000917994,0.998587,0.190705,0.915011,0.00882656
2200,220,9.16667,58,5,15,38,31,27,0,0,0,10,41.6667,0.03022,0.0172222,0.208035,0.745613,0,10,10,10,0.181901,0.20629,0.421886,0,0,0,0,0.115834,0.398575,0.346553,0,0,0,0.00253661,0,0.927084,0.613461,0.151881,0.000987255,0.998629,0.192857,0.928281,0.0075358
2400,240,10,61,5,12,44,30,31,0,0,0,9,50,0.0280556,0.0286732,0.190312,0.785648,0,10,10,10,0.167586,0.294636,0.424005,0,0,0,0,0.0994158,0.344972,0.317058,0,0,0,0.0198164,0,0.908141,0.608006,0.148254,0.00104771,0.998671,0.194184,0.939807,0.00355212
2600,260,10.8333,66,5,15,46,32,34,0,0,0,10,50,0.026173,0.0433969,0.171484,0.821772,0,10,10,10,0.153082,0.383434,0.42474,0,0,0,0,0.0852639,0.316429,0.290643,0,0,0,0.161422,0,0.886918,0.602683,0.144293,0.0011008,0.998671,0.194887,0.949833,0.00895933
2800,280,11.6667,71,5,16,50,33,36,2,0,0,10,50,0.0245455,0.0596899,0.153617,0.854438,0,10,10,10,0.139525,0.470656,0.424446,0,0,0,0,0.0731841,0.292319,0.269122,0,0,0,0.448595,0,0.863345,0.597512,0.141011,0.00114761,0.998712,0.195167,0.958545,0.00667179
3000,300,12.5,80,5,20,55,39,36,5,0,0,8,50,0.0231432,0.0765824,0.137136,0.883596,0,10,10,10,0.12714,0.546478,0.423386,0,0,0,0,0.0629191,0.305085,0.251648,0,0,0,0.797869,0,0.837326,0.592501,0.138304,0.00118902,0.998733,0.195205,0.966104,0.0100837
3200,320,13.3333,89,5,20,64,42,40,7,0,0,8,62.5,0.0219367,0.112397,0.119616,0.909325,0,10,10,10,0.11645,0.627323,0.421773,0,0,0,0,0.0542014,0.328213,0.235252,0,0,0,0.797893,0,0.805824,0.587645,0.135176,0.00122576,0.998858,0.195095,0.972648,0.0130438
3400,340,14.1667,92,5,17,70,41,41,10,0,0,10,62.5,0.0208989,0.157777,0.101792,0.931428,0,10,10,10,0.107368,0.71192,0.419769,0,0,0,0,0.046802,0.300021,0.220317,0,0,0,0.797897,0,0.769879,0.582933,0.131938,0.00125842,0.998858,0.194869,0.978305,0.0088832
3600,360,15,98,5,20,73,42,42,14,0,0,9,62.5,0.0200053,0.192839,0.0881862,0.950407,0,10,10,10,0.0995952,0.792316,0.417495,0,0,0,0,0.0405117,0.264559,0.208359,0,0,0,0.797913,0,0.734313,0.57835,0.129322,0.00128753,0.998858,0.194549,0.98319,0.00351542
3800,380,15.8333,106,5,17,84,45,47,14,0,0,7,66.6667,0.0192345,0.225707,0.0779594,0.967068,0,9,9,9,0.0928202,0.870762,0.415035,0,0,0,0,0.0350858,0.23545,0.198149,0,0,0,0.79794,0,0.697799,0.573888,0.126941,0.00131353,0.9989,0.194155,0.987405,0.00149402
4000,400,16.6667,110,5,13,92,44,49,15,2,0,6,75,0.0185676,0.269831,0.069225,0.98185,0,8,8,8,0.0870353,0.944935,0.412431,0,0,0,0,0.030372,0.211222,0.188387,0,0,0,0.797995,0,0.656828,0.56954,0.124361,0.00133676,0.999046,0.1937,0.991044,0.00108774
4200,420,17.5,117,5,18,94,47,51,16,3,0,5,75,0.0179882,0.333384,0.0611388,0.994879,0,6,6,6,0.0819194,1.00223,0.40972,0,0,0,0,0.0262531,0.186589,0.178292,0,0,0,0.798142,0,0.607699,0.565303,0.12134,0.00135748,0.999046,0.193195,0.994188,0.000582231
4400,440,18.3333,123,5,15,103,50,52,15,6,0,5,75,0.0174823,0.378553,0.0557018,1.00657,0,4,4,4,0.077483,1.05233,0.406935,0,0,0,0,0.0226233,0.165854,0.170187,0,0,0,0.798296,0,0.55912,0.561172,0.118865,0.00137591,0.999046,0.192648,0.996909,0.000616336
4600,460,19.1667,124,5,16,103,45,54,19,6,0,3,79.1667,0.0170382,0.42124,0.0509104,1.01728,0,4,4,4,0.0736792,1.09688,0.404097,0,0,0,0,0.0194371,0.147885,0.162857,0,0,0,0.798444,0,0.508892,0.557142,0.116495,0.00139223,0.999109,0.192067,0.999271,0.000481802
4800,480,20,128,5,17,106,49,56,19,4,0,2,100,0.016646,0.471212,0.045965,1.02702,0,4,4,4,0.0704416,1.13596,0.401223,0,0,0,0,0.0165651,0.132271,0.155253,0,0,0,0.798583,0,0.454616,0.553207,0.113851,0.00140662,0.999171,0.191456,1.00133,0.00034436
5000,500,20.8333,0,0,0,0,0,0,0,0,0,1,100,0.0163231,0.523574,0.0342003,1.03494,0,4,4,4,0.0677107,1.18373,0.402185,0,0,0,0,0.0139463,0.12119,0.148141,0,0,0,0.798666,0,0.340917,0.549366,0.111269,0.00142289,0.999921,0.191224,1.00311,0.00021697
5200,520,21.6667,0,0,0,0,0,0,0,0,0,2,100,0.0160645,0.55866,0.0283516,1.04105,0,0,0,0,0.0653698,1.18426,0.401924,0,0,0,0,0.011647,0.111261,0.14237,0,0,0,0.798928,0,0.227011,0.545619,0.109116,0.00144162,0.999921,0.190868,1.00464,0.00611737
5400,540,22.5,0,0,0,0,0,0,0,0,0,1,100,0.0158432,0.582169,0.0263014,1.0466,0,0,0,0,0.0634029,1.18426,0.400864,0,0,0,0,0.00969648,0.141957,0.137634,0,0,0,0.79913,0,0.151099,0.541946,0.107288,0.0014601,0.999921,0.190428,1.00592,0.0167681
5600,560,23.3333,0,0,0,0,0,0,0,0,0,1,100,0.0156448,0.597922,0.0225917,1.0515,0,0,0,0,0.0617439,1.18426,0.39926,0,0,0,0,0.00805396,0.165544,0.133695,0,0,0,0.79928,0,0.0756811,0.538327,0.105706,0.00147706,0.999921,0.189931,1.00702,0.0139168
5800,580,24.1667,0,0,0,0,0,0,0,0,0,1,100,0.0154612,0.608477,0.0190204,1.05566,0,0,0,0,0.0603363,1.18426,0.397252,0,0,0,0,0.00666262,0.183665,0.130386,0,0,0,0.799391,0,0.00837015,0.534754,0.104316,0.00149195,0.999921,0.189376,1.00797,0.00929578
6000,600,25,0,0,0,0,0,0,0,0,0,0,100,0.0152875,0.615549,0.0137335,1.05889,0,0,0,0,0.0701708,1.18426,0.394976,0,0,0,0,0.00672702,0.166663,0.127571,0,0,0,0.799477,0,9.47714e-07,0.531216,0.103074,0.00150457,0.999921,0.18878,1.00881,0.00413319
6200,620,25.8333,0,0,0,0,0,0,0,0,0,0,100,0.015123,0.620288,0.0119351,1.06146,0,0,0,0,0.0663736,1.18426,0.392684,0,0,0,0,0.00536083,0.133715,0.125143,0,0,0,0.799553,0,9.47714e-07,0.527706,0.101947,0.00151525,0.999921,0.188153,1.00957,0.00145486
6400,640,26.6667,0,0,0,0,0,0,0,0,0,1,100,0.014967,0.623463,0.0134961,1.06389,0,0,0,0,0.0634102,1.18426,0.390265,0,0,0,0,0.00429166,0.137253,0.123031,0,0,0,0.799617,0,9.47714e-07,0.524225,0.100914,0.00152423,0.999921,0.187504,1.01026,0.0137268
6600,660,27.5,0,0,0,0,0,0,0,0,0,1,100,0.0148175,0.625591,0.0135626,1.06666,0,0,0,0,0.0610766,1.18426,0.387718,0,0,0,0,0.00344738,0.159928,0.121179,0,0,0,0.79966,0,9.47714e-07,0.520771,0.0999584,0.00153153,0.999922,0.186834,1.0109,0.0164544
6800,680,28.3333,0,0,0,0,0,0,0,0,0,0,100,0.014673,0.627016,0.0112636,1.06919,0,0,0,0,0.0592195,1.18426,0.385071,0,0,0,0,0.00277642,0.154773,0.119537,0,0,0,0.799689,0,9.47714e-07,0.517343,0.0990657,0.00153718,0.999922,0.186146,1.0115,0.00907471
7000,700,29.1667,0,0,0,0,0,0,0,0,0,0,100,0.0145326,0.627972,0.00893075,1.0712,0,0,0,0,0.0577235,1.18426,0.382345,0,0,0,0,0.00224067,0.12346,0.11806,0,0,0,0.799719,0,9.47714e-07,0.513938,0.0982224,0.00154128,0.999922,0.185445,1.01207,0.00319291
7200,720,30,0,0,0,0,0,0,0,0,0,0,100,0.0143956,0.628612,0.00739748,1.07282,0,0,0,0,0.0565016,1.18426,0.379578,0,0,0,0,0.00181134,0.0985242,0.116723,0,0,0,0.799751,0,9.47714e-07,0.510558,0.0974213,0.00154394,0.999922,0.184738,1.01261,0.001124
7400,740,30.8333,0,0,0,0,0,0,0,0,0,0,100,0.0142622,0.629041,0.00627303,1.07419,0,0,0,0,0.0554882,1.18426,0.376807,0,0,0,0,0.00146633,0.0786587,0.11551,0,0,0,0.799782,0,9.47714e-07,0.507205,0.0966595,0.00154533,0.999922,0.184033,1.01312,0.000395884
7600,760,31.6667,0,0,0,0,0,0,0,0,0,0,100,0.0141324,0.629328,0.00539464,1.07535,0,0,0,0,0.054634,1.18426,0.374062,0,0,0,0,0.00118844,0.0628248,0.114411,0,0,0,0.799811,0,9.47714e-07,0.503882,0.0959353,0.00154566,0.999922,0.18333,1.01362,0.000139504
7800,780,32.5,0,0,0,0,0,0,0,0,0,0,100,0.0140066,0.629521,0.00468205,1.07636,0,0,0,0,0.0539016,1.18426,0.37136,0,0,0,0,0.000964198,0.0501987,0.113415,0,0,0,0.799837,0,9.47714e-07,0.500594,0.0952474,0.00154511,0.999922,0.182629,1.0141,4.91836e-05
8000,800,33.3333,0,0,0,0,0,0,0,0,0,0,100,0.0138851,0.62965,0.00409001,1.07723,0,0,0,0,0.0532628,1.18426,0.368713,0,0,0,0,0.000782964,0.0401261,0.112513,0,0,0,0.799861,0,9.47714e-07,0.497342,0.0945937,0.00154384,0.999922,0.181932,1.01457,1.73485e-05
8200,820,34.1667,0,0,0,0,0,0,0,0,0,0,100,0.0137679,0.629736,0.00359019,1.078,0,0,0,0,0.0526962,1.18426,0.366128,0,0,0,0,0.000636293,0.0320872,0.111694,0,0,0,0.799881,0,9.47714e-07,0.494129,0.0939714,0.00154202,0.999922,0.181236,1.01502,6.12226e-06
