step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.307694,0.0351594,0,2,0,0,0.0912466,0,0.022017,0,0,0,0,0.296729,0.0912536,0.214899,0,0,0,3.19951e-05,0,1,0.974133,0.183373,1.48704e-07,0.958349,0.00952457,0.463113,0.0402963
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0430646,0,0.439287,0.112076,0,4,1,0,0.0928464,0,0.167649,0,0,0,0,0.448221,0.354127,0.242097,0,0,0,3.19758e-05,0,1,0.911646,0.172207,1.28025e-06,0.99842,0.0752956,0.710025,0.098686
600,60,2.5,10,5,5,0,10,0,0,0,10,10,0,0.0489976,0,0.414781,0.198252,0,4,4,0,0.159571,0,0.340225,0,0,0,0,0.520504,0.450562,0.339936,0,0,0,3.1963e-05,0,1,0.800819,0.167598,4.60453e-06,0.99842,0.153399,0.769214,0.0986902
800,80,3.33333,12,5,6,1,11,1,0,0,8,10,4.16667,0.0507464,4.43754e-05,0.367796,0.278861,0,6,6,0,0.191739,0,0.457668,0,0,0,0,0.543562,0.56824,0.409023,0,0,0,3.19503e-05,0,0.999735,0.650758,0.157261,9.7393e-06,0.998441,0.206765,0.744468,0.0932155
1000,100,4.16667,16,5,9,2,14,2,0,0,4,9,8.33333,0.0498444,0.000341549,0.326234,0.349709,0,10,10,0,0.191836,0,0.489587,0,0,0,0,0.530586,0.601849,0.46886,0,0,0,3.19375e-05,0,0.997696,0.646746,0.160221,1.51552e-05,0.998462,0.2216,0.791947,0.0633769
1200,120,5,19,5,11,3,16,3,0,0,4,8,12.5,0.0473146,0.000953276,0.280374,0.409984,0,10,10,0,0.211879,0,0.489588,0,0,0,0,0.510432,0.539902,0.483349,0,0,0,3.19248e-05,0,0.993256,0.64266,0.162133,1.96869e-05,0.998483,0.222038,0.826418,0.0276036
1400,140,5.83333,25,5,15,5,20,5,0,0,3,8,16.6667,0.0441138,0.00187253,0.246834,0.462579,0,10,10,1,0.207356,0.00857218,0.489588,0,0,0,0,0.473887,0.467274,0.483278,0,0,0,3.1912e-05,0,0.986213,0.638483,0.16325,2.33404e-05,0.998504,0.222472,0.85267,0.0147063
1600,160,6.66667,31,5,19,7,24,7,0,0,2,8,16.6667,0.0407795,0.00283678,0.226571,0.509764,0,10,10,4,0.203721,0.0608012,0.489588,0,0,0,0,0.427899,0.452355,0.454624,0,0,0,0.000407648,0,0.978048,0.634212,0.163775,2.62819e-05,0.998504,0.222903,0.873952,0.0226392
1800,180,7.5,40,5,22,13,31,9,0,0,1,7,20.8333,0.0375931,0.0039084,0.216442,0.554074,0,10,10,6,0.19301,0.130794,0.489588,0,0,0,0,0.375007,0.461908,0.418549,0,0,0,0.00125659,0,0.96926,0.629861,0.163683,2.8691e-05,0.998525,0.22333,0.891926,0.0300618
2000,200,8.33333,48,5,23,20,33,15,0,0,0,9,25,0.0346888,0.00580984,0.198599,0.595382,0,10,10,10,0.18044,0.222048,0.489588,0,0,0,0,0.32512,0.449577,0.386689,0,0,0,0.0023378,0,0.957718,0.62545,0.162593,3.0719e-05,0.998545,0.223754,0.907446,0.0338185
2200,220,9.16667,60,5,28,27,37,23,0,0,0,9,33.3333,0.0321169,0.00863443,0.175796,0.63314,0,10,10,10,0.175647,0.361772,0.489588,0,0,0,0,0.280053,0.412108,0.357981,0,0,0,0.019739,0,0.94288,0.620993,0.160567,3.24817e-05,0.998587,0.224174,0.920968,0.0189682
2400,240,10,73,5,27,41,43,30,0,0,0,9,37.5,0.029882,0.0127273,0.154049,0.666205,0,10,10,10,0.164823,0.501762,0.489588,0,0,0,0,0.24016,0.367778,0.33279,0,0,0,0.219691,0,0.925942,0.616492,0.158149,3.40622e-05,0.998608,0.22459,0.932766,0.00893695
