step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.327818,0.0362347,0,2,0,0,0.0912767,0,0.022017,0,0,0,0,0.296729,0.116094,0.215609,0,0,0,3.20138e-05,0,1,0.97465,0.183709,6.02189e-06,0.958349,0.00952457,0.463113,0.0557775
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,4.16667,0.0430814,8.02118e-05,0.500301,0.121952,0,4,0,0,0.0916781,0,0.170467,0,0,0,0,0.448214,0.511005,0.202463,0,0,0,3.1976e-05,0,0.999788,0.795031,0.160488,5.25965e-05,0.998441,0.0765572,0.709409,0.146049
600,60,2.5,11,5,5,1,10,1,0,0,11,6,4.16667,0.049071,0.000369713,0.453718,0.213801,0,4,2,0,0.183266,0,0.346472,0,0,0,0,0.525525,0.596474,0.218582,0,0,0,3.1963e-05,0,0.9987,0.654698,0.152903,0.000190729,0.998441,0.15622,0.766712,0.0995542
800,80,3.33333,13,5,6,2,11,2,0,0,11,10,12.5,0.0508836,0.00103169,0.402022,0.302045,0,6,6,0,0.216531,0,0.459483,0,0,0,0,0.551502,0.682867,0.289413,0,0,0,3.19503e-05,0,0.994336,0.650644,0.157122,0.00040414,0.998483,0.207604,0.744096,0.090071
1000,100,4.16667,19,5,7,7,13,6,0,0,8,10,20.8333,0.0499404,0.00222167,0.354177,0.376894,0,10,10,0,0.240777,0,0.489588,0,0,0,0,0.546952,0.621543,0.418888,0,0,0,3.19375e-05,0,0.986495,0.646413,0.15962,0.000621113,0.998524,0.22162,0.791673,0.0502491
1200,120,5,26,5,14,7,19,7,0,0,7,7,20.8333,0.0473801,0.00385575,0.3142,0.443514,0,10,10,0,0.234645,0,0.489588,0,0,0,0,0.52048,0.527849,0.474159,0,0,0,3.19248e-05,0,0.976288,0.641918,0.160633,0.000800956,0.998524,0.222057,0.826143,0.0218879
1400,140,5.83333,31,5,15,11,20,11,0,0,5,6,25,0.0441597,0.00534644,0.292275,0.503955,0,10,10,0,0.21652,0,0.489589,0,0,0,0,0.481854,0.440033,0.473936,0,0,0,3.1912e-05,0,0.965917,0.637198,0.160857,0.000945044,0.998545,0.222491,0.852424,0.00889954
1600,160,6.66667,41,5,18,18,25,16,0,0,3,4,29.1667,0.0408123,0.00799716,0.26386,0.559581,0,10,10,2,0.19785,0.0155969,0.489589,0,0,0,0,0.436513,0.369659,0.463938,0,0,0,5.19771e-05,0,0.951689,0.632345,0.159545,0.0010605,0.998566,0.222922,0.873745,0.00362523
1800,180,7.5,48,5,18,25,27,21,0,0,1,3,37.5,0.0376173,0.0115733,0.244595,0.610811,0,10,10,6,0.182347,0.0590177,0.489589,0,0,0,0,0.384934,0.313375,0.425977,0,0,0,0.000443365,0,0.935808,0.627436,0.157705,0.00115476,0.998608,0.223349,0.891756,0.00130592
2000,200,8.33333,54,5,18,31,27,27,0,0,1,3,37.5,0.034707,0.017743,0.209525,0.656723,0,10,10,10,0.170888,0.117741,0.489589,0,0,0,0,0.338293,0.270348,0.387056,0,0,0,0.00118358,0,0.917438,0.622534,0.15532,0.00123399,0.998608,0.223772,0.907309,0.000472007
2200,220,9.16667,62,5,22,35,31,31,0,0,0,6,45.8333,0.032131,0.0252634,0.191661,0.696682,0,10,10,10,0.166586,0.217865,0.489588,0,0,0,0,0.294238,0.250882,0.354116,0,0,0,0.0033663,0,0.897906,0.617681,0.152854,0.00130286,0.99865,0.224192,0.920859,0.00634603
2400,240,10,69,5,26,38,34,35,0,0,0,8,50,0.0298932,0.0383143,0.183208,0.734381,0,10,10,10,0.155565,0.317763,0.489588,0,0,0,0,0.248854,0.230831,0.324071,0,0,0,0.0620307,0,0.874651,0.612911,0.149525,0.00136469,0.998671,0.224608,0.93268,0.00480168
2600,260,10.8333,79,5,27,47,37,40,2,0,0,9,50,0.0279734,0.0545519,0.172168,0.770021,0,10,10,10,0.142631,0.418861,0.489571,0,0,0,0,0.210009,0.21606,0.298461,0,0,0,0.274701,0,0.847868,0.608243,0.146318,0.00142171,0.998712,0.225013,0.942963,0.00308747
2800,280,11.6667,88,5,26,57,39,43,6,0,0,9,54.1667,0.0263381,0.0722331,0.16021,0.803345,0,10,10,10,0.130592,0.538859,0.489144,0,0,0,0,0.176859,0.21772,0.277298,0,0,0,0.656305,0,0.81855,0.603686,0.143541,0.00147508,0.998775,0.22523,0.951869,0.00545187
3000,300,12.5,97,5,26,66,43,46,8,0,0,8,58.3333,0.0249424,0.106226,0.139859,0.83368,0,10,10,10,0.119722,0.658857,0.487739,0,0,0,0,0.149231,0.221213,0.258284,0,0,0,0.797679,0,0.782165,0.599239,0.140521,0.00152435,0.998816,0.225004,0.959552,0.00426793
3200,320,13.3333,106,5,30,71,46,49,11,0,0,8,62.5,0.023743,0.150672,0.117773,0.859447,0,10,10,10,0.111743,0.778854,0.485633,0,0,0,0,0.127107,0.219271,0.241036,0,0,0,0.797634,0,0.740534,0.594896,0.137305,0.00156864,0.998858,0.224559,0.966169,0.00265581
3400,340,14.1667,112,5,29,78,47,49,16,0,0,8,62.5,0.0227086,0.18767,0.102569,0.881511,0,10,10,10,0.104968,0.898027,0.483216,0,0,0,0,0.108766,0.219449,0.226891,0,0,0,0.797626,0,0.69789,0.590645,0.134593,0.00160805,0.998879,0.2241,0.971867,0.00320387
